signal_date,A_d013_replication_n_holdings,A_d013_replication_n_sectors,B_count_matched_n_holdings,B_count_matched_n_sectors,C_pure_basket_n_holdings,C_pure_basket_n_sectors,A_d013_replication_vs_B_count_matched_ticker_overlap_pct,A_d013_replication_vs_B_count_matched_sector_overlap_pct,A_d013_replication_vs_C_pure_basket_ticker_overlap_pct,A_d013_replication_vs_C_pure_basket_sector_overlap_pct,B_count_matched_vs_C_pure_basket_ticker_overlap_pct,B_count_matched_vs_C_pure_basket_sector_overlap_pct
2017-03-31,5,4,5,5,94,11,0.8,1.0,0.8,0.75,0.8,0.8
2017-06-30,5,4,5,5,92,10,0.8,1.0,1.0,1.0,0.8,0.8
2017-12-28,5,4,5,5,92,11,0.8,1.0,1.0,1.0,1.0,1.0
2019-06-28,5,4,5,5,90,10,0.8,1.0,1.0,1.0,1.0,1.0
2019-09-30,5,3,5,5,93,11,0.6,1.0,1.0,1.0,1.0,1.0
2019-12-30,5,4,5,5,90,10,0.8,1.0,1.0,1.0,1.0,1.0
2020-03-31,5,4,5,5,97,11,0.8,1.0,1.0,1.0,1.0,1.0
2020-06-30,5,4,5,5,88,10,0.8,1.0,1.0,1.0,1.0,1.0
2020-09-29,5,4,5,5,95,9,0.8,1.0,1.0,1.0,1.0,1.0
2020-12-30,5,4,5,5,96,10,0.8,1.0,1.0,1.0,1.0,1.0
2021-03-31,5,4,5,5,93,9,0.8,1.0,1.0,1.0,1.0,1.0
2021-06-30,5,3,5,5,96,10,0.6,1.0,1.0,1.0,1.0,1.0
2021-09-30,5,4,5,5,93,8,0.8,1.0,1.0,1.0,1.0,1.0
2021-12-30,5,3,5,5,92,9,0.6,1.0,1.0,1.0,1.0,1.0
2023-09-27,5,4,5,5,94,10,0.8,1.0,1.0,1.0,1.0,1.0
2023-12-28,5,4,5,5,97,10,0.8,1.0,1.0,1.0,1.0,1.0
2024-03-29,5,4,5,5,90,8,0.8,1.0,1.0,1.0,1.0,1.0
2024-09-30,5,4,5,5,93,9,0.8,1.0,1.0,1.0,1.0,1.0
2025-06-30,5,4,5,5,97,11,0.8,1.0,1.0,1.0,1.0,1.0
2025-09-30,5,3,5,5,92,8,0.6,1.0,1.0,1.0,1.0,1.0
2025-12-30,5,4,5,5,94,10,0.8,1.0,1.0,1.0,1.0,1.0
2026-03-31,5,4,5,5,97,10,0.8,1.0,1.0,1.0,1.0,1.0
