ticker_panel,stock_code_padded,corp_code_dart,corp_name_dart,mapped
000020,000020,00119195,동화약품,True
000030,000030,,,False
000040,000040,00112378,KR모터스,True
000070,000070,00126937,삼양홀딩스,True
000080,000080,00150244,하이트진로,True
000100,000100,00145109,유한양행,True
000120,000120,00113410,CJ대한통운,True
000150,000150,00117212,두산,True
000180,000180,00133335,성창기업지주,True
000210,000210,00109693,DL,True
000220,000220,00144818,유유제약,True
000270,000270,00106641,기아,True
000300,000300,00126089,DH오토넥스,True
000390,000390,00129387,SP삼화,True
000400,000400,00113562,롯데손해보험,True
000490,000490,00109286,대동,True
000500,000500,00104768,가온전선,True
000520,000520,00128032,삼일제약,True
000640,000640,00116824,동아쏘시오홀딩스,True
000660,000660,00164779,SK하이닉스,True
000720,000720,00164478,현대건설,True
000760,000760,00145686,이화산업,True
000810,000810,00139214,삼성화재해상보험,True
000880,000880,00160588,한화,True
000890,000890,00123541,보해양조,True
000910,000910,00144252,유니온,True
000970,000970,00159573,한국주철관공업,True
000990,000990,00160843,DB하이텍,True
001020,001020,00134723,페이퍼코리아,True
001040,001040,00148540,CJ,True
001060,001060,00149947,JW중외제약,True
001070,001070,00112970,대한방직,True
001080,001080,00120872,만호제강,True
001120,001120,00120076,LX인터내셔널,True
001140,001140,,,False
001200,001200,00131054,유진증권,True
001230,001230,00114792,동국홀딩스,True
001250,001250,00138190,GS글로벌,True
001260,001260,00107066,남광토건,True
001290,001290,00112059,상상인증권,True
001340,001340,00122472,PKC,True
001360,001360,00126414,삼성제약,True
001380,001380,00152039,SG글로벌,True
001390,001390,00101220,KG케미칼,True
001420,001420,00154055,태원물산,True
001440,001440,00113207,대한전선,True
001450,001450,00164973,현대해상,True
001470,001470,00125974,삼부토건,True
001510,001510,00131850,SK증권,True
001530,001530,00118345,디아이동일,True
001550,001550,00148948,조비,True
001620,001620,00114765,케이비아이동국실업,True
001680,001680,00121941,대상,True
001740,001740,00131780,SK네트웍스,True
001780,001780,00117027,알루코,True
001820,001820,00129350,삼화콘덴서공업,True
002000,002000,,,False
002020,002020,00152862,코오롱,True
002100,002100,00101433,경농,True
002140,002140,00102751,고려산업,True
002150,002150,00114552,도화엔지니어링,True
002210,002210,00116268,동성제약,True
002240,002240,00103006,고려제강,True
002300,002300,,,False
002310,002310,00138729,아세아제지,True
002320,002320,00163512,한진,True
002360,002360,00136457,SH에너지화학,True
002380,002380,00105271,케이씨씨,True
002390,002390,00161046,한독,True
002410,002410,00122694,범양건영,True
002450,002450,00127857,삼익악기,True
002620,002620,00148443,제일파마홀딩스,True
002630,002630,00141626,오리엔트바이오,True
002690,002690,00118451,동일제강,True
002700,002700,00173698,신일전자,True
002720,002720,00104722,국제약품,True
002760,002760,00123107,보락,True
002780,002780,00150828,진흥기업,True
002790,002790,00154462,아모레퍼시픽홀딩스,True
002820,002820,00132211,SUN&L,True
002870,002870,00137368,신풍,True
002880,002880,00149804,디와이에이,True
002900,002900,00117230,TYM,True
002990,002990,00106313,금호건설,True
003000,003000,00123718,부광약품,True
003010,003010,00165343,혜인,True
003030,003030,00124197,세아제강지주,True
003060,003060,00101044,에이프로젠바이오로직스,True
003070,003070,00152880,코오롱글로벌,True
003090,003090,00111810,대웅,True
003160,003160,00118275,디아이,True
003220,003220,00111999,대원제약,True
003230,003230,00126955,삼양식품,True
003280,003280,00167208,흥아해운,True
003300,003300,00162993,한일홀딩스,True
003350,003350,00160621,한국화장품제조,True
003410,003410,,,False
003470,003470,00117601,유안타증권,True
003490,003490,00113526,대한항공,True
003520,003520,00141149,영진약품,True
003540,003540,00110893,대신증권,True
003550,003550,00120021,LG,True
003560,003560,,,False
003580,003580,00169048,HLB글로벌,True
003620,003620,00138242,KG모빌리티,True
003680,003680,00161860,한성기업,True
003690,003690,00113191,코리안리,True
003720,003720,00127255,삼영,True
003780,003780,00150439,진양산업,True
003850,003850,00123143,보령,True
004000,004000,00157681,롯데정밀화학,True
004020,004020,00145880,현대제철,True
004060,004060,00133511,SG세계물산,True
004090,004090,00157991,한국석유공업,True
004100,004100,00153755,태양금속공업,True
004130,004130,,,False
004140,004140,00115287,동방,True
004170,004170,00136378,신세계,True
004270,004270,00172185,남성,True
