종목코드,first_seen,last_seen,last_name,n_rows,days_before_panel_end,stock_code_padded,corp_code_dart,corp_name_dart,in_dart,cause_candidate
002200,2023-01-02,2024-12-30,한국수출포장,489,492,002200,00158112,한국수출포장공업,True,mid_inactive_candidate
003960,2019-01-02,2024-12-30,사조대림,736,492,003960,00109718,사조대림,True,mid_inactive_candidate
006060,2018-01-02,2024-12-30,화승인더,1475,492,006060,00166227,화승인더스트리,True,mid_inactive_candidate
006090,2018-01-02,2024-12-30,사조오양,1473,492,006090,00141875,사조오양,True,mid_inactive_candidate
000890,2018-01-02,2024-12-30,보해양조,1230,492,000890,00123541,보해양조,True,mid_inactive_candidate
001340,2018-01-02,2024-12-30,백광산업,1721,492,001340,00122472,PKC,True,mid_inactive_candidate
001230,2018-01-02,2024-12-30,동국홀딩스,1475,492,001230,00114792,동국홀딩스,True,mid_inactive_candidate
006200,2020-01-02,2024-12-30,한국전자홀딩스,1231,492,006200,00159254,한국전자홀딩스,True,mid_inactive_candidate
000520,2018-01-02,2024-12-30,삼일제약,1721,492,000520,00128032,삼일제약,True,mid_inactive_candidate
000300,2018-01-02,2024-12-30,대유플러스,1721,492,000300,00126089,DH오토넥스,True,mid_inactive_candidate
115390,2018-01-02,2024-12-06,락앤락,1461,516,115390,,,False,mid_inactive_candidate
003410,2018-01-02,2024-07-08,쌍용C&E,1359,667,003410,,,False,mid_inactive_candidate
068400,2018-01-02,2024-01-30,SK렌터카,1250,827,068400,,,False,mid_inactive_candidate
383800,2021-05-27,2023-12-28,LX홀딩스,395,860,383800,01562589,LX홀딩스,True,mid_inactive_candidate
035150,2019-01-02,2023-12-28,백산,1233,860,035150,00122551,백산,True,mid_inactive_candidate
145210,2018-01-02,2023-12-28,다이나믹디자인,1231,860,145210,00453488,다이나믹디자인,True,mid_inactive_candidate
036420,2019-01-02,2023-12-28,콘텐트리중앙,1233,860,036420,00203315,콘텐트리중앙,True,mid_inactive_candidate
002990,2018-01-02,2023-12-28,금호건설,1477,860,002990,00106313,금호건설,True,mid_inactive_candidate
002880,2018-01-02,2023-12-28,대유에이텍,1477,860,002880,00149804,디와이에이,True,mid_inactive_candidate
003080,2021-01-04,2023-12-28,성보화학,739,860,003080,00132725,SB성보,True,mid_inactive_candidate
033250,2018-01-02,2023-12-28,체시스,1229,860,033250,00125576,체시스,True,mid_inactive_candidate
003120,2019-01-02,2023-12-28,일성신약,985,860,003120,00146214,일성아이에스,True,mid_inactive_candidate
403550,2022-08-22,2023-12-28,쏘카,335,860,403550,01026157,쏘카,True,mid_inactive_candidate
033180,2018-01-02,2023-12-28,KH 필룩스,1477,860,033180,,,False,mid_inactive_candidate
003200,2020-01-02,2023-12-28,일신방직,493,860,003200,00146269,일신방직,True,mid_inactive_candidate
446070,2022-11-28,2023-12-28,유니드비티플러스,269,860,446070,01702017,유니드비티플러스,True,mid_inactive_candidate
031820,2018-01-02,2023-12-28,콤텍시스템,1477,860,031820,00186559,아이티센씨티에스,True,mid_inactive_candidate
030190,2023-01-02,2023-12-28,NICE평가정보,245,860,030190,00158325,NICE평가정보,True,mid_inactive_candidate
003610,2020-01-02,2023-12-28,방림,987,860,003610,00122348,방림,True,mid_inactive_candidate
000180,2018-01-02,2023-12-28,성창기업지주,985,860,000180,00133335,성창기업지주,True,mid_inactive_candidate
453340,2023-04-10,2023-12-28,현대그린푸드,178,860,453340,01721809,현대그린푸드,True,mid_inactive_candidate
000480,2019-01-02,2023-12-28,CR홀딩스,491,860,000480,00148984,시알홀딩스,True,mid_inactive_candidate
002690,2018-01-02,2023-12-28,동일제강,983,860,002690,00118451,동일제강,True,mid_inactive_candidate
308170,2019-11-25,2023-12-28,씨티알모빌리티,1012,860,308170,00450010,씨티알모빌리티,True,mid_inactive_candidate
095570,2020-01-02,2023-12-28,AJ네트웍스,987,860,095570,00365387,AJ네트웍스,True,mid_inactive_candidate
114090,2018-01-02,2023-12-28,GKL,1477,860,114090,00557508,GKL,True,mid_inactive_candidate
192400,2018-01-02,2023-12-28,쿠쿠홀딩스,983,860,192400,00132354,쿠쿠홀딩스,True,mid_inactive_candidate
108670,2018-01-02,2023-12-28,LX하우시스,985,860,108670,00759513,LX하우시스,True,mid_inactive_candidate
002210,2018-01-02,2023-12-28,동성제약,1477,860,002210,00116268,동성제약,True,mid_inactive_candidate
002220,2021-01-04,2023-12-28,한일철강,739,860,002220,00163196,한일철강,True,mid_inactive_candidate
102280,2018-01-02,2023-12-28,쌍방울,1477,860,102280,,,False,mid_inactive_candidate
100250,2018-01-02,2023-12-28,진양홀딩스,1231,860,100250,00646732,진양홀딩스,True,mid_inactive_candidate
097520,2021-01-04,2023-12-28,엠씨넥스,739,860,097520,00564562,엠씨넥스,True,mid_inactive_candidate
001140,2018-01-02,2023-12-28,국보,1477,860,001140,,,False,mid_inactive_candidate
049800,2018-01-02,2023-12-28,우진플라임,735,860,049800,00303217,우진플라임,True,mid_inactive_candidate
093230,2018-01-02,2023-12-28,이아이디,1477,860,093230,,,False,mid_inactive_candidate
091090,2018-01-02,2023-12-28,세원이앤씨,1477,860,091090,,,False,mid_inactive_candidate
001070,2018-01-02,2023-12-28,대한방직,735,860,001070,00112970,대한방직,True,mid_inactive_candidate
071840,2018-01-02,2023-12-28,롯데하이마트,983,860,071840,00158307,롯데하이마트,True,mid_inactive_candidate
284740,2018-01-11,2023-12-28,쿠쿠홈시스,976,860,284740,01267684,쿠쿠홈시스,True,mid_inactive_candidate
293480,2018-10-02,2023-12-28,하나제약,1046,860,293480,00248974,하나제약,True,mid_inactive_candidate
002620,2018-01-02,2023-12-28,제일파마홀딩스,983,860,002620,00148443,제일파마홀딩스,True,mid_inactive_candidate
069260,2018-01-02,2023-12-28,TKG휴켐스,1477,860,069260,00426086,티케이지휴켐스,True,mid_inactive_candidate
006570,2023-01-02,2023-12-28,대림통상,245,860,006570,00109824,대림통상,True,mid_inactive_candidate
035000,2023-01-02,2023-12-28,HS애드,245,860,035000,00140168,HS애드,True,mid_inactive_candidate
000020,2018-01-02,2023-12-28,동화약품,1231,860,000020,00119195,동화약품,True,mid_inactive_candidate
014790,2018-01-02,2023-12-28,HL D&I,1477,860,014790,00161116,HL D&I,True,mid_inactive_candidate
004690,2022-01-03,2023-12-28,삼천리,491,860,004690,00128555,삼천리,True,mid_inactive_candidate
008260,2018-01-02,2023-12-28,NI스틸,1231,860,008260,00116301,NI스틸,True,mid_inactive_candidate
016710,2020-01-02,2023-12-28,대성홀딩스,739,860,016710,00108940,대성홀딩스,True,mid_inactive_candidate
016590,2018-01-02,2023-12-28,신대양제지,983,860,016590,00135777,신대양제지,True,mid_inactive_candidate
008870,2022-01-03,2023-12-28,금비,491,860,008870,00168401,금비,True,mid_inactive_candidate
016380,2019-01-02,2023-12-28,KG스틸,1233,860,016380,00115676,KG스틸,True,mid_inactive_candidate
004890,2023-01-02,2023-12-28,동일산업,245,860,004890,00172936,동일산업,True,mid_inactive_candidate
015230,2022-01-03,2023-12-28,대창단조,491,860,015230,00112679,대창단조,True,mid_inactive_candidate
005030,2018-01-02,2023-12-28,부산주공,1229,860,005030,00124151,부산주공,True,mid_inactive_candidate
019440,2022-01-03,2023-12-28,세아특수강,491,860,019440,,,False,mid_inactive_candidate
005110,2018-01-02,2023-12-28,한창,1477,860,005110,00163716,한창,True,mid_inactive_candidate
009320,2018-01-02,2023-12-28,대우부품,1477,860,009320,00111689,아진전자부품,True,mid_inactive_candidate
005960,2022-01-03,2023-12-28,동부건설,491,860,005960,00115612,동부건설,True,mid_inactive_candidate
012750,2018-01-02,2023-12-28,에스원,983,860,012750,00158501,에스원,True,mid_inactive_candidate
012280,2018-01-02,2023-12-28,영화금속,1477,860,012280,00141413,영화금속,True,mid_inactive_candidate
011330,2018-01-02,2023-12-28,유니켐,735,860,011330,00137207,유니켐,True,mid_inactive_candidate
010040,2018-01-02,2023-12-28,한국내화,1477,860,010040,00160205,한국내화,True,mid_inactive_candidate
005750,2021-01-04,2023-12-28,대림B&Co,739,860,005750,00109754,대림바스,True,mid_inactive_candidate
017390,2021-01-04,2023-12-28,서울가스,739,860,017390,00130684,서울도시가스,True,mid_inactive_candidate
010400,2018-09-14,2023-12-28,우진아이엔에스,561,860,010400,00143262,우진아이엔에스,True,mid_inactive_candidate
019680,2020-01-02,2023-12-28,대교,741,860,019680,00108913,대교,True,mid_inactive_candidate
007210,2018-01-02,2023-12-28,벽산,1477,860,007210,00122898,벽산,True,mid_inactive_candidate
007690,2021-01-04,2023-12-28,국도화학,493,860,007690,00104388,국도화학,True,mid_inactive_candidate
023590,2018-01-02,2023-12-28,다우기술,1231,860,023590,00176914,다우기술,True,mid_inactive_candidate
004250,2021-01-04,2023-12-28,NPC,739,860,004250,00108038,엔피씨,True,mid_inactive_candidate
006380,2018-01-02,2023-12-28,카프로,1231,860,006380,00159810,카프로,True,mid_inactive_candidate
023810,2021-01-04,2023-12-28,인팩,739,860,023810,00180795,인팩,True,mid_inactive_candidate
023000,2021-01-04,2023-12-28,삼원강재,493,860,023000,00191588,삼원강재,True,mid_inactive_candidate
023960,2021-01-04,2023-12-28,에쓰씨엔지니어링,739,860,023960,00121969,에쓰씨엔지니어링,True,mid_inactive_candidate
096300,2019-01-02,2023-02-01,베트남개발1,513,1190,096300,,,False,long_inactive_likely_delisted
001630,2019-01-02,2022-12-29,종근당홀딩스,988,1224,001630,00149354,종근당홀딩스,True,long_inactive_likely_delisted
002350,2021-01-04,2022-12-29,넥센타이어,494,1224,002350,00173874,넥센타이어,True,long_inactive_likely_delisted
010420,2019-01-02,2022-12-29,한솔PNS,740,1224,010420,,,False,long_inactive_likely_delisted
210540,2018-01-02,2022-12-29,디와이파워,736,1224,210540,01059605,디와이파워,True,long_inactive_likely_delisted
084010,2021-01-04,2022-12-29,대한제강,494,1224,084010,00113225,대한제강,True,long_inactive_likely_delisted
006980,2018-01-02,2022-12-29,우성,1232,1224,006980,00142661,우성,True,long_inactive_likely_delisted
005500,2018-01-02,2022-12-29,삼진제약,984,1224,005500,00128412,삼진제약,True,long_inactive_likely_delisted
007280,2018-01-02,2022-12-29,한국특강,1232,1224,007280,00124090,한국특강,True,long_inactive_likely_delisted
001770,2019-01-02,2022-12-29,SHD,492,1224,001770,00137809,SHD,True,long_inactive_likely_delisted
143210,2018-01-02,2022-12-29,핸즈코퍼레이션,986,1224,143210,00119140,핸즈코퍼레이션,True,long_inactive_likely_delisted
012630,2018-01-02,2022-12-29,HDC,1232,1224,012630,00164636,HDC,True,long_inactive_likely_delisted
001560,2019-01-02,2022-12-29,제일연마,492,1224,001560,00148461,제일연마,True,long_inactive_likely_delisted
155660,2019-01-02,2022-12-29,DSR,988,1224,155660,00110608,DSR,True,long_inactive_likely_delisted
134790,2022-01-03,2022-12-29,시디즈,246,1224,134790,00852087,시디즈,True,long_inactive_likely_delisted
033270,2018-01-02,2022-12-29,유나이티드제약,986,1224,033270,00158963,유나이티드,True,long_inactive_likely_delisted
009460,2018-01-02,2022-12-29,한창제지,1232,1224,009460,00163761,한창제지,True,long_inactive_likely_delisted
013000,2018-01-02,2022-12-29,세우글로벌,1232,1224,013000,00134176,세우글로벌,True,long_inactive_likely_delisted
007590,2018-01-02,2022-12-29,동방아그로,738,1224,007590,00115384,동방아그로,True,long_inactive_likely_delisted
013870,2018-01-02,2022-12-29,지엠비코리아,1232,1224,013870,00156354,지엠비코리아,True,long_inactive_likely_delisted
003560,2018-01-02,2022-12-29,IHQ,1232,1224,003560,,,False,long_inactive_likely_delisted
008110,2021-01-04,2022-12-29,대동전자,494,1224,008110,,,False,long_inactive_likely_delisted
004450,2022-01-03,2022-12-29,삼화왕관,246,1224,004450,00129235,삼화왕관,True,long_inactive_likely_delisted
030790,2018-01-02,2022-12-29,비케이탑스,1232,1224,030790,,,False,long_inactive_likely_delisted
001020,2018-01-02,2022-12-29,페이퍼코리아,738,1224,001020,00134723,페이퍼코리아,True,long_inactive_likely_delisted
271940,2021-09-01,2022-12-29,일진하이솔루스,328,1224,271940,00972503,일진하이솔루스,True,long_inactive_likely_delisted
001130,2022-01-03,2022-12-29,대한제분,246,1224,001130,00113243,대한제분,True,long_inactive_likely_delisted
002460,2020-01-02,2022-12-29,화성산업,742,1224,002460,00174527,HS화성,True,long_inactive_likely_delisted
044380,2018-01-02,2022-12-29,주연테크,1232,1224,044380,00269241,주연테크,True,long_inactive_likely_delisted
016090,2020-01-02,2022-12-29,대현,742,1224,016090,00113614,대현,True,long_inactive_likely_delisted
053210,2020-01-02,2022-12-29,스카이라이프,494,1224,053210,00349097,케이티스카이라이프,True,long_inactive_likely_delisted
027410,2018-01-02,2022-12-29,BGF,1232,1224,027410,00219097,BGF,True,long_inactive_likely_delisted
227840,2018-01-02,2022-12-29,현대코퍼레이션홀딩스,984,1224,227840,01108099,현대코퍼레이션홀딩스,True,long_inactive_likely_delisted
015260,2019-01-02,2022-12-29,에이엔피,988,1224,015260,00143314,에이엔피,True,long_inactive_likely_delisted
010050,2018-01-02,2022-12-29,우리종금,984,1224,010050,,,False,long_inactive_likely_delisted
214330,2018-01-02,2022-12-29,금호에이치티,1232,1224,214330,00105606,금호에이치티,True,long_inactive_likely_delisted
004910,2018-01-02,2022-12-29,조광페인트,986,1224,004910,00148920,조광페인트,True,long_inactive_likely_delisted
001420,2018-01-02,2021-12-30,태원물산,986,1588,001420,00154055,태원물산,True,long_inactive_likely_delisted
122900,2018-01-02,2021-12-30,아이마켓코리아,738,1588,122900,00360142,아이마켓코리아,True,long_inactive_likely_delisted
213500,2019-01-02,2021-12-30,한솔제지,494,1588,213500,01060744,한솔제지,True,long_inactive_likely_delisted
008060,2018-01-02,2021-12-30,대덕,986,1588,008060,00109189,대덕,True,long_inactive_likely_delisted
000860,2021-01-04,2021-12-30,강남제비스코,248,1588,000860,00100939,강남제비스코,True,long_inactive_likely_delisted
000640,2018-01-02,2021-12-30,동아쏘시오홀딩스,986,1588,000640,00116824,동아쏘시오홀딩스,True,long_inactive_likely_delisted
138250,2019-01-02,2021-12-30,엔에스쇼핑,494,1588,138250,,,False,long_inactive_likely_delisted
000590,2021-01-04,2021-12-30,CS홀딩스,248,1588,000590,00149026,CS홀딩스,True,long_inactive_likely_delisted
344820,2020-01-21,2021-12-30,KCC글라스,483,1588,344820,01428203,케이씨씨글라스,True,long_inactive_likely_delisted
001620,2018-01-02,2021-12-30,케이비아이동국실업,492,1588,001620,00114765,케이비아이동국실업,True,long_inactive_likely_delisted
006120,2018-01-02,2021-12-30,SK디스커버리,986,1588,006120,00131832,SK디스커버리,True,long_inactive_likely_delisted
024090,2021-01-04,2021-12-30,디씨엠,248,1588,024090,00177199,디씨엠,True,long_inactive_likely_delisted
002920,2019-01-02,2021-12-30,유성기업,742,1588,002920,00174004,유성기업,True,long_inactive_likely_delisted
088790,2020-01-02,2021-12-30,진도,496,1588,088790,00557933,진도,True,long_inactive_likely_delisted
092440,2021-01-04,2021-12-30,기신정기,248,1588,092440,00106614,기신정기,True,long_inactive_likely_delisted
093050,2021-01-04,2021-12-30,LF,248,1588,093050,00593032,LF,True,long_inactive_likely_delisted
020000,2018-01-02,2021-12-30,한섬,986,1588,020000,00188089,한섬,True,long_inactive_likely_delisted
015540,2020-01-02,2021-12-30,쎌마테라퓨틱스,496,1588,015540,,,False,long_inactive_likely_delisted
004150,2021-01-04,2021-12-30,한솔홀딩스,248,1588,004150,00171636,한솔홀딩스,True,long_inactive_likely_delisted
