종목코드,first_seen,last_seen,last_name,n_rows,days_before_panel_end,stock_code_padded,corp_code_dart,corp_name_dart,in_dart,cause_candidate
042670,2018-01-02,2026-01-23,HD현대인프라코어,1979,103,042670,,,False,recent_inactive_panel_end_artifact_possible
450140,2023-01-31,2026-01-06,코오롱모빌리티그룹,715,120,450140,,,False,recent_inactive_panel_end_artifact_possible
010620,2018-01-02,2025-12-12,HD현대미포,1952,145,010620,,,False,recent_inactive_panel_end_artifact_possible
005390,2018-01-02,2025-09-29,신성통상,1903,219,005390,,,False,recent_inactive_panel_end_artifact_possible
016610,2024-01-02,2024-12-30,DB금융투자,244,492,016610,00115694,DB증권,True,mid_inactive_candidate
018670,2019-01-02,2024-12-30,SK가스,1477,492,018670,00144164,SK가스,True,mid_inactive_candidate
020560,2018-01-02,2024-12-30,아시아나항공,1721,492,020560,00138792,아시아나항공,True,mid_inactive_candidate
023800,2018-01-02,2024-12-30,인지컨트롤스,1721,492,023800,00103510,인지컨트롤스,True,mid_inactive_candidate
024890,2018-01-02,2024-12-30,대원화성,1475,492,024890,00112022,대원화성,True,mid_inactive_candidate
024900,2018-01-02,2024-12-30,덕양산업,1475,492,024900,00114154,디와이덕양,True,mid_inactive_candidate
025530,2022-01-03,2024-12-30,SJM홀딩스,735,492,025530,00181943,에스제이엠홀딩스,True,mid_inactive_candidate
025540,2018-01-02,2024-12-30,한국단자,1229,492,025540,00157070,한국단자공업,True,mid_inactive_candidate
025560,2018-01-02,2024-12-30,미래산업,1721,492,025560,00197759,미래산업,True,mid_inactive_candidate
026890,2018-01-02,2024-12-30,스틱인베스트먼트,1476,492,026890,00117498,스틱인베스트먼트,True,mid_inactive_candidate
017180,2018-01-02,2024-12-30,명문제약,1476,492,017180,00121039,명문제약,True,mid_inactive_candidate
026960,2018-01-02,2024-12-30,동서,1230,492,026960,00144395,동서,True,mid_inactive_candidate
027970,2018-01-02,2024-12-30,한국제지,1227,492,027970,00133706,한국제지,True,mid_inactive_candidate
028100,2018-01-02,2024-12-30,동아지질,1230,492,028100,00178754,동아지질,True,mid_inactive_candidate
029460,2020-01-02,2024-12-30,케이씨,492,492,029460,00209780,케이씨,True,mid_inactive_candidate
029530,2024-01-02,2024-12-30,신도리코,244,492,029530,00135795,신도리코,True,mid_inactive_candidate
032560,2018-01-02,2024-12-30,황금에스티,1721,492,032560,00218575,황금에스티,True,mid_inactive_candidate
033920,2019-01-02,2024-12-30,무학,1232,492,033920,00121543,무학,True,mid_inactive_candidate
034300,2018-01-02,2024-12-30,신세계건설,1227,492,034300,,,False,mid_inactive_candidate
017940,2019-01-02,2024-12-30,E1,981,492,017940,00165583,E1,True,mid_inactive_candidate
015590,2018-01-02,2024-12-30,KIB플러그에너지,1475,492,015590,00108746,DKME,True,mid_inactive_candidate
015860,2018-01-02,2024-12-30,일진홀딩스,1721,492,015860,00146649,일진홀딩스,True,mid_inactive_candidate
009810,2018-01-02,2024-12-30,플레이그램,1476,492,009810,00103130,플레이그램,True,mid_inactive_candidate
007160,2021-01-04,2024-12-30,사조산업,492,492,007160,00124799,사조산업,True,mid_inactive_candidate
007700,2018-01-02,2024-12-30,F&F홀딩스,1721,492,007700,00126487,F&F 홀딩스,True,mid_inactive_candidate
009140,2023-01-02,2024-12-30,경인전자,489,492,009140,00102140,경인전자,True,mid_inactive_candidate
009160,2018-01-02,2024-12-30,SIMPAC,1473,492,009160,00138260,SIMPAC,True,mid_inactive_candidate
009180,2018-01-02,2024-12-30,한솔로지스틱스,1476,492,009180,00140946,한솔로지스틱스,True,mid_inactive_candidate
009190,2019-01-02,2024-12-30,대양금속,1477,492,009190,00111111,대양금속,True,mid_inactive_candidate
009310,2019-01-02,2024-12-30,참엔지니어링,1232,492,009310,00153621,참엔지니어링,True,mid_inactive_candidate
009440,2020-01-02,2024-12-30,KC그린홀딩스,983,492,009440,00159971,KC그린홀딩스,True,mid_inactive_candidate
010600,2018-01-02,2024-12-30,웰바이오텍,1721,492,010600,,,False,mid_inactive_candidate
036530,2024-01-02,2024-12-30,SNT홀딩스,244,492,036530,00225159,SNT홀딩스,True,mid_inactive_candidate
010780,2020-01-02,2024-12-30,아이에스동서,983,492,010780,00115977,아이에스동서,True,mid_inactive_candidate
011390,2018-01-02,2024-12-30,부산산업,1228,492,011390,00124027,부산산업,True,mid_inactive_candidate
011810,2018-01-02,2024-12-30,STX,1721,492,011810,00138297,STX,True,mid_inactive_candidate
012320,2018-01-02,2024-12-30,경동인베스트,979,492,012320,00143527,경동인베스트,True,mid_inactive_candidate
013520,2021-01-04,2024-12-30,화승코퍼레이션,983,492,013520,00166272,화승코퍼레이션,True,mid_inactive_candidate
013570,2018-01-02,2024-12-30,디와이,1227,492,013570,00117179,디와이,True,mid_inactive_candidate
014130,2018-01-02,2024-12-30,한익스프레스,1475,492,014130,00129509,한익스프레스,True,mid_inactive_candidate
014820,2018-01-02,2024-12-30,동원시스템즈,1475,492,014820,00132637,동원시스템즈,True,mid_inactive_candidate
034310,2018-01-02,2024-12-30,NICE,1475,492,034310,00158316,NICE,True,mid_inactive_candidate
039570,2018-01-02,2024-12-30,HDC랩스,734,492,039570,00350312,HDC랩스,True,mid_inactive_candidate
036580,2019-01-02,2024-12-30,팜스코,984,492,036580,00260408,팜스코,True,mid_inactive_candidate
006740,2018-01-02,2024-12-30,영풍제지,1721,492,006740,00141404,블루산업개발,True,mid_inactive_candidate
163560,2019-01-02,2024-12-30,동일고무벨트,1229,492,163560,00939687,동일고무벨트,True,mid_inactive_candidate
168490,2024-01-02,2024-12-30,한국패러랠,244,492,168490,,,False,mid_inactive_candidate
170900,2018-01-02,2024-12-30,동아에스티,1227,492,170900,00956930,동아에스티,True,mid_inactive_candidate
192650,2019-03-14,2024-12-30,드림텍,1430,492,192650,00415646,드림텍,True,mid_inactive_candidate
226320,2018-01-02,2024-12-30,잇츠한불,1721,492,226320,00911955,잇츠한불,True,mid_inactive_candidate
241590,2018-01-02,2024-12-30,화승엔터프라이즈,1721,492,241590,01128613,화승엔터프라이즈,True,mid_inactive_candidate
264900,2018-01-02,2024-12-30,크라운제과,1721,492,264900,01205329,크라운제과,True,mid_inactive_candidate
267290,2022-01-03,2024-12-30,경동도시가스,735,492,267290,01208885,경동도시가스,True,mid_inactive_candidate
272450,2018-01-02,2024-12-30,진에어,1721,492,272450,00653024,진에어,True,mid_inactive_candidate
280360,2024-01-02,2024-12-30,롯데웰푸드,244,492,280360,01258507,롯데웰푸드,True,mid_inactive_candidate
286940,2018-07-27,2024-12-30,롯데이노베이트,840,492,286940,01262032,롯데이노베이트,True,mid_inactive_candidate
298000,2018-07-13,2024-12-30,효성화학,1591,492,298000,01316236,효성화학,True,mid_inactive_candidate
298050,2018-07-13,2024-12-30,HS효성첨단소재,1591,492,298050,01316254,HS효성첨단소재,True,mid_inactive_candidate
317400,2019-11-06,2024-12-30,자이에스앤디,1021,492,317400,00367844,자이에스앤디,True,mid_inactive_candidate
339770,2020-11-12,2024-12-30,교촌에프앤비,526,492,339770,00453284,교촌에프앤비,True,mid_inactive_candidate
363280,2020-09-22,2024-12-30,티와이홀딩스,804,492,363280,01497869,티와이홀딩스,True,mid_inactive_candidate
377740,2022-12-22,2024-12-30,바이오노트,495,492,377740,00622787,바이오노트,True,mid_inactive_candidate
381970,2021-10-13,2024-12-30,케이카,792,492,381970,01323032,케이카,True,mid_inactive_candidate
460850,2023-06-16,2024-12-30,동국씨엠,377,492,460850,01765256,동국씨엠,True,mid_inactive_candidate
145990,2018-01-02,2024-12-30,삼양사,1475,492,145990,00896285,삼양사,True,mid_inactive_candidate
139990,2021-08-20,2024-12-30,아주스틸,825,492,139990,00486705,아주스틸,True,mid_inactive_candidate
123700,2021-01-04,2024-12-30,SJM,983,492,123700,00815369,에스제이엠,True,mid_inactive_candidate
074610,2018-01-02,2024-12-30,이엔플러스,1721,492,074610,00469799,이엔플러스,True,mid_inactive_candidate
041650,2021-01-04,2024-12-30,상신브레이크,983,492,041650,00129642,상신브레이크,True,mid_inactive_candidate
049770,2024-01-02,2024-12-30,동원F&B,244,492,049770,,,False,mid_inactive_candidate
055490,2019-01-02,2024-12-30,테이팩스,1231,492,055490,00256955,테이팩스,True,mid_inactive_candidate
058650,2024-01-02,2024-12-30,세아홀딩스,244,492,058650,00377610,세아홀딩스,True,mid_inactive_candidate
068290,2018-01-02,2024-12-30,삼성출판사,1721,492,068290,00423690,삼성출판사,True,mid_inactive_candidate
069640,2019-01-02,2024-12-30,한세엠케이,984,492,069640,00357360,한세엠케이,True,mid_inactive_candidate
069730,2018-01-02,2024-12-30,DSR제강,1476,492,069730,00151298,DSR제강,True,mid_inactive_candidate
071320,2024-01-02,2024-12-30,지역난방공사,244,492,071320,00159698,지역난방공사,True,mid_inactive_candidate
089470,2019-01-02,2024-12-30,HDC현대EP,738,492,089470,00357935,HDC현대EP,True,mid_inactive_candidate
119650,2018-01-02,2024-12-30,KC코트렐,1721,492,119650,00797364,KC코트렐,True,mid_inactive_candidate
089860,2021-08-19,2024-12-30,롯데렌탈,581,492,089860,00545716,롯데렌탈,True,mid_inactive_candidate
096760,2018-01-02,2024-12-30,JW홀딩스,982,492,096760,00632304,JW홀딩스,True,mid_inactive_candidate
102260,2022-01-03,2024-12-30,동성케미컬,735,492,102260,00679314,동성케미컬,True,mid_inactive_candidate
104700,2020-01-02,2024-12-30,한국철강,1231,492,104700,00687711,한국철강,True,mid_inactive_candidate
105630,2018-01-02,2024-12-30,한세실업,1721,492,105630,00728638,한세실업,True,mid_inactive_candidate
108320,2022-01-03,2024-12-30,LX세미콘,735,492,108320,00525934,LX세미콘,True,mid_inactive_candidate
111110,2022-01-03,2024-12-30,호전실업,490,492,111110,00226316,호전실업,True,mid_inactive_candidate
111380,2023-11-21,2024-12-30,동인기연,271,492,111380,00367710,동인기연,True,mid_inactive_candidate
007070,2018-01-02,2024-12-30,GS리테일,1721,492,007070,00140177,GS리테일,True,mid_inactive_candidate
900140,2018-01-02,2024-12-30,엘브이엠씨홀딩스,1229,492,900140,00838500,엘브이엠씨,True,mid_inactive_candidate
005250,2018-01-02,2024-12-30,녹십자홀딩스,1230,492,005250,00108135,녹십자홀딩스,True,mid_inactive_candidate
002790,2018-01-02,2024-12-30,아모레G,1721,492,002790,00154462,아모레퍼시픽홀딩스,True,mid_inactive_candidate
005680,2018-01-02,2024-12-30,삼영전자,488,492,005680,00127200,삼영전자공업,True,mid_inactive_candidate
002240,2018-01-02,2024-12-30,고려제강,1475,492,002240,00103006,고려제강,True,mid_inactive_candidate
005430,2020-01-02,2024-12-30,한국공항,492,492,005430,00156691,한국공항,True,mid_inactive_candidate
004000,2018-01-02,2024-12-30,롯데정밀화학,1721,492,004000,00157681,롯데정밀화학,True,mid_inactive_candidate
002320,2018-01-02,2024-12-30,한진,982,492,002320,00163512,한진,True,mid_inactive_candidate
002360,2018-01-02,2024-12-30,SH에너지화학,1721,492,002360,00136457,SH에너지화학,True,mid_inactive_candidate
005090,2018-01-02,2024-12-30,SGC에너지,982,492,005090,00125150,SGC에너지,True,mid_inactive_candidate
002420,2019-01-02,2024-12-30,세기상사,738,492,002420,00133618,세기상사,True,mid_inactive_candidate
002820,2018-01-02,2024-12-30,SUN&L,488,492,002820,00132211,SUN&L,True,mid_inactive_candidate
002150,2018-01-02,2024-12-30,도화엔지니어링,1473,492,002150,00114552,도화엔지니어링,True,mid_inactive_candidate
004840,2020-01-02,2024-12-30,DRB동일,738,492,004840,00118266,DRB동일,True,mid_inactive_candidate
002870,2018-01-02,2024-12-30,신풍,1721,492,002870,00137368,신풍,True,mid_inactive_candidate
003060,2018-01-02,2024-12-30,에이프로젠바이오로직스,1721,492,003060,00101044,에이프로젠바이오로직스,True,mid_inactive_candidate
003070,2018-01-02,2024-12-30,코오롱글로벌,1475,492,003070,00152880,코오롱글로벌,True,mid_inactive_candidate
004360,2021-01-04,2024-12-30,세방,983,492,004360,00133812,세방,True,mid_inactive_candidate
004270,2018-01-02,2024-12-30,남성,1721,492,004270,00172185,남성,True,mid_inactive_candidate
003850,2018-01-02,2024-12-30,보령,1721,492,003850,00123143,보령,True,mid_inactive_candidate
003920,2020-01-02,2024-12-30,남양유업,985,492,003920,00107598,남양유업,True,mid_inactive_candidate
