ticker,gap_start,gap_end,gap_days,name_before,name_after,name_changed
000020,2018-12-28,2020-01-02,370,동화약품,동화약품,False
000040,2018-12-28,2020-01-02,370,KR모터스,KR모터스,False
000050,2019-12-30,2025-01-02,1830,경방,경방,False
000070,2018-12-28,2020-01-02,370,삼양홀딩스,삼양홀딩스,False
000180,2018-12-28,2020-01-02,370,성창기업지주,성창기업지주,False
000230,2019-12-30,2021-01-04,371,일동홀딩스,일동홀딩스,False
000240,2021-12-30,2023-01-02,368,한국앤컴퍼니,한국앤컴퍼니,False
000370,2022-12-29,2024-01-02,369,한화손해보험,한화손해보험,False
000400,2020-12-30,2022-01-03,369,롯데손해보험,롯데손해보험,False
000480,2019-12-30,2023-01-02,1099,조선내화,조선내화,False
000500,2018-12-28,2021-01-04,738,가온전선,가온전선,False
000540,2022-12-29,2024-01-02,369,흥국화재,흥국화재,False
000670,2020-12-30,2022-01-03,369,영풍,영풍,False
000760,2018-12-28,2023-01-02,1466,이화산업,이화산업,False
000850,2019-12-30,2023-01-02,1099,화천기공,화천기공,False
000890,2021-12-30,2024-01-02,733,보해양조,보해양조,False
000970,2020-12-30,2022-01-03,369,한국주철관,한국주철관,False
001020,2018-12-28,2020-01-02,370,페이퍼코리아,페이퍼코리아,False
001040,2021-12-30,2023-01-02,368,CJ,CJ,False
001070,2019-12-30,2023-01-02,1099,대한방직,대한방직,False
001080,2018-12-28,2020-01-02,370,만호제강,만호제강,False
001200,2018-12-28,2020-01-02,370,유진투자증권,유진투자증권,False
001210,2019-12-30,2022-01-03,735,금호전기,금호전기,False
001230,2018-12-28,2020-01-02,370,동국제강,동국제강,False
001250,2018-12-28,2021-01-04,738,GS글로벌,GS글로벌,False
001270,2019-12-30,2025-01-02,1830,부국증권,부국증권,False
001290,2019-12-30,2025-01-02,1830,상상인증권,상상인증권,False
001510,2018-12-28,2020-01-02,370,SK증권,SK증권,False
001520,2021-12-30,2025-01-02,1099,동양,동양,False
001530,2019-12-30,2021-01-04,371,DI동일,DI동일,False
001550,2023-12-28,2025-01-02,371,조비,조비,False
