signal_date,execution_date,eligible_universe_size,target_quintile_min,target_quintile_max,종목코드,combined_flow_5,quantile_label,selected_headline
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,000660,0.2825782247028117,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,145720,0.1603756234475487,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,010060,0.1458643170450898,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,003490,0.12487876264693645,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,035510,0.10506148599478617,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,011170,0.09953442316287336,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,016360,0.0983248357369988,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,004990,0.08899515286398128,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,207940,0.07591269922768755,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,066570,0.06751183900886255,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,079160,0.06355431734292871,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,010130,0.04238168104207572,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,005070,0.036306331140332826,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,009420,0.030288392662710828,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,285130,0.028359313982419164,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,006650,0.02257348636240288,5,True
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,010770,0.017216547229846613,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,034220,0.01388037882860444,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,005420,0.010004178071137595,5,False
2018-02-13,2018-02-14,98,0.008576374695982375,0.2825782247028117,018260,0.008576374695982375,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,000660,0.34696920883660903,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,006400,0.2549435437230507,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,036460,0.1772334408026451,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,128940,0.17651660431257327,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,073240,0.17641623421855057,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,204320,0.15289927690323127,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,009150,0.150463036897823,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,010950,0.14548582511488262,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,000270,0.11505458848766292,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,009540,0.09218776358211703,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,251270,0.08529847754011087,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,047040,0.08509865245447162,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,090430,0.08221318410878543,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,139480,0.08102979191613782,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,017670,0.08068386211618504,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,066570,0.06691931420470783,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,006360,0.06454906417012263,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,010140,0.0629854156448483,5,False
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,036570,0.059513667863220196,5,True
2018-05-23,2018-05-24,99,0.05670219863843291,0.34696920883660903,012330,0.05670219863843291,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,047810,0.1969616860041259,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,000660,0.1698720065485937,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,030200,0.15979714818566743,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,018260,0.14613556678958067,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,081660,0.13877542768333417,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,007660,0.13299819138881425,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,034220,0.1307096534250588,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,015760,0.11986173606076446,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,000270,0.11882785131704864,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,207940,0.11086669205602487,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,005930,0.08768583958762738,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,128940,0.08544482838442194,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,011170,0.08114651790476032,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,009830,0.07927564954551167,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,005690,0.0766463583647008,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,090430,0.07442379009802608,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,032640,0.0735804574942063,5,True
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,180640,0.06874248158120846,5,False
2019-01-02,2019-01-03,93,0.06518423562739424,0.1969616860041259,010620,0.06518423562739424,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,028050,0.3341457275469952,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,086280,0.2932133270288863,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,004170,0.2771519443420775,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,006360,0.2688264946732859,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,006400,0.2616629053240002,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,035720,0.24955881948161862,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,008060,0.23935525256590554,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,066570,0.23831389764510882,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,008770,0.2242161762111767,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,028670,0.21653047461678665,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,036570,0.2104957246807118,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,011070,0.1764299699686785,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,017670,0.16853520975365527,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,105560,0.1666077124577114,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,000720,0.1582327178124007,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,032640,0.148622858119734,5,True
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,011780,0.13835483102755103,5,False
2019-05-02,2019-05-03,91,0.13152621802145978,0.3341457275469952,128940,0.13152621802145978,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,018260,0.223680742316082,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,010950,0.2232575395075774,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,000660,0.20802141762445908,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,005940,0.15424099068746414,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,005930,0.12934596248113683,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,035720,0.11813639558862563,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,139480,0.11714649542591292,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,096770,0.10542392269290031,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,035420,0.10126146647428125,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,036460,0.09600219811221719,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,204320,0.08867206130616063,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,021240,0.08680147351496598,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,016360,0.08545247578808743,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,090430,0.08171144397445625,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,180640,0.08009175707586463,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,000270,0.06918874725797014,5,True
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,000080,0.0637637924641198,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,028260,0.06375736933627815,5,False
2019-07-11,2019-07-12,96,0.06152400373680411,0.223680742316082,036570,0.06152400373680411,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,009150,0.24138254998573078,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,011070,0.20880254458585878,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,009540,0.20224367364612458,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,010950,0.1867625108474748,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,035720,0.1858285536224651,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,005930,0.17538779504965776,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,000120,0.17137637833592861,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,015760,0.13543703788942701,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,012450,0.1317729100216068,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,005380,0.12161577094701907,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,207940,0.10460107784423148,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,035420,0.10429150737980214,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,000660,0.1020314806377926,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,086280,0.09007437323058877,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,033780,0.08720835636947827,5,True
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,008060,0.07947710693955222,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,018260,0.05941300160007318,5,False
2019-09-24,2019-09-25,90,0.05572411117007876,0.24138254998573078,161390,0.05572411117007876,5,False
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,006650,0.21535502190883932,5,True
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,011170,0.10816669996941969,5,False
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,051910,0.0976195926448277,5,True
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,000720,0.09401845082474741,5,False
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,011790,0.08266670497515127,5,True
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,011780,0.07689867268990293,5,False
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,005380,0.07406104987562614,5,True
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,006360,0.07043667083709848,5,True
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,017800,0.06793865635307364,5,False
2020-04-14,2020-04-16,93,0.007352800459314892,0.21535502190883932,000810,0.040937453933820235,5,False
