execution_date,signal_date,종목코드,fnv_5,inv_5,combined_flow_5,signal
2018-01-30,2018-01-29,267250,0.157022604635183,0.29803666150182756,0.4550592661370106,True
2018-01-30,2018-01-29,010130,0.27058455655852787,0.134839028945727,0.4054235855042549,True
2018-01-30,2018-01-29,016360,0.0335615941028221,0.34765692951951593,0.38121852362233805,True
2018-01-30,2018-01-29,096770,0.1852811245551257,0.14168005770754086,0.3269611822626665,True
2018-01-30,2018-01-29,003490,0.08728367394401661,0.22260105290531657,0.30988472684933316,True
2018-01-30,2018-01-29,005880,0.06065244574730711,0.24827323003750942,0.30892567578481656,True
2018-01-30,2018-01-29,004990,0.1175975962232484,0.19028207982130502,0.3078796760445534,True
2018-01-30,2018-01-29,034220,0.17723620698314643,0.09547366990703426,0.2727098768901807,True
2018-01-30,2018-01-29,017800,0.23864393537550047,0.03396432826458542,0.2726082636400859,True
2018-01-30,2018-01-29,028260,0.05286792225566245,0.211003890289525,0.26387181254518743,True
2018-01-30,2018-01-29,034730,0.11131961346774477,0.15217325166400336,0.26349286513174813,True
2018-01-30,2018-01-29,028670,0.03839677737232436,0.22040466905750314,0.2588014464298275,True
2018-01-30,2018-01-29,010950,0.009688275451831242,0.24135541766076227,0.2510436931125935,True
2018-01-30,2018-01-29,207940,0.1885408641509397,0.0550501337928785,0.24359099794381822,True
2018-01-30,2018-01-29,023530,0.14422388020853463,0.09415934082717752,0.23838322103571213,True
2018-01-30,2018-01-29,009830,0.0865409009414973,0.1482982994154513,0.2348392003569486,True
2018-01-31,2018-01-30,010130,0.3259561665973558,0.13522782576751075,0.46118399236486657,True
2018-01-31,2018-01-30,003490,0.08191869206532663,0.21598559352103894,0.29790428558636556,True
2018-01-31,2018-01-30,267250,0.059153392361991776,0.22089068682045743,0.28004407918244917,True
2018-01-31,2018-01-30,010950,0.019758138541334676,0.2430885348629261,0.26284667340426077,True
2018-01-31,2018-01-30,096770,0.16768685785502083,0.0872439777483562,0.25493083560337704,True
2018-01-31,2018-01-30,028670,0.03060027463293794,0.21576717970122417,0.2463674543341621,True
2018-01-31,2018-01-30,023530,0.12937914861504413,0.11431157041352984,0.24369071902857398,True
2018-01-31,2018-01-30,034220,0.14416186750662782,0.05522435101741605,0.19938621852404387,True
2018-01-31,2018-01-30,028260,0.000783891245216109,0.19521007038889376,0.19599396163410987,True
2018-01-31,2018-01-30,034730,0.10246802291729533,0.09206596225940929,0.19453398517670462,True
2018-01-31,2018-01-30,207940,0.13999523290211827,0.0443515988488967,0.184346831751015,True
2018-01-31,2018-01-30,017800,0.15429819942305256,0.0255029059380934,0.17980110536114596,True
2018-01-31,2018-01-30,000720,0.03416157725716084,0.1420383350103978,0.17619991226755866,True
2018-01-31,2018-01-30,009150,0.011925660739913595,0.157090925864582,0.1690165866044956,True
2018-01-31,2018-01-30,036570,0.07849757356040041,0.07726854223232411,0.1557661157927245,True
2018-02-01,2018-01-31,010130,0.26725304573988884,0.1243882261082373,0.39164127184812614,True
2018-02-01,2018-01-31,023530,0.13142064354058117,0.13595049736221956,0.26737114090280073,True
2018-02-01,2018-01-31,003490,0.0791023653867153,0.17015366782546468,0.24925603321217998,True
2018-02-01,2018-01-31,028670,0.01943492175793704,0.21705085091027385,0.2364857726682109,True
2018-02-01,2018-01-31,028260,0.008869831105161735,0.22416690809437656,0.2330367391995383,True
2018-02-01,2018-01-31,010950,0.013790360674196919,0.2101268417027369,0.22391720237693383,True
2018-02-01,2018-01-31,267250,0.04397031669771296,0.16126197259105665,0.2052322892887696,True
2018-02-01,2018-01-31,009830,0.128389128112356,0.06719723701267591,0.1955863651250319,True
2018-02-01,2018-01-31,096770,0.12901267301947375,0.05111351530279024,0.18012618832226399,True
2018-02-01,2018-01-31,034730,0.13609259889513053,0.041049648284488226,0.17714224717961877,True
