date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2014-05-21,1.0155520829981275,1.7729041304499333,1.0
2014-05-22,1.0219542652713334,1.7807955942043916,1.0
2014-05-23,1.0199352439515246,1.782465557610133,1.0
2014-05-26,1.0180274533593292,1.776866994643181,1.0
2014-05-27,1.0014510831866574,1.7659913416875443,1.0
2014-05-28,1.0094546026039155,1.7834154920884535,1.0
2014-05-29,1.009425889815595,1.7797121703665417,1.0
2014-05-30,1.005680664899657,1.7651440562918648,1.0
2014-06-02,1.014762427853691,1.7717208493761643,1.0
2014-06-03,1.016868282322605,1.7782739321432341,1.0
2014-06-05,1.0195887577440679,1.767496935419532,1.0
2014-06-09,1.0134897140533914,1.7637535381337894,1.0
2014-06-10,1.0219413906991568,1.7835145331628615,1.0
2014-06-11,1.0215721494898837,1.786449524025379,1.0
2014-06-12,1.0200015951554764,1.7841156069029698,1.0
2014-06-13,1.0071742274954858,1.7661733042848482,1.0
2014-06-16,1.0170405665863125,1.7689571670825346,1.0
2014-06-17,1.027720675300269,1.7765454000412302,1.0
2014-06-18,1.0163648534701273,1.7662276851129834,1.0
2014-06-19,1.0233412976035512,1.7692444049864515,1.0
2014-06-20,1.0025195844444896,1.7483445237348116,1.0
2014-06-23,1.0049095664285388,1.7549382559022302,1.0
2014-06-24,1.022074982596121,1.7725618483498653,1.0
2014-06-25,1.0216136968242222,1.7618880841839957,1.0
2014-06-26,1.0256803868097737,1.774256556735432,1.0
2014-06-27,1.0133595979974412,1.7688209308011058,1.0
2014-06-30,1.0231702454832843,1.7813640453269466,1.0
2014-07-01,1.0151317773071549,1.7788901529514887,1.0
2014-07-02,1.0290782060210875,1.79367672467104,1.0
2014-07-03,1.0239661796002286,1.7902482327941558,1.0
2014-07-04,1.0187875090796419,1.7894359513686557,1.0
2014-07-07,1.0204626225884412,1.7859052889385196,1.0
2014-07-08,1.0174521507640526,1.7877298618822302,1.0
2014-07-09,1.0025430853152408,1.782781025369631,1.0
2014-07-10,1.010303292509369,1.7853780317041648,1.0
