period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,0.2403692106606221,0.2488558291225731,0.11689910662167491,0.12081467977724292,-0.04658520491128293,-0.0466295665722366,10,10
2018-2026,2018-01-01,2026-05-04,0.2116622862418045,0.2555400109357755,0.0502930892093969,0.05988543807332358,-0.3303389101288099,-0.3240303062470641,55,55
