experiment,holding_days,event_count,mean_excess_return,median_excess_return,hit_rate,verdict
R001,21,1957,inf,-0.01388744932158803,0.4343382728666326,WEAK
R001,63,1843,inf,-0.045923468989003347,0.38958220293000545,WEAK
R001,126,1723,inf,-0.10239709620207837,0.3517121300058038,WEAK
R002,21,370,-0.03440209552069202,-0.04256995144695941,0.31891891891891894,FAIL
R002,63,292,-0.06872904917665673,-0.08230458496742205,0.2842465753424658,FAIL
R002,126,268,-0.12315999664666549,-0.14205110888955336,0.291044776119403,FAIL
