quarter,quarter_end_date,final_sector_code,final_sector_name,n_stocks,mcap,mcap_total,mcap_weight
2010Q1,2010-03-31,01,반도체/IT하드웨어,11.0,187248146204650.0,721968209441770.0,0.25935788273756727
2010Q1,2010-03-31,02,자동차/운송장비,9.0,83412721810750.0,721968209441770.0,0.1155351727678497
2010Q1,2010-03-31,03,2차전지/화학/소재,13.0,61650180369375.0,721968209441770.0,0.08539182136155729
2010Q1,2010-03-31,04,철강금속,5.0,57957069479425.0,721968209441770.0,0.08027648409095152
2010Q1,2010-03-31,05,조선/기계/산업재,9.0,30885185377700.0,721968209441770.0,0.04277914868520403
2010Q1,2010-03-31,06,금융,17.0,122921185181400.0,721968209441770.0,0.17025844569588927
2010Q1,2010-03-31,07,헬스케어,4.0,6759005418850.0,721968209441770.0,0.009361915566997198
2010Q1,2010-03-31,08,인터넷/게임/SW,12.0,72541263240600.0,721968209441770.0,0.10047708789932638
2010Q1,2010-03-31,09,소비재/유통,10.0,37697430024720.0,721968209441770.0,0.05221480604231573
2010Q1,2010-03-31,10,음식료,3.0,14570675109200.0,721968209441770.0,0.020181879089199967
2010Q1,2010-03-31,11,에너지/유틸리티,1.0,23449299873600.0,721968209441770.0,0.03247968479350515
2010Q1,2010-03-31,12,건설/부동산,6.0,22876047351500.0,721968209441770.0,0.0316856712696365
2010Q1,2010-03-31,99,기타,0.0,0.0,0.0,0.0
2010Q2,2010-06-30,01,반도체/IT하드웨어,12.0,183309515367550.0,747612002424380.0,0.24519338209272734
2010Q2,2010-06-30,02,자동차/운송장비,9.0,94824881355660.0,747612002424380.0,0.1268370238147045
2010Q2,2010-06-30,03,2차전지/화학/소재,20.0,82855119165850.0,747612002424380.0,0.11082636300268693
2010Q2,2010-06-30,04,철강금속,4.0,53363296043800.0,747612002424380.0,0.0713783297629677
2010Q2,2010-06-30,05,조선/기계/산업재,9.0,33514627541120.0,747612002424380.0,0.04482890514389509
2010Q2,2010-06-30,06,금융,15.0,130634201898450.0,747612002424380.0,0.17473529247099465
2010Q2,2010-06-30,07,헬스케어,2.0,6897892518500.0,747612002424380.0,0.009226567385396829
2010Q2,2010-06-30,08,인터넷/게임/SW,13.0,72902622672150.0,747612002424380.0,0.09751398109679761
2010Q2,2010-06-30,09,소비재/유통,6.0,35143100740200.0,747612002424380.0,0.04700713822977271
2010Q2,2010-06-30,10,음식료,4.0,15218759900900.0,747612002424380.0,0.02035649488176771
2010Q2,2010-06-30,11,에너지/유틸리티,2.0,23523353344700.0,747612002424380.0,0.0314646544844354
2010Q2,2010-06-30,12,건설/부동산,4.0,15424631875500.0,747612002424380.0,0.02063186763385354
2010Q2,2010-06-30,99,기타,0.0,0.0,0.0,0.0
2010Q3,2010-09-30,01,반도체/IT하드웨어,10.0,179082724006650.0,824562204055530.0,0.2171852203822208
2010Q3,2010-09-30,02,자동차/운송장비,8.0,115476694392450.0,824562204055530.0,0.14004606787030616
2010Q3,2010-09-30,03,2차전지/화학/소재,16.0,90885465748800.0,824562204055530.0,0.11022269187429228
2010Q3,2010-09-30,04,철강금속,5.0,61162207404640.0,824562204055530.0,0.07417537100757172
2010Q3,2010-09-30,05,조선/기계/산업재,10.0,39188536778040.0,824562204055530.0,0.04752647718424995
2010Q3,2010-09-30,06,금융,17.0,139105443140300.0,824562204055530.0,0.1687021821472331
2010Q3,2010-09-30,07,헬스케어,2.0,7400468935000.0,824562204055530.0,0.008975028079872573
2010Q3,2010-09-30,08,인터넷/게임/SW,12.0,85033580238150.0,824562204055530.0,0.10312573123036746
2010Q3,2010-09-30,09,소비재/유통,10.0,48339695516700.0,824562204055530.0,0.05862468019871133
2010Q3,2010-09-30,10,음식료,4.0,18601245058500.0,824562204055530.0,0.022558934871149273
2010Q3,2010-09-30,11,에너지/유틸리티,1.0,18862090732800.0,824562204055530.0,0.02287527931795639
2010Q3,2010-09-30,12,건설/부동산,5.0,21424052103500.0,824562204055530.0,0.025982335836068956
2010Q3,2010-09-30,99,기타,0.0,0.0,0.0,0.0
2010Q4,2010-12-30,01,반도체/IT하드웨어,8.0,207587619525000.0,927555489860200.0,0.22380075563596452
2010Q4,2010-12-30,02,자동차/운송장비,9.0,144372544506100.0,927555489860200.0,0.1556484178945021
2010Q4,2010-12-30,03,2차전지/화학/소재,14.0,102981356259300.0,927555489860200.0,0.1110244695708946
2010Q4,2010-12-30,04,철강금속,5.0,60567642323630.0,927555489860200.0,0.06529813362730318
2010Q4,2010-12-30,05,조선/기계/산업재,13.0,39915652062720.0,927555489860200.0,0.04303316890371275
2010Q4,2010-12-30,06,금융,20.0,164392749750000.0,927555489860200.0,0.17723225353857489
2010Q4,2010-12-30,07,헬스케어,1.0,5498955000000.0,927555489860200.0,0.005928437770153024
2010Q4,2010-12-30,08,인터넷/게임/SW,13.0,92010510294600.0,927555489860200.0,0.09919677183784197
2010Q4,2010-12-30,09,소비재/유통,7.0,49276233879450.0,927555489860200.0,0.053124836646567475
2010Q4,2010-12-30,10,음식료,2.0,12739386649900.0,927555489860200.0,0.01373436607207194
2010Q4,2010-12-30,11,에너지/유틸리티,3.0,23408268637400.0,927555489860200.0,0.025236515651401153
