variant,stress_window,measurement_type,total_return,baseline_total_return,delta_total_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_daily_max_drawdown,delta_mdd_pp,proxy_excluded_sleeves
N002-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2936468318235559,0.2798274908556464,0.013819340967909488,1.3819340967909488,-0.22188709149471175,-0.1139424568406335,-0.10794463465407825,-10.794463465407825,H001;SHY
N002-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.1464287595756436,-0.0338014808439223,-0.1126272787317213,-11.26272787317213,-0.5048129072403422,-0.3126571229831321,-0.19215578425721014,-19.215578425721013,H001;SHY
N002-A,covid_2020_02_2020_03,exact,-0.10571701016345358,-0.0903787945228757,-0.015338215640577885,-1.5338215640577886,-0.2141034310059351,-0.1997684591470635,-0.014334971858871587,-1.4334971858871586,
N002-A,rate_shock_2022,exact,-0.1534770674296284,-0.1836134839585798,0.030136416528951382,3.013641652895138,-0.17887200292335248,-0.210901177900133,0.03202917497678051,3.202917497678051,
N002-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2529869899091284,0.2798274908556464,-0.02684050094651802,-2.684050094651802,-0.1000046690970211,-0.1139424568406335,0.013937787743612401,1.3937787743612402,H001
N002-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.017883912175393202,-0.0338014808439223,0.0159175686685291,1.59175686685291,-0.2753777063587848,-0.3126571229831321,0.037279416624347306,3.7279416624347306,H001
N002-B,covid_2020_02_2020_03,exact,-0.08132395653438484,-0.0903787945228757,0.009054837988490855,0.9054837988490855,-0.18075580176360084,-0.1997684591470635,0.019012657383462667,1.9012657383462668,
N002-B,rate_shock_2022,exact,-0.16388758869880804,-0.1836134839585798,0.019725895259771753,1.9725895259771753,-0.18978212446976406,-0.210901177900133,0.021119053430368934,2.1119053430368933,
N002-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.3104400802738474,0.2798274908556464,0.030612589418200997,3.0612589418200997,-0.15045787195623372,-0.1139424568406335,-0.03651541511560022,-3.651541511560022,H001;SHY
N002-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.07430119055335338,-0.0338014808439223,-0.04049970970943108,-4.049970970943108,-0.38961752464510846,-0.3126571229831321,-0.07696040166197637,-7.696040166197637,H001;SHY
N002-C,covid_2020_02_2020_03,exact,-0.09801604839003619,-0.0903787945228757,-0.007637253867160493,-0.7637253867160493,-0.20691110576437033,-0.1997684591470635,-0.007142646617306819,-0.7142646617306819,
N002-C,rate_shock_2022,exact,-0.16863132793217306,-0.1836134839585798,0.014982156026406734,1.4982156026406734,-0.19499551777205515,-0.210901177900133,0.015905660128077842,1.590566012807784,
