date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2010-04-15,1.0012545504098422,0.0,1.0012545504098422,1.0012545504098422,0,1.0,1.0012545504098422,1.0012545504098422
2010-04-16,1.0013686784619145,0.0,1.0013686784619145,1.0013686784619145,0,1.0,1.0013686784619145,1.0013686784619145
2010-04-19,1.0014828195228787,0.0,1.0014828195228787,1.0014828195228787,0,1.0,1.0014828195228787,1.0014828195228787
2010-04-20,1.0015969735942176,0.0,1.0015969735942176,1.0015969735942176,0,1.0,1.0015969735942176,1.0015969735942176
2010-04-21,1.0017111406774144,0.0,1.0017111406774144,1.0017111406774144,0,1.0,1.0017111406774144,1.0017111406774144
2010-04-22,1.001825320773952,0.0,1.001825320773952,1.001825320773952,0,1.0,1.001825320773952,1.001825320773952
2010-04-23,1.001939513885314,0.0,1.001939513885314,1.001939513885314,0,1.0,1.001939513885314,1.001939513885314
2010-04-26,1.0020537200129835,0.0,1.0020537200129835,1.0020537200129835,0,1.0,1.0020537200129835,1.0020537200129835
2010-04-27,1.0021679391584446,0.0,1.0021679391584446,1.0021679391584446,0,1.0,1.0021679391584446,1.0021679391584446
2010-04-28,1.0022821713231809,0.0,1.0022821713231809,1.0022821713231809,0,1.0,1.0022821713231809,1.0022821713231809
2010-04-29,1.0023964165086763,0.0,1.0023964165086763,1.0023964165086763,0,1.0,1.0023964165086763,1.0023964165086763
2010-04-30,1.0025106747164152,0.0,1.0025106747164152,1.0025106747164152,0,1.0,1.0025106747164152,1.0025106747164152
2010-05-03,1.002624945947882,0.0,1.002624945947882,1.002624945947882,0,1.0,1.002624945947882,1.002624945947882
2010-05-04,1.002739230204561,0.0,1.002739230204561,1.002739230204561,0,1.0,1.002739230204561,1.002739230204561
2010-05-06,1.0028535274879369,0.0,1.0028535274879369,1.0028535274879369,0,1.0,1.0028535274879369,1.0028535274879369
2010-05-07,1.0029678377994946,0.0,1.0029678377994946,1.0029678377994946,0,1.0,1.0029678377994946,1.0029678377994946
2010-05-10,1.003082161140719,0.0,1.003082161140719,1.003082161140719,0,1.0,1.003082161140719,1.003082161140719
2010-05-11,1.0031964975130956,0.0,1.0031964975130956,1.0031964975130956,0,1.0,1.0031964975130956,1.0031964975130956
2010-05-12,1.0033108469181096,0.0,1.0033108469181096,1.0033108469181096,0,1.0,1.0033108469181096,1.0033108469181096
2010-05-13,1.0034252093572464,0.0,1.0034252093572464,1.0034252093572464,0,1.0,1.0034252093572464,1.0034252093572464
2010-05-14,1.0035395848319917,0.0,1.0035395848319917,1.0035395848319917,0,1.0,1.0035395848319917,1.0035395848319917
2010-05-17,1.0036539733438314,0.0,1.0036539733438314,1.0036539733438314,0,1.0,1.0036539733438314,1.0036539733438314
2010-05-18,1.0037683748942516,0.0,1.0037683748942516,1.0037683748942516,0,1.0,1.0037683748942516,1.0037683748942516
2010-05-19,1.0038827894847386,0.0,1.0038827894847386,1.0038827894847386,0,1.0,1.0038827894847386,1.0038827894847386
2010-05-20,1.0039972171167786,0.0,1.0039972171167786,1.0039972171167786,0,1.0,1.0039972171167786,1.0039972171167786
2010-05-24,1.0041116577918583,0.0,1.0041116577918583,1.0041116577918583,0,1.0,1.0041116577918583,1.0041116577918583
2010-05-25,1.0042261115114641,0.0,1.0042261115114641,1.0042261115114641,0,1.0,1.0042261115114641,1.0042261115114641
2010-05-26,1.0043405782770833,0.0,1.0043405782770833,1.0043405782770833,0,1.0,1.0043405782770833,1.0043405782770833
2010-05-27,1.0044550580902027,0.0,1.0044550580902027,1.0044550580902027,0,1.0,1.0044550580902027,1.0044550580902027
2010-05-28,1.0045695509523096,0.0,1.0045695509523096,1.0045695509523096,0,1.0,1.0045695509523096,1.0045695509523096
2010-05-31,1.0046840568648912,0.0,1.0046840568648912,1.0046840568648912,0,1.0,1.0046840568648912,1.0046840568648912
2010-06-01,1.004798575829435,0.0,1.004798575829435,1.004798575829435,0,1.0,1.004798575829435,1.004798575829435
2010-06-03,1.0049131078474294,0.0,1.0049131078474294,1.0049131078474294,0,1.0,1.0049131078474294,1.0049131078474294
2010-06-04,1.0050276529203617,0.0,1.0050276529203617,1.0050276529203617,0,1.0,1.0050276529203617,1.0050276529203617
2010-06-07,1.00514221104972,0.0,1.00514221104972,1.00514221104972,0,1.0,1.00514221104972,1.00514221104972
2010-06-08,1.0052567822369927,0.0,1.0052567822369927,1.0052567822369927,0,1.0,1.0052567822369927,1.0052567822369927
2010-06-09,1.005371366483668,0.0,1.005371366483668,1.005371366483668,0,1.0,1.005371366483668,1.005371366483668
2010-06-10,1.0054859637912348,0.0,1.0054859637912348,1.0054859637912348,0,1.0,1.0054859637912348,1.0054859637912348
2010-06-11,1.0056005741611815,0.0,1.0056005741611815,1.0056005741611815,0,1.0,1.0056005741611815,1.0056005741611815
2010-06-14,1.0057151975949974,0.0,1.0057151975949974,1.0057151975949974,0,1.0,1.0057151975949974,1.0057151975949974
2010-06-15,1.0058298340941714,0.0,1.0058298340941714,1.0058298340941714,0,1.0,1.0058298340941714,1.0058298340941714
2010-06-16,1.0059444836601925,0.0,1.0059444836601925,1.0059444836601925,0,1.0,1.0059444836601925,1.0059444836601925
2010-06-17,1.0060591462945505,0.0,1.0060591462945505,1.0060591462945505,0,1.0,1.0060591462945505,1.0060591462945505
2010-06-18,1.0061738219987348,0.0,1.0061738219987348,1.0061738219987348,0,1.0,1.0061738219987348,1.0061738219987348
2010-06-21,1.0062885107742352,0.0,1.0062885107742352,1.0062885107742352,0,1.0,1.0062885107742352,1.0062885107742352
2010-06-22,1.0064032126225417,0.0,1.0064032126225417,1.0064032126225417,0,1.0,1.0064032126225417,1.0064032126225417
2010-06-23,1.0065179275451444,0.0,1.0065179275451444,1.0065179275451444,0,1.0,1.0065179275451444,1.0065179275451444
2010-06-24,1.0066326555435334,0.0,1.0066326555435334,1.0066326555435334,0,1.0,1.0066326555435334,1.0066326555435334
2010-06-25,1.0067473966191993,0.0,1.0067473966191993,1.0067473966191993,0,1.0,1.0067473966191993,1.0067473966191993
2010-06-28,1.0068621507736328,0.0,1.0068621507736328,1.0068621507736328,0,1.0,1.0068621507736328,1.0068621507736328
