variant,cumulative_net_total_return,sharpe,max_drawdown,off_carry_cumulative,cumulative_delta_vs_d013,sharpe_delta_vs_d013,mdd_delta_vs_d013,cumulative_pass,sharpe_pass,mdd_pass,pass
d013_baseline,2.5457702903350135,0.5333654677635088,-0.3392346174957135,0.0,0.0,0.0,0.0,,,,
d013_kr_short_rate_sleeve,3.571886489071015,0.6461391042868482,-0.3392346174957135,0.2893916172552795,1.0261161987360015,0.11277363652333938,0.0,,,,
verdict,,,,0.2893916172552795,1.0261161987360015,0.11277363652333938,0.0,True,True,True,True
