signal_date,mode,top_mean_forward_return,bottom_mean_forward_return,spread,spread_std,spread_t_stat,positive_spread_ratio,n_quarters
2017-03-31 00:00:00,within_sector,0.15684390946975557,0.17927318118902646,-0.022429271719270893,,,,
2017-06-30 00:00:00,within_sector,-0.09973159387892852,-0.017593631045071556,-0.08213796283385696,,,,
2017-12-28 00:00:00,within_sector,-0.046417494467363485,0.1841478453273096,-0.23056533979467309,,,,
2019-06-28 00:00:00,within_sector,-0.03855459560915092,-0.1369264621377318,0.09837186652858088,,,,
2019-09-30 00:00:00,within_sector,0.1475803707261556,-0.07276212106904015,0.22034249179519574,,,,
2019-12-30 00:00:00,within_sector,-0.14461459505910002,-0.08361465422050826,-0.060999940838591754,,,,
2020-03-31 00:00:00,within_sector,0.3008703536320378,0.10031964066224083,0.20055071296979696,,,,
2020-06-30 00:00:00,within_sector,0.24244588992032148,-0.004298732350222295,0.24674462227054378,,,,
2020-09-29 00:00:00,within_sector,0.22425083964898002,0.4714243396053978,-0.2471734999564178,,,,
2020-12-30 00:00:00,within_sector,0.38194262453173194,0.0028072487764084775,0.37913537575532347,,,,
2021-03-31 00:00:00,within_sector,0.3736130673415607,0.07592479111266422,0.2976882762288965,,,,
2021-06-30 00:00:00,within_sector,-0.06715870188647696,0.029891747908642935,-0.0970504497951199,,,,
2021-09-30 00:00:00,within_sector,-0.046980148793633686,-0.05138256570243624,0.004402416908802553,,,,
2021-12-30 00:00:00,within_sector,0.05991911460215879,0.045211939305537935,0.014707175296620856,,,,
2023-09-27 00:00:00,within_sector,-0.08726451899410195,-0.014113635059740559,-0.0731508839343614,,,,
2023-12-28 00:00:00,within_sector,-0.00462204739722985,0.12270872480834594,-0.1273307722055758,,,,
2024-03-29 00:00:00,within_sector,0.6752884699078112,0.33927711588822157,0.33601135401958965,,,,
2024-09-30 00:00:00,within_sector,-0.07565472656263866,-0.06846452459693991,-0.00719020196569875,,,,
2025-06-30 00:00:00,within_sector,0.026083505011949837,-0.014148169887697293,0.04023167489964713,,,,
2025-09-30 00:00:00,within_sector,0.43914591138174086,0.2887277262501579,0.15041818513158295,,,,
2025-12-30 00:00:00,within_sector,0.12284506556138419,0.08141193184422543,0.04143313371715876,,,,
2026-03-31 00:00:00,within_sector,0.3873142576538476,0.22911142869088869,0.1582028289629589,,,,
ALL,within_sector,0.13305204348821872,0.07667878024089453,0.05637326324732417,0.17486965938479077,1.5120635752260267,0.5909090909090909,22.0
