date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2023-09-20,1.573693953450034,0.0,1.573693953450034,1.573693953450034,0,1.2516360548414096,1.573693953450034,1.2573095408708335
2023-09-21,1.5739315581044906,0.0,1.5739315581044906,1.5739315581044906,0,1.2516360548414096,1.5739315581044906,1.2574993761296833
2023-09-22,1.5741691986337576,0.0,1.5741691986337576,1.5741691986337576,0,1.2516360548414096,1.5741691986337576,1.2576892400508668
2023-09-25,1.5744068750432512,0.0,1.5744068750432512,1.5744068750432512,0,1.2516360548414096,1.5744068750432512,1.2578791326387115
2023-09-26,1.5746445873383887,0.0,1.5746445873383887,1.5746445873383887,0,1.2516360548414096,1.5746445873383887,1.2580690538975456
2023-09-27,1.5748823355245887,0.0,1.5748823355245887,1.5748823355245887,0,1.2516360548414096,1.5748823355245887,1.258259003831698
2023-10-04,0.0,1.5730002625486639,1.5730002625486639,1.5730002625486639,5,1.2501402793530614,1.5730002625486639,1.258259003831698
2023-10-05,0.0,1.6054862736592503,1.6054862736592503,1.6054862736592503,5,1.2759585020017044,1.6054862736592503,1.258259003831698
2023-10-06,0.0,1.6059600178942004,1.6059600178942004,1.6059600178942004,5,1.27633500972667,1.6059600178942004,1.258259003831698
2023-10-10,0.0,1.5868214935838374,1.5868214935838374,1.5868214935838374,5,1.2611246879629618,1.5868214935838374,1.258259003831698
2023-10-11,0.0,1.6248082422628547,1.6248082422628547,1.6248082422628547,5,1.2913146159216242,1.6248082422628547,1.258259003831698
2023-10-12,0.0,1.6509547779201954,1.6509547779201954,1.6509547779201954,5,1.312094547221713,1.6509547779201954,1.258259003831698
2023-10-13,0.0,1.6348824725256745,1.6348824725256745,1.6348824725256745,5,1.2993210996679287,1.6348824725256745,1.258259003831698
2023-10-16,0.0,1.6178764811390247,1.6178764811390247,1.6178764811390247,5,1.2858056061686869,1.6178764811390247,1.258259003831698
2023-10-17,0.0,1.6448000423089337,1.6448000423089337,1.6448000423089337,5,1.3072030776653505,1.6448000423089337,1.258259003831698
2023-10-18,0.0,1.6334040647411052,1.6334040647411052,1.6334040647411052,5,1.2981461366594644,1.6334040647411052,1.258259003831698
2023-10-19,0.0,1.597998821866548,1.597998821866548,1.597998821866548,5,1.2700078576829263,1.597998821866548,1.258259003831698
2023-10-20,0.0,1.5687641865938724,1.5687641865938724,1.5687641865938724,5,1.2467736625103514,1.5687641865938724,1.258259003831698
2023-10-23,0.0,1.5579334749088616,1.5579334749088616,1.5579334749088616,5,1.2381659659613669,1.5579334749088616,1.258259003831698
2023-10-24,0.0,1.6046489398412327,1.6046489398412327,1.6046489398412327,5,1.2752930318437579,1.6046489398412327,1.258259003831698
2023-10-25,0.0,1.5540144619412342,1.5540144619412342,1.5540144619412342,5,1.2350513345892145,1.5540144619412342,1.258259003831698
2023-10-26,0.0,1.5089102080361019,1.5089102080361019,1.5089102080361019,5,1.1992047769506209,1.5089102080361019,1.258259003831698
2023-10-27,0.0,1.5076015930722142,1.5076015930722142,1.5076015930722142,5,1.1981647566051254,1.5076015930722142,1.258259003831698
2023-10-30,0.0,1.515950878083805,1.515950878083805,1.515950878083805,5,1.204800341954537,1.515950878083805,1.258259003831698
2023-10-31,0.0,1.474738495800581,1.474738495800581,1.474738495800581,5,1.1720468451325612,1.474738495800581,1.258259003831698
2023-11-01,0.0,1.4802797527820535,1.4802797527820535,1.4802797527820535,5,1.1764507532028377,1.4802797527820535,1.258259003831698
