signal_date,net_value,portfolio_drawdown,drawdown_lookback_days,warning_threshold,hard_threshold,hard_scalar,exposure_scalar
2010-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2010-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2010-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2010-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2011-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2011-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2011-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2011-12-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2012-03-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2012-06-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2012-09-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2012-12-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2013-03-29,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2013-06-28,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2013-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2013-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2014-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2014-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2014-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2014-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2015-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2015-06-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2015-09-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2015-12-30,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2017-03-31,1.0,0.0,252,-0.05,-0.15,0.5,1.0
2017-06-30,1.1728860946544126,-0.0014017118280239549,252,-0.05,-0.15,0.5,1.0
2017-09-29,1.2664915602831872,-0.010106183767100152,252,-0.05,-0.15,0.5,1.0
2017-12-28,1.2969109971598058,0.0,252,-0.05,-0.15,0.5,1.0
2018-03-30,1.3458331747395123,-0.06043923076103397,252,-0.05,-0.15,0.5,0.9478038461948302
2018-06-29,1.3436634626221342,-0.06195396261955377,252,-0.05,-0.15,0.5,0.9402301869022311
2018-09-28,1.3436634626221342,-0.06195396261955377,252,-0.05,-0.15,0.5,0.9402301869022311
2018-12-28,1.3436634626221342,-0.06195396261955377,252,-0.05,-0.15,0.5,0.9402301869022311
2019-03-29,1.3436634626221342,-0.016619134719122575,252,-0.05,-0.15,0.5,1.0
2019-06-28,1.3436634626221342,0.0,252,-0.05,-0.15,0.5,1.0
2019-09-30,1.2333806973626102,-0.08207618077543699,252,-0.05,-0.15,0.5,0.839619096122815
2019-12-30,1.3330143527919471,-0.010744477599347046,252,-0.05,-0.15,0.5,1.0
2020-03-31,1.217583413946421,-0.15310087486834456,252,-0.05,-0.15,0.5,0.5
2020-06-30,1.411627270686307,-0.07491444350520726,252,-0.05,-0.15,0.5,0.8754277824739637
2020-09-29,1.4259158707400517,-0.06555065618915201,252,-0.05,-0.15,0.5,0.9222467190542399
2020-12-30,1.6974769878778706,0.0,252,-0.05,-0.15,0.5,1.0
2021-03-31,1.778003980087019,-0.08584194419471591,252,-0.05,-0.15,0.5,0.8207902790264204
2021-06-30,2.035699742289492,-0.037357455384796845,252,-0.05,-0.15,0.5,1.0
2021-09-30,1.7744072560801354,-0.1609175554271134,252,-0.05,-0.15,0.5,0.5
2021-12-30,1.5613919305261277,-0.2616483315693374,252,-0.05,-0.15,0.5,0.5
2022-03-31,1.6097029881573734,-0.23880297845312104,252,-0.05,-0.15,0.5,0.5
2022-06-30,1.6001160555135945,-0.22278653828401962,252,-0.05,-0.15,0.5,0.5
2022-09-30,1.6001160555135945,-0.1298795087666269,252,-0.05,-0.15,0.5,0.6006024561668655
2022-12-29,1.6001160555135945,-0.05893288922452533,252,-0.05,-0.15,0.5,0.9553355538773733
2023-03-31,1.6001160555135945,-0.005955715255739902,252,-0.05,-0.15,0.5,1.0
2023-06-30,1.6001160555135945,0.0,252,-0.05,-0.15,0.5,1.0
2023-09-27,1.6001160555135945,0.0,252,-0.05,-0.15,0.5,1.0
2023-12-28,1.6905344683150225,-0.005698663364132495,252,-0.05,-0.15,0.5,1.0
2024-03-29,1.6263539436552887,-0.053622253676824605,252,-0.05,-0.15,0.5,0.981888731615877
2024-06-28,1.8297104029345077,-0.0063926229234844145,252,-0.05,-0.15,0.5,1.0
2024-09-30,1.8155992426630894,-0.01405555850187068,252,-0.05,-0.15,0.5,1.0
2024-12-30,1.9150421397468398,-0.013076367434800451,252,-0.05,-0.15,0.5,1.0
2025-03-31,1.9156508224443964,-0.012762680687922079,252,-0.05,-0.15,0.5,1.0
2025-06-30,1.9156508224443964,-0.012762680687922079,252,-0.05,-0.15,0.5,1.0
2025-09-30,1.9067391285064552,-0.028388952822713698,252,-0.05,-0.15,0.5,1.0
2025-12-30,2.6893415053513574,-0.001412958502909678,252,-0.05,-0.15,0.5,1.0
2026-03-31,3.2590912723027934,-0.2600178640625477,252,-0.05,-0.15,0.5,0.5
