date,nav,n_positions
2012-05-07,1.0,30
2012-05-08,0.9943683140721988,30
2012-05-09,0.9878229062291476,30
2012-05-10,0.9870347830676213,30
2012-05-11,0.991580655148489,30
2012-05-14,0.9841164430356826,30
2012-05-15,0.9813203150222285,30
2012-05-16,0.9758915790148013,30
2012-05-17,0.9606361967284551,30
2012-05-18,0.950831454598109,30
2012-05-21,0.9677016803665669,30
2012-05-22,0.9657470446274418,30
2012-05-23,0.9674200151575714,30
2012-05-24,0.9686935006921903,30
2012-05-25,0.9666286705165956,30
2012-05-29,0.9773168445895698,30
2012-05-30,0.9630538943228802,30
2012-05-31,0.9593979688783628,30
2012-06-01,0.933983571108119,30
2012-06-04,0.9403697914695414,30
2012-06-05,0.9439153838794765,30
2012-06-06,0.9649635931574296,30
2012-06-07,0.9639872492313203,30
2012-06-08,0.9713596679809016,30
2012-06-11,0.9600232718745674,30
2012-06-12,0.9697164659042059,30
2012-06-13,0.9609430137640876,30
2012-06-14,0.9709376198126581,30
2012-06-15,0.9825857641982773,30
2012-06-18,0.9880370623487403,30
2012-06-19,0.9985206377196034,30
2012-06-20,0.9952972674925359,30
2012-06-21,0.9751120147814126,30
2012-06-22,0.9853614552611947,30
2012-06-25,0.9693924257406138,30
2012-06-26,0.9743396846867913,30
2012-06-27,0.979353949035204,30
2012-06-28,0.9732105511322634,30
2012-06-29,0.993491655357947,30
2012-07-02,0.991344981160897,30
2012-07-03,0.9966366501767373,30
2012-07-05,0.9984936707337004,30
2012-07-06,0.9879822124173635,30
2012-07-09,0.9878632883830816,30
2012-07-10,0.9805583742007601,30
2012-07-11,0.9778434902206782,30
2012-07-12,0.9736143859340787,30
2012-07-13,0.9895379220276982,30
2012-07-16,0.9864379768957696,30
2012-07-17,0.9932411543136749,30
2012-07-18,1.0029300139966826,30
2012-07-19,1.0036367101493104,30
2012-07-20,0.9904452422128608,30
2012-07-23,0.9770658662989201,30
2012-07-24,0.9678584329117557,30
2012-07-25,0.9573189921440928,30
2012-07-26,0.9706964546479065,30
2012-07-27,0.9881478931867452,30
2012-07-30,0.985443057992098,30
2012-07-31,0.9767151864944859,30
2012-08-01,0.9734749678583382,30
2012-08-02,0.9658174676142238,30
2012-08-03,0.9840969463123136,30
2012-08-06,0.9862735273632722,30
2012-08-07,0.9951665633786525,30
2012-08-08,0.9951132710667848,30
2012-08-09,0.9939072827045925,30
2012-08-10,0.9978399536569073,30
2012-08-13,0.9955969981853903,30
2012-08-14,0.9984106161727976,30
2012-08-15,1.0055420965519424,30
2012-08-16,1.0133904351362282,30
2012-08-17,1.011448520375046,30
2012-08-20,1.0102567883144515,30
2012-08-21,1.008474521943856,30
2012-08-22,1.0089708181420258,30
2012-08-23,1.0019285794211825,30
2012-08-24,1.007296862140537,30
2012-08-27,1.0065169063311383,30
2012-08-28,1.0063013067865507,30
2012-08-29,1.0095657805030762,30
2012-08-30,1.0017925120551532,30
2012-08-31,1.0054369649442139,30
2012-09-04,1.0028687042758841,30
2012-09-05,1.0003024857522926,30
2012-09-06,1.021297420654286,30
2012-09-07,1.0188463656568083,30
2012-09-10,1.0134252280775236,30
2012-09-11,1.0155619204669513,30
2012-09-12,1.0187336795838613,30
2012-09-13,1.030920959393843,30
2012-09-14,1.0336350946667698,30
2012-09-17,1.0327382152188944,30
2012-09-18,1.0297753394403841,30
2012-09-19,1.0311930723966485,30
2012-09-20,1.0339801536318216,30
2012-09-21,1.0323028774649283,30
2012-09-24,1.029056558181722,30
2012-09-25,1.0204528912477207,30
2012-09-26,1.016713292654508,30
2012-09-27,1.023684345334994,30
2012-09-28,1.0170751843746728,30
2012-10-01,1.0218757149487894,30
2012-10-02,1.0227890375267576,30
2012-10-03,1.0310396295004374,30
2012-10-04,1.0401283890908872,30
2012-10-05,1.0412920275576225,30
2012-10-08,1.043023085803653,30
2012-10-09,1.027188564141798,30
2012-10-10,1.0220889542240306,30
2012-10-11,1.0232352461217187,30
2012-10-12,1.0215768154591456,30
2012-10-15,1.0307209674483722,30
2012-10-16,1.041879847922375,30
2012-10-17,1.041397948757429,30
2012-10-18,1.0374931956202473,30
2012-10-19,1.0177290639345424,30
2012-10-22,1.017411087589918,30
2012-10-23,1.0084902027621836,30
2012-10-24,1.002408562285194,30
2012-10-25,1.0064785060857384,30
2012-10-26,1.012269535570312,30
2012-10-31,1.0162251813503076,30
2012-11-01,1.0285952960577869,30
2012-11-02,1.022340750072423,30
2012-11-05,1.0247719847993428,30
2012-11-06,1.0325585883320956,30
2012-11-07,1.0133581111264143,30
2012-11-08,1.0001707150781887,30
2012-11-09,1.003802308534316,30
2012-11-12,1.0083174983684713,30
2012-11-13,1.0044818691912218,30
2012-11-14,0.9928729847916434,30
2012-11-15,0.99159418365859,30
2012-11-16,0.996205115418152,30
2012-11-19,1.011226438995296,30
2012-11-20,1.0137407137639505,30
2012-11-21,1.016134344367147,30
2012-11-23,1.0294735792768905,30
2012-11-26,1.0252063492843793,30
2012-11-27,1.0193962003616004,30
2012-11-28,1.0303552111004572,30
2012-11-29,1.0336027634951739,30
2012-11-30,1.034652331179579,30
2012-12-03,1.0291218076365165,30
2012-12-04,1.034900830742586,30
2012-12-05,1.0361877727289264,30
2012-12-06,1.0413956785140102,30
2012-12-07,1.0451058789524426,30
2012-12-10,1.047753229251538,30
2012-12-11,1.055470700821177,30
2012-12-12,1.057894347799813,30
2012-12-13,1.0538165143410079,30
2012-12-14,1.052582883604819,30
2012-12-17,1.0620083667575533,30
2012-12-18,1.0707891065761483,30
2012-12-19,1.0620729589710838,30
2012-12-20,1.0675064701885857,30
2012-12-21,1.0627971626719324,30
2012-12-24,1.0605363753802557,30
2012-12-26,1.054812174937902,30
2012-12-27,1.0523232454115288,30
2012-12-28,1.0409451917818349,30
2012-12-31,1.055622666372754,30
2013-01-02,1.0811250719779861,30
2013-01-03,1.0804884513656188,30
2013-01-04,1.0828774492805144,30
2013-01-07,1.0846149829122718,30
2013-01-08,1.0804593615984066,30
2013-01-09,1.0883874272774812,30
2013-01-10,1.0942183969864299,30
2013-01-11,1.0969482573597356,30
2013-01-14,1.0987296655691943,30
2013-01-15,1.0992480736148222,30
2013-01-16,1.0967299000586461,30
