rebalance_period_end,available_date,execution_date,ticker,sector,trailing_4q_net_income,trailing_4q_op_income,trailing_4q_cfo,trailing_4q_capex,trailing_4q_revenue,trailing_4q_buybacks,trailing_4q_dividends,latest_equity,latest_ltd,latest_assets,latest_shares,shares_1y_ago,rebalance_price,market_cap_estimate,dividend_missing_zero_fill,roic,fcf_margin,leverage,fcf_yield,earnings_yield,buyback_yield,dividend_yield,dilution,z_roic,z_fcf_margin,z_leverage,z_fcf_yield,z_earnings_yield,z_buyback_yield,z_dividend_yield,z_dilution,quality_score,value_score,sy_score,qv_score,rank
2010-06-30,2010-08-04,2010-08-05,NFLX,Services-Video Tape Rental,129067000.0,220112000.0,307114000.0,41069000.0,1852124000.0,275007000.0,0.0,176640000.0,200000000.0,441218000.0,52486000.0,57872000.0,1.5789999961853027,82875393.7997818,True,0.584409515717927,0.1436431901967687,1.1322463768115942,3.210180824512721,1.5573621322610212,3.318319073866338,0.0,0.0,0.9999999999999999,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,0.0,-1.0,1.0,2.0,2.0,3.0,1
2010-06-30,2010-08-04,2010-08-05,AMZN,Retail-Catalog & Mail-Order Houses,1010000000.0,1346000000.0,1178000000.0,528000000.0,27308000000.0,0.0,0.0,5857000000.0,132000000.0,8118000000.0,447000000.0,431000000.0,6.391499996185303,2857000498.2948303,True,0.22474536650525964,0.02380254870367658,0.022537135052074442,0.22751133588809153,0.35351761422611144,0.0,0.0,0.037122969837587005,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-2.0,-2.0,-3.0,2
2010-09-30,2010-11-04,2010-11-05,NFLX,Services-Video Tape Rental,136893000.0,235050000.0,271030000.0,38417000.0,1982223000.0,202711000.0,0.0,191975000.0,200000000.0,492247000.0,52142000.0,56146000.0,2.4014289379119877,125215307.68060687,True,0.5996555902799924,0.11734956157808682,1.0418023180101577,1.8577041761805828,1.0932609002501517,1.6188995080143507,0.0,0.0,0.9481153357821566,-0.6335273640653948,1.7053024954369476,1.73169068721333,1.7057502909582383,1.7304710109728174,-0.9510059368980195,-0.5773502691896258,-1.390714523720186,3.4374409781715682,1.3568153432644237,2.0467264544513823,1
2010-09-30,2010-11-04,2010-11-05,MCD,Retail-Eating  Places,4344600000.0,6494800000.0,5180100000.0,36800000.0,13134700000.0,2594600000.0,2327600000.0,13131800000.0,334900000.0,3166500000.0,1072100000.0,1097300000.0,52.198238372802734,55961731359.48181,False,0.4822859349358046,0.3915810791262838,0.02550297750498789,0.09190744952047576,0.0776351963110569,0.04636382643941174,0.04159270886470931,0.0,0.16192827047133007,1.1604617465810363,-0.7115335938876765,-0.610522358224425,-0.7697086513049626,-0.5717234185905734,1.3882420469912276,-0.5773502691896258,2.0339236109400427,-1.3802310095293877,1.39386889759028,0.653692601410655,2
2010-09-30,2010-11-04,2010-11-05,MSFT,Services-Prepackaged Software,22820000000.0,30612000000.0,24874000000.0,2133000000.0,68695000000.0,14396000000.0,4557000000.0,46942000000.0,9665000000.0,59581000000.0,8614000000.0,8914000000.0,20.31243896484375,174971349243.16406,False,0.5407811754729981,0.3310430162311668,0.2058923778279579,0.1299698499118047,0.13042135240259373,0.08227632730884045,0.026044263930701996,0.0,0.5537518756248608,0.7644291293805675,-0.2825540644751379,-0.5600350912637099,-0.6410490854652111,-0.5191474672643146,0.5137698268048113,-0.5773502691896258,1.6007350694805662,-1.201084176728921,0.5719726287301226,0.3996508927516451,3
2010-09-30,2010-11-04,2010-11-05,AMZN,Retail-Catalog & Mail-Order Houses,1042000000.0,1376000000.0,1234000000.0,740000000.0,29419000000.0,0.0,0.0,6397000000.0,164000000.0,9559000000.0,448000000.0,432000000.0,8.53849983215332,3825247924.8046875,True,0.20972412741960067,0.016791869200176758,0.025637017351883694,0.12914195621064825,0.2724006444767115,0.0,0.0,0.037037037037037035,-1.6637954818783467,-1.2913635118962092,-0.7112148370741334,-0.5611332377251953,-0.2949925541880643,-0.6396001251179292,-0.9510059368980195,1.7320508075688774,-2.2439441567004224,-0.8561257919132597,-3.3226568695848258,-3.1000699486136822,4
2010-12-31,2011-02-04,2011-02-07,NFLX,Services-Video Tape Rental,136893000.0,235050000.0,271030000.0,38417000.0,1982223000.0,202711000.0,0.0,191975000.0,200000000.0,492247000.0,52142000.0,56146000.0,3.1145710945129395,162399966.0100937,True,0.5996555902799924,0.11734956157808682,1.0418023180101577,1.4323463588997447,0.8429373685428706,1.2482207045991676,0.0,0.0,1.2245940807029696,-0.6431669544316497,1.9659568381855959,1.9941996460876832,1.9187049260136393,1.9954602235414403,-0.9215788660322995,-0.4999999999999999,-1.384529711914276,3.9129045721013225,1.5738813575091406,2.5283748601870464,1
2010-12-31,2011-02-04,2011-02-07,MCD,Retail-Eating  Places,4472000000.0,6658500000.0,5302300000.0,89100000.0,13287700000.0,2624000000.0,2369900000.0,13637800000.0,78900000.0,4176500000.0,1061000000.0,1084500000.0,48.72596740722656,51698251419.06738,False,0.48543016906398767,0.3923327588672231,0.005785390605522885,0.10083900048652833,0.08650195852370036,0.05075606868653617,0.04584100883392609,0.0,0.45858380071031946,1.416782294579944,-0.7148740905049414,-0.529334506987819,-0.6848607553852615,-0.4651816537857286,1.6792708196850787,-0.4999999999999999,2.5902401857952047,-1.2141952623730805,1.7140891658993502,1.3760449234221241,2
2010-12-31,2011-02-04,2011-02-07,MSFT,Services-Prepackaged Software,22792000000.0,30226000000.0,24091000000.0,2248000000.0,69626000000.0,15813000000.0,4781000000.0,48481000000.0,9671000000.0,59684000000.0,8497000000.0,8856000000.0,21.464818954467773,182386566656.11267,False,0.5197757600770395,0.3137190130123804,0.19948020874156885,0.1197621096798465,0.1249653437633595,0.08670046423876815,0.026213553375422156,0.0,0.6889097256081529,0.8278723963311567,-0.2136631107895556,-0.49347055773512866,-0.5524741054823125,-0.3913203619375345,0.565681423220879,-0.4999999999999999,1.7304452327288653,-1.0459446632174412,0.6743610612833444,0.6845005695114241,3
2010-12-31,2011-02-04,2011-02-07,AMZN,Retail-Catalog & Mail-Order Houses,1196000000.0,1659000000.0,1542000000.0,804000000.0,32781000000.0,0.0,0.0,6864000000.0,184000000.0,13747000000.0,450000000.0,433000000.0,8.821499824523926,3969674921.0357666,True,0.23538592508513054,0.02251304109087581,0.026806526806526808,0.18590942953269363,0.3012841161532542,0.0,0.0,0.03926096997690531,-1.2182448710666225,-1.3536046141956013,-0.6604791181901142,-0.36810510652050166,0.054395296320387386,-0.5694791039090886,-0.9215788660322995,1.9999999999999996,-1.9113703670721094,-0.3137098102001143,-3.4910579699413877,-2.2250801772722237,4
