rebalance_period_end,available_date,execution_date,ticker,sector,qv_score,rank,weight,entry_close
2012-03-31,2012-05-05,2012-05-07,NFLX,Services-Video Tape Rental,12.27473383683083,1,0.03333333333333333,1.0492860078811646
2012-03-31,2012-05-05,2012-05-07,UNH,Hospital & Medical Service Plans,5.525707600520328,2,0.03333333333333333,43.98545837402344
2012-03-31,2012-05-05,2012-05-07,MCD,Retail-Eating  Places,2.4573724072117598,3,0.03333333333333333,65.73583984375
2012-03-31,2012-05-05,2012-05-07,MA,"Services-Business Services, NEC",2.017269234541115,4,0.03333333333333333,40.21076965332031
2012-03-31,2012-05-05,2012-05-07,GILD,"Biological Products, (No Diagnostic Substances)",1.4840131419182743,5,0.03333333333333333,17.23615837097168
2012-03-31,2012-05-05,2012-05-07,MSFT,Services-Prepackaged Software,1.4569025631952803,6,0.03333333333333333,24.10713577270508
2012-03-31,2012-05-05,2012-05-07,SBUX,Retail-Eating & Drinking Places,0.9145156960106693,7,0.03333333333333333,21.19735145568848
2012-03-31,2012-05-05,2012-05-07,CVX,Petroleum Refining,0.6502248726843491,8,0.03333333333333333,58.14188003540039
2012-03-31,2012-05-05,2012-05-07,NKE,Rubber & Plastics Footwear,0.4956182485613778,9,0.03333333333333333,23.22284698486328
2012-03-31,2012-05-05,2012-05-07,KO,Beverages,0.41378843373785434,10,0.03333333333333333,25.081043243408203
2012-03-31,2012-05-05,2012-05-07,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",0.2201303861370031,11,0.03333333333333333,39.52089309692383
2012-03-31,2012-05-05,2012-05-07,INTC,Semiconductors & Related Devices,0.05585923515267355,12,0.03333333333333333,19.47865867614746
2012-03-31,2012-05-05,2012-05-07,BMY,Pharmaceutical Preparations,0.004998606298884933,13,0.03333333333333333,21.040807723999023
2012-03-31,2012-05-05,2012-05-07,TXN,Semiconductors & Related Devices,-0.18970811095717655,14,0.03333333333333333,20.88493537902832
2012-03-31,2012-05-05,2012-05-07,UNP,"Railroads, Line-Haul Operating",-0.20189359091596476,15,0.03333333333333333,41.83892440795898
2012-03-31,2012-05-05,2012-05-07,AMAT,Semiconductors & Related Devices,-0.22294679394216543,16,0.03333333333333333,9.08803939819336
2012-03-31,2012-05-05,2012-05-07,BIIB,"Biological Products, (No Diagnostic Substances)",-0.24623163300988343,17,0.03333333333333333,132.50999450683594
2012-03-31,2012-05-05,2012-05-07,ELV,Hospital & Medical Service Plans,-0.37394981638592295,18,0.03333333333333333,53.91519165039063
2012-03-31,2012-05-05,2012-05-07,VZ,Telephone Communications (No Radiotelephone),-0.39740141507586685,19,0.03333333333333333,19.910314559936523
2012-03-31,2012-05-05,2012-05-07,ADBE,Services-Prepackaged Software,-0.5098453640148146,20,0.03333333333333333,32.52000045776367
2012-03-31,2012-05-05,2012-05-07,RTX,Aircraft Engines & Engine Parts,-0.5364448743583972,21,0.03333333333333333,35.77824783325195
2012-03-31,2012-05-05,2012-05-07,APD,Industrial Inorganic Chemicals,-0.5592968129630557,22,0.03333333333333333,55.91165542602539
2012-03-31,2012-05-05,2012-05-07,DHR,"Industrial Instruments For Measurement, Display, and Control",-0.5701188652582372,23,0.03333333333333333,21.68198585510254
2012-03-31,2012-05-05,2012-05-07,CSCO,Computer Communications Equipment,-0.7585266729896737,24,0.03333333333333333,12.506620407104492
2012-03-31,2012-05-05,2012-05-07,SYK,Surgical & Medical Instruments & Apparatus,-0.787383533927416,25,0.03333333333333333,45.511505126953125
2012-03-31,2012-05-05,2012-05-07,PG,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",-0.8213727289377575,26,0.03333333333333333,43.05352020263672
2012-03-31,2012-05-05,2012-05-07,COST,Retail-Variety Stores,-0.8408874635082165,27,0.03333333333333333,60.507911682128906
2012-03-31,2012-05-05,2012-05-07,FDX,Air Courier Services,-0.8533629930792179,28,0.03333333333333333,74.6551284790039
2012-03-31,2012-05-05,2012-05-07,AMZN,Retail-Catalog & Mail-Order Houses,-0.9770220204509,29,0.03333333333333333,11.258000373840332
2012-03-31,2012-05-05,2012-05-07,AXP,Finance Services,-1.5351020774425468,30,0.03333333333333333,49.54586791992188
2012-06-30,2012-08-04,2012-08-06,NFLX,Services-Video Tape Rental,13.377357939636344,1,0.03333333333333333,0.8112859725952148
2012-06-30,2012-08-04,2012-08-06,UNH,Hospital & Medical Service Plans,2.83573875980246,2,0.03333333333333333,40.75202941894531
2012-06-30,2012-08-04,2012-08-06,MA,"Services-Business Services, NEC",2.8289644158365856,3,0.03333333333333333,38.73696517944336
2012-06-30,2012-08-04,2012-08-06,MCD,Retail-Eating  Places,2.2861052969219484,4,0.03333333333333333,62.21347427368164
2012-06-30,2012-08-04,2012-08-06,UPS,Trucking & Courier Services (No Air),2.2442077995992844,5,0.03333333333333333,46.09366607666016
2012-06-30,2012-08-04,2012-08-06,SPGI,"Services-Consumer Credit Reporting, Collection Agencies",1.8505749280002812,6,0.03333333333333333,39.615909576416016
2012-06-30,2012-08-04,2012-08-06,SBUX,Retail-Eating & Drinking Places,1.323660035549535,7,0.03333333333333333,16.67705726623535
2012-06-30,2012-08-04,2012-08-06,WMT,Retail-Variety Stores,1.319659781836778,8,0.03333333333333333,18.835538864135746
2012-06-30,2012-08-04,2012-08-06,NKE,Rubber & Plastics Footwear,1.2603472855651658,9,0.03333333333333333,19.97507095336914
2012-06-30,2012-08-04,2012-08-06,MSFT,Services-Prepackaged Software,1.258544260475705,10,0.03333333333333333,23.71113586425781
2012-06-30,2012-08-04,2012-08-06,KO,Beverages,1.2474873744798507,11,0.03333333333333333,26.350231170654297
2012-06-30,2012-08-04,2012-08-06,GILD,"Biological Products, (No Diagnostic Substances)",1.235443575016334,12,0.03333333333333333,19.9096622467041
2012-06-30,2012-08-04,2012-08-06,HD,Retail-Lumber & Other Building Materials Dealers,1.1213238007130757,13,0.03333333333333333,37.89851760864258
2012-06-30,2012-08-04,2012-08-06,CVX,Petroleum Refining,1.1151441833869133,14,0.03333333333333333,63.208003997802734
2012-06-30,2012-08-04,2012-08-06,ABT,Pharmaceutical Preparations,1.0762575779664683,15,0.03333333333333333,24.40003776550293
2012-06-30,2012-08-04,2012-08-06,INTC,Semiconductors & Related Devices,0.5463465679503567,16,0.03333333333333333,18.622941970825195
2012-06-30,2012-08-04,2012-08-06,ELV,Hospital & Medical Service Plans,0.5016359701370687,17,0.03333333333333333,44.42649841308594
2012-06-30,2012-08-04,2012-08-06,APD,Industrial Inorganic Chemicals,0.3471054112584029,18,0.03333333333333333,54.38053894042969
2012-06-30,2012-08-04,2012-08-06,BMY,Pharmaceutical Preparations,0.2675978013599646,19,0.03333333333333333,20.68884658813477
2012-06-30,2012-08-04,2012-08-06,VZ,Telephone Communications (No Radiotelephone),0.2514449801265024,20,0.03333333333333333,22.20119285583496
2012-06-30,2012-08-04,2012-08-06,AMAT,Semiconductors & Related Devices,0.13545580570309168,21,0.03333333333333333,9.23913288116455
2012-06-30,2012-08-04,2012-08-06,UNP,"Railroads, Line-Haul Operating",0.11111671945688999,22,0.03333333333333333,45.67753219604492
2012-06-30,2012-08-04,2012-08-06,BIIB,"Biological Products, (No Diagnostic Substances)",0.04068312279574915,23,0.03333333333333333,145.4600067138672
2012-06-30,2012-08-04,2012-08-06,COST,Retail-Variety Stores,-0.06495223397383387,24,0.03333333333333333,70.45501708984375
2012-06-30,2012-08-04,2012-08-06,DHR,"Industrial Instruments For Measurement, Display, and Control",-0.08955249612452557,25,0.03333333333333333,21.42176055908203
2012-06-30,2012-08-04,2012-08-06,TXN,Semiconductors & Related Devices,-0.1081282510659789,26,0.03333333333333333,19.389766693115234
2012-06-30,2012-08-04,2012-08-06,SYK,Surgical & Medical Instruments & Apparatus,-0.2156814811877223,27,0.03333333333333333,44.69609451293945
2012-06-30,2012-08-04,2012-08-06,FDX,Air Courier Services,-0.24658648439627695,28,0.03333333333333333,75.40411376953125
2012-06-30,2012-08-04,2012-08-06,CSCO,Computer Communications Equipment,-0.27285754345539387,29,0.03333333333333333,10.99122714996338
2012-06-30,2012-08-04,2012-08-06,ADBE,Services-Prepackaged Software,-0.32552843034096507,30,0.03333333333333333,32.13999938964844
2012-09-30,2012-11-04,2012-11-05,NFLX,Services-Video Tape Rental,10.709725905971062,1,0.03333333333333333,1.1177140474319458
