correction_rcept_no,correction_rcept_dt,correction_period,stock_code,corp_code,corp_name,correction_report_nm,correction_marker,event_category,normalized_base_form,event_type,paren_reason,candidate_count_in_window,link_confidence,link_confidence_reason,cached_body_available,candidate_rcept_no,candidate_rcept_dt,candidate_rcept_dt_iso,candidate_report_nm,candidate_event_type,days_prior,title_similarity,score,second_score
20100331902855,20100331,pre_2018,045290,00263885,포네이처,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,2,high,"base_form+event_type match, margin=5.19, sim=0.80",False,20100324900525,20100324,2010-03-24,주권매매거래정지기간변경,주권매매거래정지기간변경,7,0.8,11.742,6.557
20100322900199,20100322,pre_2018,039350,00267094,헤파호프코리아,[기재정정]주권매매거래정지(투자자보호),[기재정정],suspension_related,주권매매거래정지(투자자보호),주권매매거래정지,투자자보호,1,low,"weak similarity, margin=8.46, sim=0.49",False,20100319902031,20100319,2010-03-19,주권매매거래정지(관리종목지정사유발생),주권매매거래정지,3,0.488,8.463,0.0
20100319901646,20100319,pre_2018,084810,00507257,아이알디,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,5,medium,"event_type match, margin=0.20, sim=0.80",False,20100318901199,20100318,2010-03-18,주권매매거래정지기간변경,주권매매거래정지기간변경,1,0.8,11.792,11.592
20100311900027,20100311,pre_2018,047820,00299464,초록뱀미디어,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,1,low,"weak similarity, margin=8.18, sim=0.53",False,20100128900201,20100128,2010-01-28,주권매매거래정지(구주권 제출),주권매매거래정지,42,0.533,8.183,0.0
20100211900740,20100211,pre_2018,036090,00258360,위지트,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,1,no_link,"no support, margin=8.12",False,20100107900465,20100107,2010-01-07,주권매매거래정지(채권은행 등의 관리절차 개시),주권매매거래정지,35,0.41,8.119,0.0
20100428900278,20100428,pre_2018,068770,00238913,선우중공업,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,6,high,"base_form+event_type match, margin=3.05, sim=0.80",False,20100413900404,20100413,2010-04-13,주권매매거래정지기간변경,주권매매거래정지기간변경,15,0.8,11.675,8.623
20100415900118,20100415,pre_2018,036850,00208693,나리지*온,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20100917900141,20100917,pre_2018,027710,00192499,팜스토리,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),[기재정정],suspension_related,주권매매거래정지(우회상장여부 및 요건충족확인),주권매매거래정지,우회상장여부 및 요건충족확인,0,no_link,no candidates within window,False,,,,,,,,,
20100721900323,20100721,pre_2018,060900,00367695,에이전트AI,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,9,medium,"event_type match, margin=0.33, sim=0.80",False,20100719900223,20100719,2010-07-19,주권매매거래정지기간변경,주권매매거래정지기간변경,2,0.8,11.783,11.45
20100705800432,20100705,pre_2018,001260,00107066,남광토건,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20101228900194,20101228,pre_2018,067160,00399694,SOOP,[기재정정]주권매매거래정지(구주권 제출),[기재정정],suspension_related,주권매매거래정지(구주권 제출),주권매매거래정지,구주권 제출,2,high,"base_form+event_type match, margin=4.87, sim=0.84",False,20101227900279,20101227,2010-12-27,주권매매거래정지(구주권 제출),주권매매거래정지,1,0.842,12.834,7.963
20101223900406,20101223,pre_2018,084450,00446831,세실,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,1,low,"weak similarity, margin=8.47, sim=0.48",False,20101221900396,20101221,2010-12-21,주권매매거래정지(회계처리 기준위반),주권매매거래정지,2,0.485,8.468,0.0
20101208900051,20101208,pre_2018,095190,00526951,신화프리텍,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20101126900274,20101126,pre_2018,060900,00367695,에이전트AI,[기재정정]기타경영사항(자율공시)(광업권 매매계약 해제 등),[기재정정],resumption_related,기타경영사항(자율공시)(광업권 매매계약 해제 등),,자율공시,0,no_link,no candidates within window,False,,,,,,,,,
