correction_rcept_no,correction_rcept_dt,correction_period,stock_code,corp_code,corp_name,correction_report_nm,correction_marker,event_category,normalized_base_form,event_type,paren_reason,candidate_count_in_window,link_confidence,link_confidence_reason,cached_body_available,candidate_rcept_no,candidate_rcept_dt,candidate_rcept_dt_iso,candidate_report_nm,candidate_event_type,days_prior,title_similarity,score,second_score
20101015900434,20101015,pre_2018,038120,00266989,에이디모터스,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20101015900293,20101015,pre_2018,068930,00398808,디지털대성,[기재정정]주권매매거래정지(우회상장여부 및 요건충족확인),[기재정정],suspension_related,주권매매거래정지(우회상장여부 및 요건충족확인),주권매매거래정지,우회상장여부 및 요건충족확인,0,no_link,no candidates within window,False,,,,,,,,,
20110331902711,20110331,pre_2018,037020,00178471,한와이어리스,[기재정정]주권매매거래정지기간변경(사업보고서 미제출),[기재정정],suspension_related,주권매매거래정지기간변경(사업보고서 미제출),주권매매거래정지기간변경,사업보고서 미제출,2,medium,"event_type match, margin=2.15, sim=0.58",False,20110323900713,20110323,2011-03-23,주권매매거래정지기간변경,주권매매거래정지기간변경,8,0.585,8.519,6.373
20110323900724,20110323,pre_2018,054150,00350118,뉴젠아이씨티,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,5,low,"weak similarity, margin=0.29, sim=0.61",False,20110105900608,20110105,2011-01-05,주권매매거래정지,주권매매거래정지,77,0.615,5.974,5.682
20110323900723,20110323,pre_2018,054150,00350118,뉴젠아이씨티,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,5,low,"weak similarity, margin=0.29, sim=0.61",False,20110105900608,20110105,2011-01-05,주권매매거래정지,주권매매거래정지,77,0.615,5.974,5.682
20110318800229,20110318,pre_2018,101140,00652423,인바이오젠,[기재정정]매매거래정지및정지해제(풍문등조회공시),[기재정정],resumption_related,매매거래정지(풍문등조회공시),매매거래정지,풍문등조회공시,2,medium,"event_type match, margin=0.59, sim=0.67",False,20110310801898,20110310,2011-03-10,매매거래정지및정지해제(중요내용공시),매매거래정지,8,0.667,8.6,8.008
20110224900602,20110224,pre_2018,026250,00127370,삼우이엠씨,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20110614900389,20110614,pre_2018,050640,00439053,이룸지엔지,[기재정정]주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),[기재정정],suspension_related,주권매매거래정지기간변경(상장폐지 실질심사 대상 결정),주권매매거래정지기간변경,상장폐지 실질심사 대상 결정,1,no_link,"no support, margin=6.19",False,20110523900012,20110523,2011-05-23,주권매매거래정지,주권매매거래정지,22,0.372,6.189,0.0
20110531800008,20110531,pre_2018,000800,00101257,경남기업,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20110512900210,20110512,pre_2018,007390,00117276,네이처셀,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,1,low,"weak similarity, margin=7.52, sim=0.47",False,20110118900343,20110118,2011-01-18,주권매매거래정지(불성실공시법인 지정),주권매매거래정지,114,0.471,7.521,0.0
20110506800027,20110506,pre_2018,105380,00686970,다산자기관리부동산투자회사,[기재정정]매매거래정지및정지해제(풍문등조회공시),[기재정정],resumption_related,매매거래정지(풍문등조회공시),매매거래정지,풍문등조회공시,1,medium,"event_type match, margin=8.34, sim=0.67",False,20110328800819,20110328,2011-03-28,매매거래정지및정지해제(중요내용공시),매매거래정지,39,0.667,8.342,0.0
20110411900648,20110411,pre_2018,052510,00346966,에코솔루션,[기재정정]주권매매거래정지기간변경(사업보고서 제출),[기재정정],suspension_related,주권매매거래정지기간변경(사업보고서 제출),주권매매거래정지기간변경,사업보고서 제출,3,medium,"event_type match, margin=0.31, sim=0.86",False,20110331902696,20110331,2011-03-31,주권매매거래정지기간변경(사업보고서 미제출),주권매매거래정지기간변경,11,0.863,8.771,8.46
20110407800122,20110407,pre_2018,005440,00105280,현대지에프홀딩스,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20110923900387,20110923,pre_2018,065940,00155382,바이오빌,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20111109800418,20111109,pre_2018,011330,00137207,유니켐,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,1,high,"base_form+event_type match, margin=12.11, sim=0.86",False,20110811800004,20110811,2011-08-11,매매거래정지및정지해제(중요내용공시),매매거래정지,90,0.864,12.114,0.0
20111102900010,20111102,pre_2018,026220,00133317,에스티씨라이프,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,5,high,"base_form+event_type match, margin=3.52, sim=0.80",False,20111101900419,20111101,2011-11-01,주권매매거래정지기간변경,주권매매거래정지기간변경,1,0.8,11.792,8.271
20120322901069,20120322,pre_2018,060240,00373571,스타코링크,[기재정정]주권매매거래정지(관리종목지정사유발생),[기재정정],suspension_related,주권매매거래정지(관리종목지정사유발생),주권매매거래정지,관리종목지정사유발생,1,medium,"event_type match, margin=8.66, sim=0.73",False,20120314900228,20120314,2012-03-14,주권매매거래정지(관리종목지정우려),주권매매거래정지,8,0.727,8.661,0.0
20120319900631,20120319,pre_2018,098400,00595243,엔스퍼트,[기재정정]주권매매거래정지(투자자 보호),[기재정정],suspension_related,주권매매거래정지(투자자 보호),주권매매거래정지,투자자 보호,1,low,"weak similarity, margin=8.50, sim=0.54",False,20120315901390,20120315,2012-03-15,주권매매거래정지(관리종목 지정우려),주권매매거래정지,4,0.537,8.503,0.0
20120319900621,20120319,pre_2018,098400,00595243,엔스퍼트,[기재정정]주권매매거래정지(상장폐지 사유발생),[기재정정],suspension_related,주권매매거래정지(상장폐지 사유발생),주권매매거래정지,상장폐지 사유발생,1,low,"weak similarity, margin=8.47, sim=0.50",False,20120315901390,20120315,2012-03-15,주권매매거래정지(관리종목 지정우려),주권매매거래정지,4,0.5,8.467,0.0
20120312900806,20120312,pre_2018,040740,00262682,아인스엠앤엠,[기재정정]주권매매거래정지기간변경(상장폐지 사유 발생),[기재정정],suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),주권매매거래정지기간변경,상장폐지 사유 발생,4,high,"base_form+event_type match, margin=7.10, sim=0.89",False,20120308901602,20120308,2012-03-08,주권매매거래정지기간변경(상장폐지 사유 발생),주권매매거래정지기간변경,4,0.889,12.856,5.753
20120307900749,20120307,pre_2018,037760,00239596,쎄니트,[기재정정]주권매매거래정지(관리종목지정우려),[기재정정],suspension_related,주권매매거래정지(관리종목지정우려),주권매매거래정지,관리종목지정우려,0,no_link,no candidates within window,False,,,,,,,,,
20120209900299,20120209,pre_2018,083930,00442145,아바코,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20120201900424,20120201,pre_2018,042510,00255433,라온시큐어,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20120201900262,20120201,pre_2018,038500,00239639,삼표시멘트,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20120131800145,20120131,pre_2018,114130,00778040,거북선5호선박투자회사,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20120131800143,20120131,pre_2018,114140,00778059,거북선6호선박투자회사,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20120423900095,20120423,pre_2018,048460,00275260,엑큐리스,[기재정정]주권매매거래정지(합병 및 감자),[기재정정],suspension_related,주권매매거래정지(합병 및 감자),주권매매거래정지,합병 및 감자,0,no_link,no candidates within window,False,,,,,,,,,
20120423900096,20120423,pre_2018,036170,00232821,에이치엠넥스,[기재정정]주권매매거래정지(합병 및 감자),[기재정정],suspension_related,주권매매거래정지(합병 및 감자),주권매매거래정지,합병 및 감자,0,no_link,no candidates within window,False,,,,,,,,,
20120423900092,20120423,pre_2018,036170,00232821,에이치엠넥스,[기재정정]주권매매거래정지(합병 및 감자),[기재정정],suspension_related,주권매매거래정지(합병 및 감자),주권매매거래정지,합병 및 감자,0,no_link,no candidates within window,False,,,,,,,,,
20120423900091,20120423,pre_2018,048460,00275260,엑큐리스,[기재정정]주권매매거래정지(합병 및 감자),[기재정정],suspension_related,주권매매거래정지(합병 및 감자),주권매매거래정지,합병 및 감자,0,no_link,no candidates within window,False,,,,,,,,,
20120912900348,20120912,pre_2018,034510,00240398,무한투자,[기재정정]주권매매거래정지(상장폐지결정),[기재정정],suspension_related,주권매매거래정지(상장폐지결정),주권매매거래정지,상장폐지결정,0,no_link,no candidates within window,False,,,,,,,,,
20120809900022,20120809,pre_2018,014940,00141608,오리엔탈정공,[기재정정]주권매매거래정지(자본감소),[기재정정],suspension_related,주권매매거래정지(자본감소),주권매매거래정지,자본감소,2,medium,"event_type match, margin=0.06, sim=0.57",False,20120229901014,20120229,2012-02-29,주권매매거래정지(은행관리등),주권매매거래정지,162,0.571,7.221,7.163
20120731900236,20120731,pre_2018,105070,00579379,금강제강,[기재정정]주권매매거래정지(풍문 또는 보도 관련),[기재정정],suspension_related,주권매매거래정지(풍문 또는 보도 관련),주권매매거래정지,풍문 또는 보도 관련,0,no_link,no candidates within window,False,,,,,,,,,
20130315901436,20130315,pre_2018,060910,00353230,프리젠,[기재정정]주권매매거래정지(투자자 보호),[기재정정],suspension_related,주권매매거래정지(투자자 보호),주권매매거래정지,투자자 보호,0,no_link,no candidates within window,False,,,,,,,,,
20130314802024,20130314,pre_2018,003190,00112004,알앤엘재생의학연구소,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20130117900277,20130117,pre_2018,013780,00267951,아큐텍,[기재정정]기타경영사항(자율공시)(주권매매거래정지 효력정지 등 가처분신청),[기재정정],suspension_related,주권매매거래정지(자율공시),주권매매거래정지,자율공시,6,medium,"event_type match, margin=0.09, sim=0.92",False,20121221900586,20121221,2012-12-21,기타경영사항(자율공시)(주권매매거래정지 효력정지 등 가처분신청),주권매매거래정지,27,0.921,12.696,12.606
20130520900302,20130520,pre_2018,101170,00567222,우림피티에스,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20140317900074,20140317,pre_2018,074000,00447982,에스지피엠,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),[기재정정],resumption_related,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,상장폐지에 따른 정리매매 개시,1,high,"base_form+event_type match, margin=12.87, sim=0.90",False,20140313902133,20140313,2014-03-13,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,4,0.903,12.87,0.0
20140214900136,20140214,pre_2018,039670,00298687,스포츠서울,[기재정정]주권매매거래정지기간변경(감자 주권 변경상장),[기재정정],suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),주권매매거래정지기간변경,감자 주권 변경상장,4,high,"base_form+event_type match, margin=4.42, sim=0.89",False,20140213900482,20140213,2014-02-13,주권매매거래정지기간변경(감자 주권 변경상장),주권매매거래정지기간변경,1,0.889,12.881,8.465
20140602800019,20140602,pre_2018,011330,00137207,유니켐,[기재정정]매매거래정지및정지해제(풍문등조회공시),[기재정정],resumption_related,매매거래정지(풍문등조회공시),매매거래정지,풍문등조회공시,3,high,"base_form+event_type match, margin=4.76, sim=0.87",False,20140530801640,20140530,2014-05-30,매매거래정지및정지해제(풍문등조회공시),매매거래정지,3,0.87,12.845,8.083
20140519900313,20140519,pre_2018,099830,00232496,씨그널엔터테인먼트그룹,[기재정정]기타주요경영사항(유형자산 취득 계약 해제),[기재정정],resumption_related,기타주요경영사항(유형자산 취득 계약 해제),,유형자산 취득 계약 해제,0,no_link,no candidates within window,True,,,,,,,,,
20141016900317,20141016,pre_2018,121440,00674498,골프존홀딩스,[기재정정]주권매매거래정지(분할),[기재정정],suspension_related,주권매매거래정지(분할),주권매매거래정지,분할,0,no_link,no candidates within window,False,,,,,,,,,
20150323600022,20150323,pre_2018,160350,00350491,웹솔루스,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,1,no_link,"no support, margin=8.38",False,20150320602504,20150320,2015-03-20,주권매매거래정지(코넥스주권 상장폐지 사유발생),주권매매거래정지,3,0.41,8.385,0.0
20150128900203,20150128,pre_2018,035620,00259590,바른손이앤에이,[기재정정]주권매매거래정지,[기재정정],suspension_related,주권매매거래정지,주권매매거래정지,,0,no_link,no candidates within window,False,,,,,,,,,
20150122900284,20150122,pre_2018,054300,00339072,팬스타엔터프라이즈,[기재정정]기타주요경영사항(주식 및 경영권 양수도 계약 해제),[기재정정],resumption_related,기타주요경영사항(주식 및 경영권 양수도 계약 해제),,주식 및 경영권 양수도 계약 해제,1,low,"weak similarity, margin=6.85, sim=0.86",False,20150121900503,20150121,2015-01-21,기타주요경영사항(주식 및 경영권 양수도 계약 해제 예정),,1,0.862,6.853,0.0
20150526800147,20150526,pre_2018,051310,00181934,플랜텍,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20150514901020,20150514,pre_2018,047770,00329093,코데즈컴바인,[기재정정]주권매매거래정지기간변경(개선기간 부여),[기재정정],suspension_related,주권매매거래정지기간변경(개선기간 부여),주권매매거래정지기간변경,개선기간 부여,6,medium,"event_type match, margin=0.11, sim=0.59",False,20150410900768,20150410,2015-04-10,주권매매거래정지기간변경(상장폐지 사유 발생),주권매매거래정지기간변경,34,0.588,8.305,8.2
20150421900128,20150421,pre_2018,065180,00389679,해피드림,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),[기재정정],resumption_related,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,상장폐지에 따른 정리매매 개시,1,high,"base_form+event_type match, margin=12.89, sim=0.90",False,20150420900546,20150420,2015-04-20,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,1,0.903,12.895,0.0
20150925900143,20150925,pre_2018,066270,00361725,네이트커뮤니케이션즈,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,[기재정정],resumption_related,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,,1,low,"weak similarity, margin=9.88, sim=0.89",False,20150924900510,20150924,2015-09-24,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,1,0.889,9.881,0.0
20150911800465,20150911,pre_2018,003940,00132105,삼양제넥스,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20151231900042,20151231,pre_2018,023440,00148531,제이스코홀딩스,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,[기재정정],resumption_related,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,,1,low,"weak similarity, margin=9.81, sim=0.89",False,20151222900044,20151222,2015-12-22,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,9,0.889,9.814,0.0
20151230900233,20151230,pre_2018,023440,00148531,제이스코홀딩스,[기재정정]최대주주변경을수반하는주식양수도계약해제ㆍ취소등,[기재정정],resumption_related,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,,1,low,"weak similarity, margin=9.82, sim=0.89",False,20151222900044,20151222,2015-12-22,최대주주변경을수반하는주식양수도계약해제ㆍ취소등,,8,0.889,9.822,0.0
20151127900167,20151127,pre_2018,101330,00498001,모베이스,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20160224900085,20160224,pre_2018,086200,00413824,제이앤유글로벌,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득계약 해제),[기재정정],resumption_related,기타주요경영사항(타법인 주식 및 출자증권 취득계약 해제),,타법인 주식 및 출자증권 취득계약 해제,1,low,"weak similarity, margin=10.90, sim=0.91",False,20160223900750,20160223,2016-02-23,기타주요경영사항(타법인 주식 및 출자증권 취득계약 해제),,1,0.912,10.903,0.0
20160429600510,20160429,pre_2018,228180,01067242,비엘사이언스,[기재정정]주권매매거래정지(구주권 제출),[기재정정],suspension_related,주권매매거래정지(구주권 제출),주권매매거래정지,구주권 제출,1,high,"base_form+event_type match, margin=12.78, sim=0.84",False,20160422600284,20160422,2016-04-22,주권매매거래정지(구주권 제출),주권매매거래정지,7,0.842,12.784,0.0
20160429900427,20160429,pre_2018,086200,00413824,제이앤유글로벌,[기재정정]주권매매거래정지해제,[기재정정],resumption_related,주권매매거래정지해제,주권매매거래정지해제,,2,low,"weak similarity, margin=2.73, sim=0.46",False,20160422900677,20160422,2016-04-22,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,7,0.455,8.396,5.663
20160429900298,20160429,pre_2018,036220,00260657,오상헬스케어,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),[기재정정],resumption_related,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),주권매매거래정지해제,상장폐지에 따른 정리매매 개시,1,high,"base_form+event_type match, margin=12.83, sim=0.89",False,20160422900676,20160422,2016-04-22,주권매매거래정지해제(상장폐지에 따른 정리매매 개시 ),주권매매거래정지해제,7,0.889,12.831,0.0
20161125900030,20161125,pre_2018,066270,00361725,네이트커뮤니케이션즈,[기재정정]주권매매거래정지(자진상장폐지 신청),[기재정정],suspension_related,주권매매거래정지(자진상장폐지 신청),주권매매거래정지,자진상장폐지 신청,1,high,"base_form+event_type match, margin=12.86, sim=0.86",False,20161124900474,20161124,2016-11-24,주권매매거래정지(자진상장폐지 신청),주권매매거래정지,1,0.864,12.855,0.0
20161115900075,20161115,pre_2018,068150,00394778,케이엔씨글로벌,[기재정정]주권매매거래정지기간변경(투자자 보호),[기재정정],suspension_related,주권매매거래정지기간변경(투자자 보호),주권매매거래정지기간변경,투자자 보호,5,high,"base_form+event_type match, margin=5.26, sim=0.87",False,20161109900631,20161109,2016-11-09,주권매매거래정지기간변경(투자자 보호),주권매매거래정지기간변경,6,0.87,12.82,7.558
20161017900147,20161017,pre_2018,131100,00814786,티엔엔터테인먼트,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,[기재정정],resumption_related,최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,,,2,low,"weak similarity, margin=4.20, sim=0.89",False,20161014900549,20161014,2016-10-14,최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,,3,0.893,9.868,5.672
20170330902219,20170330,pre_2018,151910,00653103,퓨처코어,[기재정정]주권매매거래정지기간변경(상장폐지사유 발생 등),[기재정정],suspension_related,주권매매거래정지기간변경(상장폐지사유 발생 등),주권매매거래정지기간변경,상장폐지사유 발생 등,4,medium,"event_type match, margin=0.04, sim=0.57",False,20170323900047,20170323,2017-03-23,주권매매거래정지기간변경(풍문 또는 보도 관련),주권매매거래정지기간변경,7,0.571,8.513,8.473
20170327900337,20170327,pre_2018,086830,00317830,신양오라컴디스플레이,[기재정정]기타주요경영사항(타법인 주식 및 출자증권 취득결정 계약해제),[기재정정],resumption_related,기타주요경영사항(타법인 주식 및 출자증권 취득결정 계약해제),,타법인 주식 및 출자증권 취득결정 계약해제,1,low,"weak similarity, margin=10.89, sim=0.92",False,20170324903183,20170324,2017-03-24,기타주요경영사항(타법인 주식 및 출자증권 취득결정 계약해제),,3,0.917,10.892,0.0
20170223600535,20170223,pre_2018,224810,00607797,엄지하우스,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20170124900649,20170124,pre_2018,073010,00328191,케이에스피,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,1,low,"weak similarity, margin=5.89, sim=0.47",False,20161115900004,20161115,2016-11-15,주권매매거래정지(투자자 보호),주권매매거래정지,70,0.471,5.887,0.0
20170124900643,20170124,pre_2018,073010,00328191,케이에스피,[기재정정]주권매매거래정지기간변경,[기재정정],suspension_related,주권매매거래정지기간변경,주권매매거래정지기간변경,,1,low,"weak similarity, margin=5.89, sim=0.47",False,20161115900004,20161115,2016-11-15,주권매매거래정지(투자자 보호),주권매매거래정지,70,0.471,5.887,0.0
20170421900722,20170421,pre_2018,039230,00295370,제이앤케이인더스트리,[기재정정]주권매매거래정지(불성실공시법인 지정),[기재정정],suspension_related,주권매매거래정지(불성실공시법인 지정),주권매매거래정지,불성실공시법인 지정,0,no_link,no candidates within window,False,,,,,,,,,
20171110900736,20171110,pre_2018,117670,00605124,알파칩스,[기재정정]최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,[기재정정],resumption_related,최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,,,0,no_link,no candidates within window,False,,,,,,,,,
20230717800694,2023-07-17,post_2018,001340,122472,PKC,[기재정정]매매거래정지및정지해제(풍문등조회공시),[기재정정],resumption_related,매매거래정지(풍문등조회공시),매매거래정지,풍문등조회공시,0,no_link,no candidates within window,False,,,,,,,,,
20230214900950,2023-02-14,post_2018,291650,1265251,압타머사이언스,[기재정정]주권매매거래정지(무상증자),[기재정정],suspension_related,주권매매거래정지(무상증자),주권매매거래정지,무상증자,0,no_link,no candidates within window,False,,,,,,,,,
20230206901186,2023-02-06,post_2018,029480,186452,광무,[기재정정]주권매매거래정지(상장적격성 실질심사 대상 (사유발생)),[기재정정],suspension_related,주권매매거래정지(사유발생),주권매매거래정지,사유발생,0,no_link,no candidates within window,False,,,,,,,,,
20230131800615,2023-01-31,post_2018,140910,860730,에이리츠,[기재정정]매매거래정지및정지해제(중요내용공시),[기재정정],resumption_related,매매거래정지(중요내용공시),매매거래정지,중요내용공시,0,no_link,no candidates within window,False,,,,,,,,,
20230120800194,2023-01-20,post_2018,005490,155319,POSCO홀딩스,[기재정정]생산재개(자율공시),[기재정정],resumption_related,생산재개(자율공시),,자율공시,0,no_link,no candidates within window,False,,,,,,,,,
