days,total_return,cagr,sharpe,mdd,source,variant,sleeve_size,max_position,max_new_per_day,turnover_proxy,hit_rate,average_exposure,average_cash
3009,0.17830254971155335,0.020122776686849253,2.0992609608006467,-0.007787008398163042,candidate,r1d_lt_m3_hold1,1.0,0.01,5,6.04,0.6655629139072847,0.002013958125623131,1.0806353089019298
3009,0.3566050994231118,0.037727481661516515,2.0884390699063142,-0.015515035105638675,candidate,r1d_lt_m3_hold1,1.0,0.02,5,12.08,0.6655629139072847,0.004027916251246262,1.1612706178038619
3009,3.566050994231171,0.20250122043004226,1.741349751218656,-0.14524883403310018,candidate,r1d_lt_m3_hold1,0.05,0.01,5,6.04,0.6655629139072847,0.040279162512462614,2.6127061780386582
3009,7.0427231161118815,0.28807056889632054,1.4560788875460258,-0.27665961956928875,candidate,r1d_lt_m3_hold1,0.05,0.02,5,11.893333333333334,0.6666666666666666,0.07931760274731361,4.180319052228755
3009,1.783025497115578,0.13233786759707344,1.9317648522699467,-0.07529395803546135,candidate,r1d_lt_m3_hold1,0.1,0.01,5,6.04,0.6655629139072847,0.020139581256231307,1.8063530890193282
3009,3.566050994231171,0.20250122043004226,1.741349751218656,-0.14524883403310018,candidate,r1d_lt_m3_hold1,0.1,0.02,5,12.08,0.6655629139072847,0.040279162512462614,2.6127061780386582
3009,0.6608619157144386,0.06354106209136856,1.1547532030483276,-0.011802606259486814,candidate,r1d_lt_m3_hold3,1.0,0.01,5,5.3,0.6566037735849056,0.20361581920903957,1.1046336187292658
3009,1.3217238314288746,0.1076919127948388,1.1553402819342258,-0.023357271456385775,candidate,r1d_lt_m3_hold3,1.0,0.02,5,10.6,0.6566037735849056,0.40723163841807913,1.2092672374585305
3009,2.6769615253827825,0.17129203225702616,1.1870149166974744,-0.11405579964846224,candidate,r1d_lt_m3_hold3,0.05,0.01,5,1.3501576967592595,0.6271929824561403,0.9370157178926183,0.9136821156638366
3009,3.173932779420044,0.1894617313484772,0.8672894405548441,-0.2252831476333177,candidate,r1d_lt_m3_hold3,0.05,0.02,5,1.4721875000000002,0.5866666666666667,0.8820306634110016,0.93691764716687
3009,2.183102802876132,0.1509573848505945,1.2886389266690825,-0.10601976354323783,candidate,r1d_lt_m3_hold3,0.1,0.01,5,2.5183333333333335,0.6230031948881789,0.9048645729478231,0.7407722785187284
3009,2.6769615253827825,0.17129203225702616,1.1870149166974744,-0.11405579964846224,candidate,r1d_lt_m3_hold3,0.1,0.02,5,2.700315393518519,0.6271929824561403,0.9370157178926183,0.9136821156638366
3004,0.7822540766703334,0.07281546605086997,1.3512989850726782,-0.019643452344243695,candidate,r1d_lt_m3_hold5,1.0,0.01,5,4.859999999999999,0.676954732510288,0.2913548601864181,1.0543636354653891
3004,1.5645081533406668,0.12136371918956046,1.3465181340242174,-0.028242425632326484,candidate,r1d_lt_m3_hold5,1.0,0.02,5,9.719999999999999,0.676954732510288,0.5827097203728362,1.1087272709307785
3004,1.6882931636410223,0.12781156286637074,0.6566787368804822,-0.27454535382658707,candidate,r1d_lt_m3_hold5,0.05,0.01,5,0.9045833333333335,0.6370370370370371,0.9332299988903683,0.3390513999004664
3004,3.2465482023365366,0.1923040058240013,0.5460576998289093,-0.1745894555910229,candidate,r1d_lt_m3_hold5,0.05,0.02,5,0.8716666666666668,0.6629213483146067,0.9565856635596982,1.116337573113177
3004,1.723349301237295,0.12959018914285458,0.8741890977377165,-0.15626802829982367,candidate,r1d_lt_m3_hold5,0.1,0.01,5,1.8056119791666667,0.6150442477876106,0.9027392169959728,0.45676141255640057
3004,1.6882931636410223,0.12781156286637074,0.6566787368804822,-0.27454535382658707,candidate,r1d_lt_m3_hold5,0.1,0.02,5,1.809166666666667,0.6370370370370371,0.9332299988903683,0.3390513999004664
3004,3.0649073731297687,0.1859812943489847,0.33852481941304363,-0.013047779099444434,candidate,r3d_lt_m7_hold3_crisis_only,1.0,0.01,5,5.49,0.6520947176684881,0.16046937416777632,2.502755827384402
3004,6.129814746259539,0.2698678203503624,0.33373454361668525,-0.025489105843675586,candidate,r3d_lt_m7_hold3_crisis_only,1.0,0.02,5,10.98,0.6520947176684881,0.32093874833555264,4.005511654768806
3004,2.460439506270484,0.16298377924054153,1.0212750207160843,-0.15721024326231403,candidate,r3d_lt_m7_hold3_crisis_only,0.05,0.01,5,1.9547106481481484,0.6274509803921569,0.8982992583962124,0.9928776002059329
3004,1.4964848698662396,0.11770314195245546,0.6241405805358172,-0.25755598036547067,candidate,r3d_lt_m7_hold3_crisis_only,0.05,0.02,5,1.8627083333333334,0.6275510204081632,0.9322292498890369,0.6198176484688463
3004,2.63516228471321,0.16997234825462315,1.3454806819460376,-0.11795243007841483,candidate,r3d_lt_m7_hold3_crisis_only,0.1,0.01,5,3.2343359375,0.6348773841961853,0.839925845400577,1.0290992593443602
3004,2.460439506270484,0.16298377924054153,1.0212750207160843,-0.15721024326231403,candidate,r3d_lt_m7_hold3_crisis_only,0.1,0.02,5,3.909421296296297,0.6274509803921569,0.8982992583962124,0.9928776002059329
3037,-0.036717779866786815,-0.004490408659912015,-1.0818704264685226,-0.03799756963272505,random_control,r1d_lt_m3_hold1,1.0,0.01,5,6.029999999999999,0.36650082918739635,0.0019888047415212383,0.9818084474160902
3037,-0.07343555973357563,-0.009133995150120588,-1.0800810043050775,-0.07592172339870706,random_control,r1d_lt_m3_hold1,1.0,0.02,5,12.059999999999999,0.36650082918739635,0.003977609483042477,0.9636168948321779
