variant,cumulative_net_total_return,sharpe,max_drawdown,off_carry_cumulative,cumulative_delta_vs_d013,sharpe_delta_vs_d013,mdd_delta_vs_d013,cumulative_pass,sharpe_pass,mdd_pass,pass
d013_baseline,2.2994412001168385,0.5017312487668135,-0.34235547651133513,0.0,0.0,0.0,0.0,,,,
d013_kr_short_rate_sleeve,3.2542718250575646,0.6139370561780421,-0.34235547651133524,0.2893916172552795,0.9548306249407261,0.11220580741122854,-1.1102230246251565e-16,,,,
verdict,,,,0.2893916172552795,0.9548306249407261,0.11220580741122854,-1.1102230246251565e-16,True,True,True,True
