hypothesis,description,value,threshold,passes
H1,V1 cumulative net total return > 0,1.1136051550981834,0.0,True
H2,V1 cumulative net >= V2 cumulative net - 30pp,-18.981572471351143,-0.3,False
H3,"V1 positive in at least 2 of 2010, 2025, 2026",2.0,2.0,True
H4,V1 max drawdown improves on V2 by at least 5pp,-0.30281277226470826,-0.05,True
H5,V1 positive in >= 8 of 16 years,8.0,8.0,True
H6,V1 net / V1 cost-0 >= 0.7,0.750450359171506,0.7,True
H7,V1 v11 cumulative net improves on C013 v10 by >= 5pp,0.30070759718941775,0.05,True
H8,C014 V1 subperiod cumulative net is >= 0 in both 2010-2017 and 2018-2026,-0.08160168142041113,0.0,False
H9,US PPI decel vs US CPI decel correlation is a descriptive redundancy check,0.7848186679989109,0.7,
