scenario,gain_tax,sell_tax,commission,slippage,count,mean,median,hit_rate,sharpe_like
conservative_s000_gain_tax_22pct,0.22,0.0,0.0025,0.0005,1622,0.10016527582786788,0.04967322698109927,0.6664611590628853,1.6671850600740685
ordinary_domestic_listed_small_shareholder,0.0,0.0018,0.00015,0.0005,1622,0.1460331046521185,0.06827593202705036,0.6787916152897657,1.9200537192837335
large_shareholder_special_case,0.22,0.0018,0.00015,0.0005,1622,0.1030652758278679,0.052573226981099286,0.6750924784217016,1.7154536505037836
