date,cash,mtm_value,gross_value,net_value,n_positions
2018-02-26,0.0,1.1065158345813477,1.1065158345813477,1.1065158345813477,5
2018-02-27,0.0,1.1143319350231424,1.1143319350231424,1.1143319350231424,5
2018-02-28,0.0,1.0969159656994278,1.0969159656994278,1.0969159656994278,5
2018-03-02,0.0,1.0733652009337353,1.0733652009337353,1.0733652009337353,5
2018-03-05,0.0,1.0662508140197466,1.0662508140197466,1.0662508140197466,5
2018-03-06,0.0,1.0960321583908554,1.0960321583908554,1.0960321583908554,5
2018-03-07,0.0,1.0962746950922502,1.0962746950922502,1.0962746950922502,5
2018-03-08,0.0,1.111852837989024,1.111852837989024,1.111852837989024,5
2018-03-09,0.0,1.1051645528741416,1.1051645528741416,1.1051645528741416,5
2018-03-12,0.0,1.1152270097319288,1.1152270097319288,1.1152270097319288,5
2018-03-13,0.0,1.1420004730557745,1.1420004730557745,1.1420004730557745,5
2018-03-14,0.0,1.1366236758047572,1.1366236758047572,1.1366236758047572,5
2018-03-15,0.0,1.1358246857861283,1.1358246857861283,1.1358246857861283,5
2018-03-16,0.0,1.1328809402125752,1.1328809402125752,1.1328809402125752,5
2018-03-19,0.0,1.1192712252528618,1.1192712252528618,1.1192712252528618,5
2018-03-20,0.0,1.1227269937985653,1.1227269937985653,1.1227269937985653,5
2018-03-21,0.0,1.1246208146091203,1.1246208146091203,1.1246208146091203,5
2018-03-22,0.0,1.1243413744087858,1.1243413744087858,1.1243413744087858,5
2018-03-23,0.0,1.0808178207272905,1.0808178207272905,1.0808178207272905,5
2018-03-26,0.0,1.0885947630792627,1.0885947630792627,1.0885947630792627,5
2018-03-27,0.0,1.0978312285212848,1.0978312285212848,1.0978312285212848,5
2018-03-28,0.0,1.0773797509469702,1.0773797509469702,1.0773797509469702,5
2018-03-29,0.0,1.0688497397696648,1.0688497397696648,1.0688497397696648,5
2018-03-30,0.0,1.0665168672580678,1.0665168672580678,1.0665168672580678,5
2018-04-02,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-03,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-04,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-05,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-06,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-09,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-10,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-11,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-12,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-13,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-16,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-17,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-18,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-19,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-20,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-23,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-24,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-25,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-26,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-27,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-04-30,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-02,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-03,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-04,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-08,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-09,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-10,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-11,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-14,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-15,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-16,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-17,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-18,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-21,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-23,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-24,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-25,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-28,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-29,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-30,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-05-31,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-01,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-04,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-05,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-07,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-08,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
2018-06-11,1.0676771320166547,0.0,1.0676771320166547,1.0676771320166547,0
