ticker,name,event_count,event_types,correction_count,cancellation_count
034730,SK,268,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,39,0
006120,SK디스커버리,168,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,32,0
036530,SNT홀딩스,162,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,13,0
092230,KPX홀딩스,151,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,16,0
086790,하나금융지주,138,buyback_acquisition|buyback_retirement|cash_dividend|quarterly_dividend|value_up_plan,19,0
138040,메리츠금융지주,137,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|shareholder_return_policy|value_up_plan,6,0
003550,LG,132,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,31,0
175330,JB금융지주,130,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|quarterly_dividend|value_up_plan,9,0
105560,KB금융,129,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,23,0
107590,미원홀딩스,129,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,6,0
035420,NAVER,128,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend,26,0
055550,신한지주,128,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,18,0
402340,SK스퀘어,128,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,22,0
002840,미원상사,127,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,3,0
004990,롯데지주,127,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,30,0
006260,LS,115,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,20,0
001040,CJ,111,buyback_acquisition|buyback_disposal|cash_dividend|value_up_plan,27,0
002790,아모레퍼시픽홀딩스,110,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,12,0
096770,SK이노베이션,108,buyback_acquisition|buyback_disposal|buyback_retirement|cash_dividend|value_up_plan,23,0
