event_date,event_time,session,ticker,name,event_type,title,is_correction,is_cancellation
2018-01-02,20:18,after_close,006740,블루산업개발,buyback_disposal,[기재정정]유형자산처분결정,True,False
2018-01-02,20:18,after_close,214420,토니모리,buyback_acquisition,유형자산취득결정(종속회사의주요경영사항),False,False
2018-01-03,20:18,after_close,037560,LG헬로비전,buyback_acquisition,[기재정정]타법인주식및출자증권취득결정(자율공시),True,False
2018-01-03,20:18,after_close,003850,보령,buyback_acquisition,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),False,False
2018-01-03,20:18,after_close,000220,유유제약,buyback_disposal,자기주식처분결과보고서,False,False
2018-01-04,20:18,after_close,003060,에이프로젠바이오로직스,buyback_acquisition,[기재정정]주권관련사채권의취득결정,True,False
2018-01-04,20:18,after_close,017370,우신시스템,buyback_acquisition,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),False,False
2018-01-04,20:18,after_close,008490,서흥,buyback_acquisition,자기주식취득결과보고서,False,False
2018-01-04,20:18,after_close,003060,에이프로젠바이오로직스,buyback_acquisition,주권관련사채권의취득결정,False,False
2018-01-04,20:18,after_close,039570,HDC랩스,buyback_acquisition,타법인주식및출자증권취득결정,False,False
2018-01-05,20:18,after_close,003570,SNT다이내믹스,buyback_acquisition,주요사항보고서(자기주식취득신탁계약체결결정),False,False
2018-01-05,20:18,after_close,036530,SNT홀딩스,buyback_acquisition,주요사항보고서(자기주식취득신탁계약체결결정)(자회사의 주요경영사항),False,False
2018-01-05,20:18,after_close,002410,범양건영,buyback_acquisition,타법인주식및출자증권취득결정,False,False
2018-01-05,20:18,after_close,210980,SK디앤디,buyback_acquisition,타법인주식및출자증권취득결정(자율공시),False,False
2018-01-08,20:18,after_close,001340,PKC,buyback_disposal,[기재정정]자기주식처분결과보고서,True,False
2018-01-08,20:18,after_close,001340,PKC,buyback_disposal,[기재정정]주요사항보고서(자기주식처분결정),True,False
2018-01-08,20:18,after_close,107590,미원홀딩스,buyback_disposal,자기주식처분결과보고서,False,False
2018-01-08,20:18,after_close,004700,조광피혁,buyback_acquisition,자기주식취득결과보고서,False,False
2018-01-08,20:18,after_close,007980,TP,buyback_acquisition,주요사항보고서(자기주식취득신탁계약체결결정),False,False
2018-01-08,20:18,after_close,074610,이엔플러스,buyback_disposal,타법인주식및출자증권처분결정,False,False
2018-01-08,20:18,after_close,003580,HLB글로벌,buyback_acquisition,타법인주식및출자증권취득결정,False,False
2018-01-09,20:18,after_close,000180,성창기업지주,buyback_acquisition,[연장결정]주요사항보고서(자기주식취득신탁계약체결결정),False,False
2018-01-09,20:18,after_close,001340,PKC,buyback_disposal,[첨부정정]주요사항보고서(자기주식처분결정),True,False
2018-01-09,20:18,after_close,044450,KSS해운,buyback_acquisition,자기주식취득결과보고서,False,False
2018-01-11,20:18,after_close,008490,서흥,buyback_acquisition,주요사항보고서(자기주식취득결정),False,False
2018-01-11,20:18,after_close,004890,동일산업,buyback_acquisition,주요사항보고서(자기주식취득신탁계약해지결정),False,False
2018-01-11,20:18,after_close,001820,삼화콘덴서공업,buyback_acquisition,타법인주식및출자증권취득결정,False,False
2018-01-15,20:18,after_close,015360,INVENI,buyback_acquisition,주요사항보고서(자기주식취득결정),False,False
2018-01-15,20:18,after_close,015360,INVENI,buyback_acquisition,타법인주식및출자증권취득결정,False,False
2018-01-15,20:18,after_close,016880,웅진,buyback_acquisition,타법인주식및출자증권취득결정,False,False
