date,V1_factor_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2019-04-12,1.0,1.580140797971967,1.0
2019-04-15,1.0,1.5873882367776018,1.0
2019-04-16,1.0,1.5920404469584626,1.0
2019-04-17,1.0,1.590489736231489,1.0
2019-04-18,1.0,1.568283720673477,1.0
2019-04-19,1.0,1.5703992001631286,1.0
2019-04-22,1.0,1.5709045461887026,1.0
2019-04-23,1.0,1.5740205116942243,1.0
2019-04-24,1.0,1.560625684596812,1.0
2019-04-25,1.0,1.5536560816918905,1.0
2019-04-26,1.0,1.5460353486019272,1.0
2019-04-29,1.0,1.5728494095326675,1.0
2019-04-30,1.0,1.5640757650237547,1.0
2019-05-02,1.0,1.5709828359380453,1.0
2019-05-03,1.0,1.5598062512756663,1.0
2019-05-07,1.0,1.546595623864283,1.0
2019-05-08,1.0,1.540564534678412,1.0
2019-05-09,1.0,1.4942812417006794,1.0
2019-05-10,1.0,1.4989700041654126,1.0
2019-05-13,1.0,1.4787272072688382,1.0
2019-05-14,1.0,1.4811437883792469,1.0
2019-05-15,1.0,1.4893467869641537,1.0
2019-05-16,1.0,1.4721405558274046,1.0
2019-05-17,1.0,1.4638760726992155,1.0
2019-05-20,1.0,1.4643482334926003,1.0
2019-05-21,1.0,1.4687552306639202,1.0
2019-05-22,1.0,1.4716728089811022,1.0
2019-05-23,1.0,1.468307075804441,1.0
2019-05-24,1.0,1.4584863041829177,1.0
2019-05-27,1.0,1.4581170544498812,1.0
2019-05-28,1.0,1.4619083859736444,1.0
2019-05-29,1.0,1.4440770341673874,1.0
2019-05-30,1.0,1.4555466202796847,1.0
2019-05-31,1.0,1.4581611021503103,1.0
2019-06-03,1.0,1.4773481716541101,1.0
2019-06-04,1.0,1.477105563104423,1.0
2019-06-05,1.0,1.478930803322523,1.0
2019-06-07,1.0,1.4814177919882523,1.0
2019-06-10,1.0,1.5011144557942433,1.0
2019-06-11,1.0,1.5102527888602912,1.0
2019-06-12,1.0,1.5082938702591109,1.0
2019-06-13,1.0,1.504739583889376,1.0
2019-06-14,1.0,1.4996757890255012,1.0
2019-06-17,1.0,1.4964777642264007,1.0
2019-06-18,1.0,1.5024640556198876,1.0
2019-06-19,1.0,1.5215707662413596,1.0
2019-06-20,1.0,1.5264681986045012,1.0
2019-06-21,1.0,1.52275425647698,1.0
2019-06-24,1.0,1.5234164191753041,1.0
2019-06-25,1.0,1.520372145523181,1.0
