variant,period,start_date,end_date,n_observations,total_return,cagr,sharpe,annualized_volatility,max_drawdown,mdd_peak_date,mdd_trough_date
K002-A,2010_2017,2010-01-04,2017-12-29,2065,0.8703950754426568,0.08158737810105277,0.9006877705976963,0.08926936668380936,-0.07380210787473884,2011-02-28,2011-08-08
K002-B,2010_2017,2010-01-04,2017-12-29,2065,0.6721489668261365,0.06651458088055895,0.7372806042264373,0.09067608527009476,-0.08633627772868802,2011-02-28,2011-08-08
K002-C,2010_2017,2010-01-04,2017-12-29,2065,1.0233181294245317,0.09228694203954713,0.6106678680899251,0.16248747899672225,-0.2114618154115736,2011-02-28,2011-08-08
P08_IEF30,2010_2017,2010-01-04,2017-12-29,2065,0.9973095828637046,0.09051827585551964,1.0116506360407347,0.08722100268502486,-0.06494957602069829,2012-09-13,2012-11-14
SPY_100,2010_2017,2010-01-04,2017-12-29,2065,1.573273141147291,0.12568353414459654,0.8378258512095726,0.15137691423181554,-0.18514137700201272,2011-02-14,2011-08-10
QQQ_100,2010_2017,2010-01-04,2017-12-29,2065,2.40406252697495,0.16583347638711654,0.9723777052987734,0.1683577933086117,-0.17241113225752835,2011-02-14,2011-08-22
K001-B,2010_2017,2010-01-04,2017-12-29,2065,1.0421470301189721,0.0935550003887442,1.0169396047184938,0.08964275071395694,-0.06651247260051185,2012-09-13,2012-11-14
N002-B,2010_2017,2010-01-04,2017-12-29,2065,0.9038222175866408,0.08398985880621912,1.0393443291887858,0.078578076033496,-0.05805644575007951,2012-09-13,2012-11-14
K002-A,2018_2026,2018-01-02,2026-05-18,2171,2.340745351289223,0.154963547119916,1.2703500094953455,0.1154975724201331,-0.16836601701739606,2020-02-20,2020-03-19
K002-B,2018_2026,2018-01-02,2026-05-18,2171,1.8755173849501992,0.13446058276885187,1.1483443189123848,0.11228538436427478,-0.18081944364891145,2020-02-20,2020-03-18
K002-C,2018_2026,2018-01-02,2026-05-18,2171,2.433298467190314,0.15873953029995036,0.8253854600653275,0.1971141102712927,-0.3057430965750081,2020-02-19,2020-03-23
P08_IEF30,2018_2026,2018-01-02,2026-05-18,2171,2.5626157577644695,0.16386801970915643,1.3123271848432407,0.11768600815529548,-0.1640771572257288,2020-02-20,2020-03-19
SPY_100,2018_2026,2018-01-02,2026-05-18,2171,3.3517330416408493,0.19201669095104212,0.982085330793035,0.1928199386173208,-0.2961655304621421,2020-02-20,2020-03-23
QQQ_100,2018_2026,2018-01-02,2026-05-18,2171,5.54885991832824,0.2516516989934239,1.043321709710069,0.2358324309010297,-0.3064399060301183,2021-12-27,2022-12-28
K001-B,2018_2026,2018-01-02,2026-05-18,2171,2.4735444246460045,0.16035358579213455,1.2969454077569231,0.11672879274127536,-0.16202588778383187,2020-02-20,2020-03-20
N002-B,2018_2026,2018-01-02,2026-05-18,2171,2.2177665780614024,0.1498011149968601,1.3332661993561574,0.10598765256962288,-0.1488173493893029,2020-02-20,2020-03-19
