overall_rank,variant,return_score_pp,mdd_score_pp,stress_count,return_improved_count,mdd_improved_count,return_worsened_count,mdd_worsened_count,balanced_score_pp,family
1,N002-B,0.4464450242568423,2.283722879544783,4,3,4,1,0,1.3650839519008129,N-family
2,N001-B,1.5542264585816206,1.494455774594846,4,3,3,0,0,1.5243411165882332,N-family
3,N004-C,0.7754725769232976,1.158989203633728,4,1,2,1,0,0.9672308902785128,N-family
4,N001-A,0.7805559508396125,0.7939510336398691,4,3,3,0,0,0.7872534922397407,N-family
5,N004-B,0.4589795220320384,0.725475890617585,4,2,2,0,0,0.5922277063248117,N-family
6,K001-B,-0.1901033345365815,0.6044882813201452,4,2,4,2,0,0.2071924733917818,K001
7,N004-A,0.3113777300661261,0.4300337656616824,4,1,1,1,1,0.3707057478639043,N-family
8,K001-D,-0.5720591206225978,0.3957848918082818,4,1,2,3,2,-0.0881371144071579,K001
9,K001-F,-0.0405358134923372,0.3669274147008239,4,1,2,3,2,0.1631958006042433,K001
10,K001-A,-0.0993269163901022,0.3191968861110783,4,2,4,2,0,0.109934984860488,K001
11,K001-C,-0.2918174387723182,0.257882838240947,4,1,2,3,2,-0.0169673002656856,K001
12,K001-E,-0.0231667103080257,0.1888677430429336,4,1,2,3,2,0.0828505163674539,K001
13,N003-A,-0.6692680723189844,-0.3855407223297086,4,2,3,2,1,-0.5274043973243465,N-family
14,N003-C,-0.2032455637115094,-1.5826071961549983,4,2,1,2,3,-0.8929263799332539,N-family
15,N002-C,-0.063555453299596,-2.617820081670139,4,2,1,2,3,-1.3406877674848676,N-family
16,N003-B,-0.063555453299596,-2.617820081670139,4,2,1,2,3,-1.3406877674848676,N-family
17,K002-B,-1.6337343848800252,-3.607209410790566,4,1,1,3,3,-2.6204718978352957,K002
18,K002-A,-3.7397419360597453,-3.9913667835063507,4,1,1,3,3,-3.865554359783048,K002
19,N002-A,-2.1002434218859576,-7.060155394834486,4,2,1,2,3,-4.5801994083602215,N-family
20,K002-C,-1.0783368710524934,-8.099121768048182,4,1,1,3,3,-4.588729319550337,K002
