year,factor_macro_gate_mcap_net_total_return,kospi_buy_and_hold_net_total_return,cash_net_total_return,d001_factor_macro_gate_mcap_net_total_return,d009_minus_d001_factor_macro_gate_mcap_return
2010,0.0,0.3293489579737485,0.0,0.0,0.0
2011,0.0,0.004079681302652238,0.0,0.0,0.0
2012,0.0,0.18731018909741426,0.0,0.0,0.0
2013,0.0,0.06125736750042954,0.0,0.0,0.0
2014,0.0,0.05769800682302639,0.0,0.0,0.0
2015,0.0,0.16501292442133764,0.0,0.0,0.0
2017,0.2656029117705616,0.31675953872996554,0.0,0.0,0.2656029117705616
2018,-0.01371053711066661,-0.08401784948302582,0.0,0.0,-0.01371053711066661
2019,-0.0385378810685576,0.17019485930094325,0.0,0.0277493483052602,-0.0662872293738178
2020,0.34900478106967414,0.5251287429311848,0.0,0.2461360848272729,0.10286869624240125
2021,0.05771120364590199,0.13170240063376726,0.0,-0.035316520549102,0.09302772419500399
2022,0.018926010586087783,-0.18442405395793493,0.0,0.0,0.018926010586087783
2023,0.05981724660444687,0.3279894204214897,0.0,-0.0177293971971159,0.07754664380156277
2024,0.1450986698376484,0.034981455283805474,0.0,0.0422472179791628,0.1028514518584856
2025,0.3139106831013505,1.047004780803555,0.0,0.7666554035490463,-0.45274472044769576
2026,1.0526735842104866,0.7344109727369705,0.0,0.0,1.0526735842104866
