signal_date,kospi_proxy_level,kospi_proxy_sma_200,regime_gate_on
2010-01-04,1.0084117348300068,,False
2010-01-05,1.0058863544269032,,False
2010-01-06,1.0150370832715994,,False
2010-01-07,1.0029270355198405,,False
2010-01-08,1.0105067641978611,,False
2010-01-11,1.010612067391687,,False
2010-01-12,1.0136073992739711,,False
2010-01-13,0.9977418141746844,,False
2010-01-14,1.0068657097224023,,False
2010-01-15,1.0170894227916236,,False
2010-01-18,1.0235991294059217,,False
2010-01-19,1.023121353727661,,False
2010-01-20,1.0261567118132484,,False
2010-01-21,1.0312135763824803,,False
2010-01-22,1.0090194486959274,,False
2010-01-25,1.0012283534562552,,False
2010-01-26,0.9820343116444283,,False
2010-01-27,0.9755154446168729,,False
2010-01-28,0.986351537220928,,False
2010-01-29,0.9625686329669092,,False
2010-02-01,0.9654301503303515,,False
2010-02-02,0.9594123327380243,,False
2010-02-03,0.9713614211816926,,False
2010-02-04,0.9725668256646673,,False
2010-02-05,0.9431611745796551,,False
2010-02-08,0.9349657834048156,,False
2010-02-09,0.9460108852366039,,False
2010-02-10,0.9460708440649153,,False
2010-02-11,0.9630918056200152,,False
2010-02-12,0.9608014401630877,,False
2010-02-16,0.9654569772954696,,False
2010-02-17,0.9815799315630361,,False
2010-02-18,0.9779822986163774,,False
2010-02-19,0.9617242857685185,,False
2010-02-22,0.9819040722292062,,False
2010-02-23,0.9831790821489619,,False
2010-02-24,0.9737756694741478,,False
2010-02-25,0.9586579839777255,,False
2010-02-26,0.9631399446241182,,False
2010-03-02,0.9760942153333528,,False
2010-03-03,0.9806628603315396,,False
2010-03-04,0.9782891896586954,,False
2010-03-05,0.9883351462289742,,False
2010-03-08,1.0040330207828438,,False
2010-03-09,1.0047228492962959,,False
2010-03-10,1.0057567747370242,,False
2010-03-11,1.002623029187981,,False
2010-03-12,1.0066004602091343,,False
2010-03-15,0.9987545959793762,,False
2010-03-16,0.9980423341802744,,False
2010-03-17,1.0194315300875485,,False
2010-03-18,1.0149807515147864,,False
2010-03-19,1.021845554836334,,False
2010-03-22,1.0139341694171653,,False
2010-03-23,1.019756761432108,,False
2010-03-24,1.0195029909920093,,False
2010-03-25,1.0242404259336146,,False
2010-03-26,1.0300761048576252,,False
2010-03-29,1.026855138880017,,False
2010-03-30,1.032161323496427,,False
2010-03-31,1.0279306797822383,,False
2010-04-01,1.0443002666193115,,False
2010-04-02,1.047391762773928,,False
2010-04-05,1.0488217312969224,,False
2010-04-06,1.0498071311033166,,False
2010-04-07,1.0505176320477774,,False
2010-04-08,1.0550897260515713,,False
2010-04-09,1.049644099228746,,False
2010-04-12,1.0417631986929892,,False
2010-04-13,1.042209279712502,,False
2010-04-14,1.0575921715027647,,False
2010-04-15,1.063181935262524,,False
2010-04-16,1.0576462457045541,,False
2010-04-19,1.040111527371551,,False
2010-04-20,1.0481505256277452,,False
2010-04-21,1.0665445358920675,,False
2010-04-22,1.0620178864565042,,False
2010-04-23,1.06085072696594,,False
2010-04-26,1.070340499545846,,False
2010-04-27,1.0689979576546584,,False
2010-04-28,1.0599525269992964,,False
2010-04-29,1.0570637440251602,,False
2010-04-30,1.0655932684344385,,False
2010-05-03,1.0535917829347943,,False
2010-05-04,1.0524608031702423,,False
2010-05-06,1.0320296510005351,,False
2010-05-07,1.009579961531745,,False
2010-05-10,1.0285460886319235,,False
2010-05-11,1.0245728894603152,,False
2010-05-12,1.0195964722543114,,False
2010-05-13,1.0393836488472008,,False
2010-05-14,1.0406982622689944,,False
2010-05-17,1.014331131688179,,False
2010-05-18,1.0102494954365409,,False
2010-05-19,1.0030256484311268,,False
2010-05-20,0.9851952102643161,,False
2010-05-24,0.9887125975289559,,False
2010-05-25,0.9619587555785865,,False
2010-05-26,0.9761300859845418,,False
2010-05-27,0.9923582736604596,,False
2010-05-28,1.0020994492509099,,False
2010-05-31,1.0138715058341436,,False
2010-06-01,1.0076523016076144,,False
2010-06-03,1.0275666387656643,,False
2010-06-04,1.0294758431123217,,False
2010-06-07,1.0136945397866968,,False
2010-06-08,1.0223611911142787,,False
2010-06-09,1.0201259604563782,,False
2010-06-10,1.0231453995985855,,False
2010-06-11,1.038291970669485,,False
2010-06-14,1.0480054951179116,,False
2010-06-15,1.048016073372901,,False
2010-06-16,1.0578503185781116,,False
2010-06-17,1.0598624614461487,,False
2010-06-18,1.0625452952121728,,False
2010-06-21,1.0802200513829534,,False
2010-06-22,1.0754931473092568,,False
2010-06-23,1.0722608902977215,,False
2010-06-24,1.0812123063063745,,False
2010-06-25,1.0753695968729442,,False
2010-06-28,1.0769901922905092,,False
2010-06-29,1.0621346927694322,,False
2010-06-30,1.0567819204973599,,False
2010-07-01,1.0498080940719314,,False
2010-07-02,1.0414011005541262,,False
2010-07-05,1.0441690754376707,,False
2010-07-06,1.0504871863208147,,False
2010-07-07,1.0449598927732957,,False
2010-07-08,1.0596045609587976,,False
2010-07-09,1.0751975750406213,,False
2010-07-12,1.0824001027832795,,False
2010-07-13,1.083393053278963,,False
2010-07-14,1.098313351116869,,False
2010-07-15,1.094356836780418,,False
2010-07-16,1.086852393266829,,False
2010-07-19,1.0830777567950498,,False
2010-07-20,1.0864291248417481,,False
2010-07-21,1.094425653283623,,False
2010-07-22,1.0866999969761084,,False
2010-07-23,1.1013897672720834,,False
2010-07-26,1.1086415611978229,,False
2010-07-27,1.1084166342490094,,False
2010-07-28,1.111988114260603,,False
2010-07-29,1.1107262201928652,,False
2010-07-30,1.1040978469381508,,False
2010-08-02,1.1191630381488393,,False
2010-08-03,1.1247728599138243,,False
2010-08-04,1.1243810013896638,,False
2010-08-05,1.1214442600018624,,False
2010-08-06,1.1218609915834659,,False
2010-08-09,1.126087961445188,,False
2010-08-10,1.1208921753618737,,False
2010-08-11,1.1068409477764363,,False
2010-08-12,1.0842218211144008,,False
2010-08-13,1.0999755607586907,,False
2010-08-16,1.0984250816718906,,False
2010-08-17,1.1060962935495477,,False
2010-08-18,1.1108637647113515,,False
2010-08-19,1.1223473922324758,,False
2010-08-20,1.120115382911628,,False
2010-08-23,1.1157809975990225,,False
2010-08-24,1.1117277226232365,,False
2010-08-25,1.0958142721211324,,False
2010-08-26,1.0929350691060185,,False
2010-08-27,1.0931043175398618,,False
2010-08-30,1.1126356106443407,,False
2010-08-31,1.1021231762217854,,False
2010-09-01,1.116510665977873,,False
2010-09-02,1.1239574563174102,,False
2010-09-03,1.1270549716211824,,False
2010-09-06,1.1352227194958795,,False
2010-09-07,1.1325965628077566,,False
2010-09-08,1.1275704257394585,,False
2010-09-09,1.1313336816613393,,False
2010-09-10,1.1432866116543523,,False
2010-09-13,1.154263856617178,,False
2010-09-14,1.1523994933258452,,False
2010-09-15,1.1582957110521617,,False
2010-09-16,1.1510835587740875,,False
2010-09-17,1.1613605103598663,,False
2010-09-20,1.1650613653632695,,False
2010-09-24,1.174706239730539,,False
2010-09-27,1.184482526021501,,False
2010-09-28,1.1817405093303548,,False
2010-09-29,1.188980078659625,,False
2010-09-30,1.1934080034395986,,False
2010-10-01,1.1965776498228047,,False
