stress,candidate,grid,weights,window_start,window_end,peak_date,trough_date,daily_mdd,recovery_date,recovery_days,QQQ_return_contribution,SPY_return_contribution,H001_return_contribution,IEF_return_contribution,total_return_contribution
2020_covid,A01_QQQ70_H00130_IEF00,I003.5-A,QQQ70/H00130,2020-02-01,2020-04-30,2020-02-19,2020-03-16,-0.25242484554362465,2020-06-03,79,-0.18864788974477187,0.0,-0.0637769557988528,0.0,-0.25242484554362465
2020_covid,A02_QQQ60_H00130_IEF10,I003.5-A,QQQ60/H00130/IEF10,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.21854337194467433,2020-05-28,70,-0.1307568629901366,0.0,-0.09504744402835105,0.007260935073813296,-0.21854337194467438
2020_covid,A03_P07_QQQ50_H00130_IEF20,I003.5-A,QQQ50/H00130/IEF20,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.19096136348697368,2020-05-20,62,-0.10981035971854042,0.0,-0.09578566307331848,0.01463465930488497,-0.19096136348697393
2020_covid,A04_QQQ40_H00130_IEF30,I003.5-A,QQQ40/H00130/IEF30,2020-02-01,2020-04-30,2020-02-19,2020-03-19,-0.1629475507398095,2020-05-18,60,-0.08853593290302186,0.0,-0.0965354391501339,0.022123821313346365,-0.1629475507398094
2020_covid,A05_QQQ30_H00130_IEF40,I003.5-A,QQQ30/H00130/IEF40,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.1355296723037802,2020-05-08,50,-0.06582062754422743,0.0,-0.09591530638315471,0.026206261623601877,-0.13552967230378027
2020_covid,A06_QQQ20_H00130_IEF50,I003.5-A,QQQ20/H00130/IEF50,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.10775619888139853,2020-04-22,34,-0.04417488748356875,0.0,-0.09655896697234108,0.03297765557451108,-0.10775619888139876
2020_covid,B01_SPY46_QQQ34_H00120_IEF00,I003.5-B,SPY46/QQQ34/H00120,2020-02-01,2020-04-30,2020-02-19,2020-03-23,-0.2729484112037922,2020-06-16,85,-0.0823045506868479,-0.13282379107508366,-0.057820069441860744,0.0,-0.2729484112037923
2020_covid,B02_P08_SPY40_QQQ30_H00120_IEF10,I003.5-B,SPY40/QQQ30/H00120/IEF10,2020-02-01,2020-04-30,2020-02-19,2020-03-23,-0.23428470583478467,2020-06-05,74,-0.0729328500454619,-0.11599386788181454,-0.05806783150587886,0.012709843598370449,-0.23428470583478486
2020_covid,B03_SPY34_QQQ26_H00120_IEF20,I003.5-B,SPY34/QQQ26/H00120/IEF20,2020-02-01,2020-04-30,2020-02-20,2020-03-23,-0.19582418511329158,2020-06-02,71,-0.06255055944872612,-0.09960620750610118,-0.057436109550614164,0.02376869139214985,-0.1958241851132916
2020_covid,B04_SPY29_QQQ21_H00120_IEF30,I003.5-B,SPY29/QQQ21/H00120/IEF30,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.16407731360394917,2020-05-25,67,-0.046224479055791835,-0.07341976813842081,-0.06415176744748421,0.019718701037747616,-0.16407731360394925
2020_covid,B05_SPY23_QQQ17_H00120_IEF40,I003.5-B,SPY23/QQQ17/H00120/IEF40,2020-02-01,2020-04-30,2020-02-20,2020-03-19,-0.13396777537261795,2020-05-18,60,-0.03754827403775656,-0.058429365945096005,-0.0643719926297844,0.026381857240018812,-0.13396777537261814
