candidate,period,start_date,end_date,cumulative_net_total_return,cagr,sharpe,max_drawdown,mdd_peak_date,mdd_trough_date,mdd_length_days,grid,weights
A01_QQQ70_H00130_IEF00,exclude_2025_calendar_year,2010-01-04,2026-05-18,13.950972935017951,0.17969887165137122,1.100244694927496,-0.25242484554362465,2020-02-19,2020-03-16,26,I003.5-A,QQQ70/H00130
A02_QQQ60_H00130_IEF10,exclude_2025_calendar_year,2010-01-04,2026-05-18,10.984489575586213,0.16386499819076672,1.120685236306919,-0.21974132129868373,2021-12-28,2022-12-28,365,I003.5-A,QQQ60/H00130/IEF10
A03_P07_QQQ50_H00130_IEF20,exclude_2025_calendar_year,2010-01-04,2026-05-18,8.535666159684567,0.1477238282103388,1.1333532822849968,-0.19907004458487965,2021-12-28,2022-12-28,365,I003.5-A,QQQ50/H00130/IEF20
A04_QQQ40_H00130_IEF30,exclude_2025_calendar_year,2010-01-04,2026-05-18,6.530989215339898,0.13129223972705684,1.1289872563584156,-0.17821908189016777,2021-12-28,2022-12-28,365,I003.5-A,QQQ40/H00130/IEF30
A05_QQQ30_H00130_IEF40,exclude_2025_calendar_year,2010-01-04,2026-05-18,4.903437896149887,0.1145864711468183,1.0929985411260454,-0.15718688740192588,2021-12-28,2022-12-28,365,I003.5-A,QQQ30/H00130/IEF40
A06_QQQ20_H00130_IEF50,exclude_2025_calendar_year,2010-01-04,2026-05-18,3.5928985930552155,0.09762215521683104,1.0083049266698232,-0.1359718475938989,2021-12-28,2022-12-28,365,I003.5-A,QQQ20/H00130/IEF50
B01_SPY46_QQQ34_H00120_IEF00,exclude_2025_calendar_year,2010-01-04,2026-05-18,11.541644096239638,0.16710086948750003,1.0718263848375083,-0.2729484112037922,2020-02-19,2020-03-23,33,I003.5-B,SPY46/QQQ34/H00120
B02_P08_SPY40_QQQ30_H00120_IEF10,exclude_2025_calendar_year,2010-01-04,2026-05-18,9.474559335796338,0.15432819931022057,1.0997330903490699,-0.23428470583478467,2020-02-19,2020-03-23,33,I003.5-B,SPY40/QQQ30/H00120/IEF10
B03_SPY34_QQQ26_H00120_IEF20,exclude_2025_calendar_year,2010-01-04,2026-05-18,7.6929817048601645,0.1412539675829123,1.1226212154352637,-0.19582418511329158,2020-02-20,2020-03-23,32,I003.5-B,SPY34/QQQ26/H00120/IEF20
B04_SPY29_QQQ21_H00120_IEF30,exclude_2025_calendar_year,2010-01-04,2026-05-18,6.11626972375764,0.12738381267998689,1.1316208645278387,-0.16407731360394917,2020-02-20,2020-03-19,28,I003.5-B,SPY29/QQQ21/H00120/IEF30
B05_SPY23_QQQ17_H00120_IEF40,exclude_2025_calendar_year,2010-01-04,2026-05-18,4.831930535137305,0.11375685767531007,1.1176345441686737,-0.1409247050237068,2021-12-28,2022-12-28,365,I003.5-B,SPY23/QQQ17/H00120/IEF40
