portfolio,candidate,weights,window_start,window_end,peak_date,trough_date,peak_to_trough_mdd,drawdown_length_days,recovery_date
P07,A03_P07_QQQ50_H00130_IEF20,QQQ50/H00130/IEF20,2021-01-01,2022-12-31,2021-12-28,2022-12-28,-0.19907004458487965,365,2023-08-08
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,SPY40/QQQ30/H00120/IEF10,2021-01-01,2022-12-31,2021-12-28,2022-12-28,-0.17676467645401517,365,2023-06-28
P07_IEF30,A04_QQQ40_H00130_IEF30,QQQ40/H00130/IEF30,2021-01-01,2022-12-31,2021-12-28,2022-12-28,-0.17821908189016777,365,2023-08-31
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,SPY29/QQQ21/H00120/IEF30,2021-01-01,2022-12-31,2021-12-28,2022-12-28,-0.15224975351911996,365,2023-06-30
