portfolio,candidate,period,component,target_weight,return_contribution,component_total_return_krw,component_total_return_usd,fx_contribution_estimate
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,QQQ,0.5,0.9608693264239414,2.4040651643933697,2.6642285828333567,-0.1300817092199935
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,SPY,0.0,0.0,1.5732748002844263,1.7699431765629328,-0.0
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,H001,0.3,0.12144396663284271,0.28796065864821085,,0.0
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,IEF,0.2,0.07420706100078812,0.30843689240099015,0.4084371562915605,-0.020000052778114077
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,FX_estimate_total,,-0.15008176199810758,,,-0.15008176199810758
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,rebalance_effect,,-0.19358780421376953,,,
P07,A03_P07_QQQ50_H00130_IEF20,2010_2017,total,1.0,1.1565203540575766,1.1565203540575766,,-0.15008176199810758
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,QQQ,0.5,2.0267873042837623,5.565093020156376,3.7105555105240633,0.9272687548161564
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,SPY,0.0,0.0,3.358271079318224,2.1271267270712815,0.0
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,H001,0.3,1.2253124432000357,2.5482855102379607,,0.0
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,IEF,0.2,0.1569238743476625,0.5095105048235857,0.0830970718707853,0.0852826865905601
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,FX_estimate_total,,1.0125514414067165,,,1.0125514414067165
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,rebalance_effect,,-0.23991064228283632,,,
P07,A03_P07_QQQ50_H00130_IEF20,2018_2026,total,1.0,3.409023621831457,3.409023621831457,,1.0125514414067165
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,QQQ,0.3,0.5951716867686325,2.4040651643933697,2.6642285828333567,-0.07804902553199611
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,SPY,0.4,0.6056959582258807,1.5732748002844263,1.7699431765629328,-0.07866735051140257
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,H001,0.2,0.08440288147872474,0.28796065864821085,,0.0
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,IEF,0.1,0.03750935375435055,0.30843689240099015,0.4084371562915605,-0.010000026389057039
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,FX_estimate_total,,-0.1667164024324557,,,-0.1667164024324557
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,rebalance_effect,,-0.11618541017393258,,,
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2010_2017,total,1.0,1.32277988022759,1.32277988022759,,-0.1667164024324557
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,QQQ,0.3,1.249557022022231,5.565093020156376,3.7105555105240633,0.5563612528896938
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,SPY,0.4,1.308243607662078,3.358271079318224,2.1271267270712815,0.49245774089877714
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,H001,0.2,0.8598445708861535,2.5482855102379607,,0.0
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,IEF,0.1,0.08377669699963866,0.5095105048235857,0.0830970718707853,0.04264134329528005
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,FX_estimate_total,,1.091460337083751,,,1.091460337083751
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,rebalance_effect,,-0.0720225927340521,,,
P08,B02_P08_SPY40_QQQ30_H00120_IEF10,2018_2026,total,1.0,3.5014218975701015,3.5014218975701015,,1.091460337083751
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,QQQ,0.4,0.7414801794332762,2.4040651643933697,2.6642285828333567,-0.10406536737599481
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,SPY,0.0,0.0,1.5732748002844263,1.7699431765629328,-0.0
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,H001,0.3,0.11564856159172884,0.28796065864821085,,0.0
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,IEF,0.3,0.10829112209257409,0.30843689240099015,0.4084371562915605,-0.03000007916717111
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,FX_estimate_total,,-0.13406544654316593,,,-0.13406544654316593
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,rebalance_effect,,-0.17512546795452866,,,
P07_IEF30,A04_QQQ40_H00130_IEF30,2010_2017,total,1.0,0.9654198631175794,0.9654198631175794,,-0.13406544654316593
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,QQQ,0.4,1.5097934390511734,5.565093020156376,3.7105555105240633,0.7418150038529252
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,SPY,0.0,0.0,3.358271079318224,2.1271267270712815,0.0
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,H001,0.3,1.1015099070891663,2.5482855102379607,,0.0
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,IEF,0.3,0.21728199075608795,0.5095105048235857,0.0830970718707853,0.12792402988584012
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,FX_estimate_total,,0.8697390337387654,,,0.8697390337387654
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,rebalance_effect,,-0.31479067568458685,,,
P07_IEF30,A04_QQQ40_H00130_IEF30,2018_2026,total,1.0,2.8285853368964275,2.8285853368964275,,0.8697390337387654
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,QQQ,0.21,0.3941885801042977,2.4040651643933697,2.6642285828333567,-0.054634317872397274
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,SPY,0.29,0.41733410381894886,1.5732748002844263,1.7699431765629328,-0.057033829120766856
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,H001,0.2,0.07814334766515815,0.28796065864821085,,0.0
P08_IEF30,B04_SPY29_QQQ21_H00120_IEF30,2010_2017,IEF,0.3,0.10767607671573534,0.30843689240099015,0.4084371562915605,-0.03000007916717111
