ticker,sector_code,sector_name,n_rows,start_date,end_date,foreign_net_buy_amount_missing_pct,foreign_net_buy_shares_missing_pct,institution_net_buy_amount_missing_pct,institution_net_buy_shares_missing_pct,traded_value_missing_pct,traded_value_zero_pct,market_cap_missing_pct,market_cap_zero_pct,daily_return_missing_pct,panel_rows,krx_close_missing_pct,krx_close_zero_pct,open_missing_pct,open_zero_pct,panel_traded_value_missing_pct,panel_traded_value_zero_pct,panel_market_cap_missing_pct,panel_market_cap_zero_pct
009150,1.0,반도체/IT하드웨어,3988,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009280,1.0,반도체/IT하드웨어,1,2013-04-15,2013-04-15,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,819,0.0,0.0,0.0,3.418803,0.0,3.418803,0.0,0.0
009320,1.0,반도체/IT하드웨어,153,2010-06-22,2023-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207,0.0,0.0,0.0,0.124727,0.0,0.124727,0.0,0.0
009450,1.0,반도체/IT하드웨어,76,2012-02-17,2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.291391,0.0,0.291391,0.0,0.0
009470,1.0,반도체/IT하드웨어,241,2010-01-13,2026-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010120,1.0,반도체/IT하드웨어,1129,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.07947,0.0,0.07947,0.0,0.0
011070,1.0,반도체/IT하드웨어,3389,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011230,1.0,반도체/IT하드웨어,99,2013-06-05,2025-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527,0.0,0.0,0.0,0.340232,0.0,0.340232,0.0,0.0
011690,1.0,반도체/IT하드웨어,130,2012-10-12,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3527,0.0,0.0,0.0,9.441452,0.0,9.441452,0.0,0.0
012170,1.0,반도체/IT하드웨어,300,2010-03-29,2025-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3281,0.0,0.0,0.0,6.857665,0.0,6.827187,0.0,0.0
