period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,,,,,,,0,0
2018-2026,2018-01-01,2026-05-04,1.574881558280227,1.6501719362125429,0.25240253052826667,0.2610213425936585,-0.21655408421999633,-0.2164808922303696,45,45
