ticker,concept,period_type,count,lag_min,lag_median,lag_max
GOOGL,CapEx,quarterly,32,24,27,35
GOOGL,CapEx,annual,11,31,35,42
GOOGL,CapEx,other,0,,,
GOOGL,Shares,quarterly,40,24,29,120
GOOGL,Shares,annual,11,31,35,42
GOOGL,Shares,other,0,,,
GOOGL,Dividends,quarterly,9,24,30,35
GOOGL,Dividends,annual,6,34,36,220
GOOGL,Dividends,other,0,,,
GOOG,Revenue,quarterly,32,24,27,35
GOOG,Revenue,annual,11,31,35,42
GOOG,Revenue,other,0,,,
GOOG,NetIncome,quarterly,32,24,27,35
GOOG,NetIncome,annual,11,31,35,42
GOOG,NetIncome,other,0,,,
GOOG,OperatingIncome,quarterly,32,24,27,35
GOOG,OperatingIncome,annual,11,31,35,42
GOOG,OperatingIncome,other,0,,,
GOOG,StockholdersEquity,quarterly,50,24,30,120
GOOG,StockholdersEquity,annual,11,31,35,42
GOOG,StockholdersEquity,other,0,,,
GOOG,Assets,quarterly,41,24,29,120
GOOG,Assets,annual,11,31,35,42
GOOG,Assets,other,0,,,
GOOG,CFO,quarterly,32,24,27,35
GOOG,CFO,annual,11,31,35,42
GOOG,CFO,other,0,,,
GOOG,Buybacks,quarterly,31,24,27,35
GOOG,Buybacks,annual,11,31,35,42
GOOG,Buybacks,other,0,,,
GOOG,Cash,quarterly,41,24,29,120
GOOG,Cash,annual,11,31,35,42
GOOG,Cash,other,0,,,
GOOG,LongTermDebt,quarterly,37,24,29,120
GOOG,LongTermDebt,annual,11,31,35,42
GOOG,LongTermDebt,other,0,,,
GOOG,TotalLiabilities,quarterly,41,24,29,120
GOOG,TotalLiabilities,annual,11,31,35,42
GOOG,TotalLiabilities,other,0,,,
GOOG,EPS_Basic,quarterly,28,24,27,32
GOOG,EPS_Basic,annual,8,31,34,36
GOOG,EPS_Basic,other,0,,,
GOOG,EPS_Diluted,quarterly,28,24,27,32
GOOG,EPS_Diluted,annual,8,31,34,36
GOOG,EPS_Diluted,other,0,,,
GOOG,CapEx,quarterly,32,24,27,35
GOOG,CapEx,annual,11,31,35,42
GOOG,CapEx,other,0,,,
GOOG,Shares,quarterly,40,24,29,120
GOOG,Shares,annual,11,31,35,42
GOOG,Shares,other,0,,,
GOOG,Dividends,quarterly,9,24,30,35
GOOG,Dividends,annual,6,34,36,220
GOOG,Dividends,other,0,,,
AMZN,Revenue,quarterly,51,22,27,35
AMZN,Revenue,annual,39,28,122,225
AMZN,Revenue,other,0,,,
AMZN,NetIncome,quarterly,51,22,27,35
AMZN,NetIncome,annual,39,28,122,225
AMZN,NetIncome,other,0,,,
AMZN,OperatingIncome,quarterly,51,22,27,35
AMZN,OperatingIncome,annual,39,28,122,225
AMZN,OperatingIncome,other,0,,,
AMZN,StockholdersEquity,quarterly,70,22,29,120
AMZN,StockholdersEquity,annual,17,28,32,41
AMZN,StockholdersEquity,other,0,,,
AMZN,Assets,quarterly,65,22,28,120
AMZN,Assets,annual,17,28,32,41
AMZN,Assets,other,0,,,
AMZN,CFO,quarterly,51,22,27,35
AMZN,CFO,annual,17,28,32,41
AMZN,CFO,other,0,,,
AMZN,Buybacks,quarterly,14,23,27,35
