ticker,concept,covered,matched_aliases
AMZN,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|SalesRevenueNet|SalesRevenueGoodsNet
AMZN,NetIncome,1,NetIncomeLoss
AMZN,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
AMZN,StockholdersEquity,1,StockholdersEquity
AMZN,Assets,1,Assets|AssetsCurrent
AMZN,CFO,1,NetCashProvidedByUsedInOperatingActivities
AMZN,Buybacks,1,PaymentsForRepurchaseOfCommonStock
AMZN,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|Cash
AMZN,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
AMZN,TotalLiabilities,1,LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
AMZN,EPS_Basic,1,EarningsPerShareBasic
AMZN,EPS_Diluted,1,EarningsPerShareDiluted
AMZN,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|PaymentsToAcquireProductiveAssets|CapitalExpendituresIncurredButNotYetPaid
AMZN,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
AMZN,Dividends,0,
META,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
META,NetIncome,1,NetIncomeLoss|NetIncomeLossAvailableToCommonStockholdersBasic
META,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
META,StockholdersEquity,1,StockholdersEquity
META,Assets,1,Assets|AssetsCurrent
META,CFO,1,NetCashProvidedByUsedInOperatingActivities
META,Buybacks,1,PaymentsForRepurchaseOfCommonStock
META,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|Cash
META,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent
META,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
META,EPS_Basic,1,EarningsPerShareBasic
META,EPS_Diluted,1,EarningsPerShareDiluted
META,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|CapitalExpendituresIncurredButNotYetPaid
META,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic
META,Dividends,1,PaymentsOfDividends|PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
NVDA,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
NVDA,NetIncome,1,NetIncomeLoss
NVDA,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
NVDA,StockholdersEquity,1,StockholdersEquity
NVDA,Assets,1,Assets|AssetsCurrent
NVDA,CFO,1,NetCashProvidedByUsedInOperatingActivities
NVDA,Buybacks,1,PaymentsForRepurchaseOfCommonStock
NVDA,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
NVDA,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
NVDA,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
NVDA,EPS_Basic,1,EarningsPerShareBasic
NVDA,EPS_Diluted,1,EarningsPerShareDiluted
NVDA,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|PaymentsToAcquireProductiveAssets|CapitalExpendituresIncurredButNotYetPaid
NVDA,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
NVDA,Dividends,1,PaymentsOfDividends|CommonStockDividendsPerShareDeclared
BRK-B,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues|SalesRevenueNet
BRK-B,NetIncome,1,NetIncomeLoss|ProfitLoss
BRK-B,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
BRK-B,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
BRK-B,Assets,1,Assets
BRK-B,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
