ticker,cik,download_status,facts_path,entity_name,us_gaap_concept_count,earliest_filing,latest_filing,sector,sic
AAPL,0000320193,existing,research_input_data/inputs/us_fundamentals/AAPL_facts.json,Apple Inc.,503,2009-07-22,2026-05-01,Electronic Computers,3571
MSFT,0000789019,existing,research_input_data/inputs/us_fundamentals/MSFT_facts.json,MICROSOFT CORPORATION,544,2009-10-23,2026-04-29,Services-Prepackaged Software,7372
GOOGL,0001652044,existing,research_input_data/inputs/us_fundamentals/GOOGL_facts.json,Alphabet Inc.,523,2015-10-29,2026-04-30,"Services-Computer Programming, Data Processing, Etc.",7370
GOOG,0001652044,existing,research_input_data/inputs/us_fundamentals/GOOG_facts.json,Alphabet Inc.,523,2015-10-29,2026-04-30,"Services-Computer Programming, Data Processing, Etc.",7370
AMZN,0001018724,existing,research_input_data/inputs/us_fundamentals/AMZN_facts.json,"AMAZON.COM, INC.",542,2009-07-24,2026-04-30,Retail-Catalog & Mail-Order Houses,5961
META,0001326801,existing,research_input_data/inputs/us_fundamentals/META_facts.json,"Meta Platforms, Inc.",456,2012-07-31,2026-04-30,"Services-Computer Programming, Data Processing, Etc.",7370
NVDA,0001045810,existing,research_input_data/inputs/us_fundamentals/NVDA_facts.json,NVIDIA CORPORATION,625,2009-08-20,2026-05-12,Semiconductors & Related Devices,3674
BRK-B,0001067983,existing,research_input_data/inputs/us_fundamentals/BRK-B_facts.json,BERKSHIRE HATHAWAY INC,437,2009-11-06,2026-05-04,"Fire, Marine & Casualty Insurance",6331
TSLA,0001318605,existing,research_input_data/inputs/us_fundamentals/TSLA_facts.json,"Tesla, Inc.",642,2011-08-12,2026-04-23,Motor Vehicles & Passenger Car Bodies,3711
JPM,0000019617,existing,research_input_data/inputs/us_fundamentals/JPM_facts.json,JPMORGAN CHASE & CO,917,2009-08-10,2026-05-01,National Commercial Banks,6021
V,0001403161,existing,research_input_data/inputs/us_fundamentals/V_facts.json,VISA INC.,625,2009-07-30,2026-04-29,"Services-Business Services, NEC",7389
MA,0001141391,existing,research_input_data/inputs/us_fundamentals/MA_facts.json,Mastercard Incorporated,606,2009-07-31,2026-04-30,"Services-Business Services, NEC",7389
PG,0000080424,existing,research_input_data/inputs/us_fundamentals/PG_facts.json,PROCTER & GAMBLE CO,448,2009-10-29,2026-04-24,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",2840
JNJ,0000200406,existing,research_input_data/inputs/us_fundamentals/JNJ_facts.json,Johnson & Johnson,609,2009-08-04,2026-04-22,Pharmaceutical Preparations,2834
HD,0000354950,existing,research_input_data/inputs/us_fundamentals/HD_facts.json,"THE HOME DEPOT, INC.",461,2009-09-03,2026-04-07,Retail-Lumber & Other Building Materials Dealers,5211
UNH,0000731766,existing,research_input_data/inputs/us_fundamentals/UNH_facts.json,UnitedHealth Group Incorporated,573,2009-08-06,2026-05-05,Hospital & Medical Service Plans,6324
BAC,0000070858,existing,research_input_data/inputs/us_fundamentals/BAC_facts.json,BANK OF AMERICA CORP /DE/,891,2009-08-07,2026-05-01,National Commercial Banks,6021
XOM,0000034088,existing,research_input_data/inputs/us_fundamentals/XOM_facts.json,Exxon Mobil Corporation,438,2009-08-05,2026-05-04,Petroleum Refining,2911
CVX,0000093410,existing,research_input_data/inputs/us_fundamentals/CVX_facts.json,Chevron Corp,622,2009-05-07,2026-05-07,Petroleum Refining,2911
KO,0000021344,existing,research_input_data/inputs/us_fundamentals/KO_facts.json,COCA COLA CO,724,2009-07-30,2026-04-30,Beverages,2080
PEP,0000077476,existing,research_input_data/inputs/us_fundamentals/PEP_facts.json,"PepsiCo, Inc.",611,2009-10-08,2026-04-16,Beverages,2080
ABBV,0001551152,existing,research_input_data/inputs/us_fundamentals/ABBV_facts.json,AbbVie Inc.,453,2013-05-08,2026-05-08,Pharmaceutical Preparations,2834
MRK,0000310158,existing,research_input_data/inputs/us_fundamentals/MRK_facts.json,"Merck & Co., Inc.",774,2009-07-24,2026-05-04,Pharmaceutical Preparations,2834
PFE,0000078003,existing,research_input_data/inputs/us_fundamentals/PFE_facts.json,Pfizer Inc.,666,2009-08-06,2026-05-05,Pharmaceutical Preparations,2834
COST,0000909832,existing,research_input_data/inputs/us_fundamentals/COST_facts.json,COSTCO WHOLESALE CORP /NEW,458,2009-12-18,2026-03-11,Retail-Variety Stores,5331
AVGO,0001730168,existing,research_input_data/inputs/us_fundamentals/AVGO_facts.json,Broadcom Inc.,432,2018-06-14,2026-03-11,Semiconductors & Related Devices,3674
WMT,0000104169,existing,research_input_data/inputs/us_fundamentals/WMT_facts.json,Walmart Inc.,478,2009-09-09,2026-04-23,Retail-Variety Stores,5331
LLY,0000059478,existing,research_input_data/inputs/us_fundamentals/LLY_facts.json,ELI LILLY & Co,548,2009-07-31,2026-04-30,Pharmaceutical Preparations,2834
ORCL,0001341439,existing,research_input_data/inputs/us_fundamentals/ORCL_facts.json,Oracle Corporation,511,2009-09-21,2026-03-11,Services-Prepackaged Software,7372
ADBE,0000796343,existing,research_input_data/inputs/us_fundamentals/ADBE_facts.json,ADOBE INC.,558,2009-06-26,2026-03-25,Services-Prepackaged Software,7372
CRM,0001108524,existing,research_input_data/inputs/us_fundamentals/CRM_facts.json,"Salesforce, Inc.",686,2009-08-25,2026-04-16,Services-Prepackaged Software,7372
NFLX,0001065280,existing,research_input_data/inputs/us_fundamentals/NFLX_facts.json,"Netflix, Inc.",490,2009-07-31,2026-04-17,Services-Video Tape Rental,7841
CSCO,0000858877,existing,research_input_data/inputs/us_fundamentals/CSCO_facts.json,"CISCO SYSTEMS, INC.",768,2009-11-18,2026-05-19,Computer Communications Equipment,3576
INTC,0000050863,existing,research_input_data/inputs/us_fundamentals/INTC_facts.json,INTEL CORP,672,2009-08-03,2026-04-24,Semiconductors & Related Devices,3674
AMD,0000002488,existing,research_input_data/inputs/us_fundamentals/AMD_facts.json,ADVANCED MICRO DEVICES INC,776,2010-08-04,2026-05-06,Semiconductors & Related Devices,3674
QCOM,0000804328,existing,research_input_data/inputs/us_fundamentals/QCOM_facts.json,QUALCOMM INC/DE,685,2009-07-22,2026-04-29,Radio & Tv Broadcasting & Communications Equipment,3663
TXN,0000097476,existing,research_input_data/inputs/us_fundamentals/TXN_facts.json,TEXAS INSTRUMENTS INCORPORATED,482,2009-07-29,2026-04-24,Semiconductors & Related Devices,3674
IBM,0000051143,existing,research_input_data/inputs/us_fundamentals/IBM_facts.json,INTERNATIONAL BUSINESS MACHINES CORP,777,2009-07-28,2026-04-23,Computer & office Equipment,3570
GE,0000040545,existing,research_input_data/inputs/us_fundamentals/GE_facts.json,GENERAL ELECTRIC COMPANY,941,2009-08-03,2026-04-21,Electronic & Other Electrical Equipment (No Computer Equip),3600
BA,0000012927,existing,research_input_data/inputs/us_fundamentals/BA_facts.json,THE BOEING COMPANY,742,2009-07-22,2026-04-22,Aircraft,3721
CAT,0000018230,existing,research_input_data/inputs/us_fundamentals/CAT_facts.json,CATERPILLAR INC,702,2009-08-12,2026-05-06,Construction Machinery & Equip,3531
DE,0000315189,existing,research_input_data/inputs/us_fundamentals/DE_facts.json,DEERE & CO,662,2009-08-28,2026-02-26,Farm Machinery & Equipment,3523
RTX,0000101829,existing,research_input_data/inputs/us_fundamentals/RTX_facts.json,RTX CORPORATION,735,2009-07-24,2026-04-21,Aircraft Engines & Engine Parts,3724
