종목코드,종목명,appearing_panels,top100_appearance_count,best_mcap_rank,has_price_data,has_foreign_flow_data
000660,SK하이닉스,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5743,1,True,True
005380,현대차,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5743,2,True,True
005490,POSCO홀딩스,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5743,2,True,True
051910,LG화학,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5743,3,True,True
105560,KB금융,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5743,3,True,True
012330,현대모비스,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5741,3,True,True
066570,LG전자,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5740,7,True,True
005930,삼성전자,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5737,1,True,True
055550,신한지주,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5736,4,True,True
006400,삼성SDI,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5736,5,True,True
000270,기아,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5735,3,True,True
086790,하나금융지주,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5725,14,True,True
035420,NAVER,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5716,3,True,True
096770,SK이노베이션,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5712,8,True,True
009150,삼성전기,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5709,9,True,True
015760,한국전력,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5574,2,True,True
017670,SK텔레콤,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5514,5,True,True
033780,KT&G,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5306,10,True,True
036570,NC,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5296,9,True,True
090430,아모레퍼시픽,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5185,4,True,True
009830,한화솔루션,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5154,27,True,True
051900,LG생활건강,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5120,6,True,True
009540,HD한국조선해양,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5117,3,True,True
034730,SK,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5116,6,True,True
010140,삼성중공업,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5116,22,True,True
011070,LG이노텍,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,5007,32,True,True
034220,LG디스플레이,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,4969,9,True,True
000720,현대건설,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,4939,25,True,True
010950,S-Oil,dynamic_top100_2017_2024_panel.csv;dynamic_top100_2018_2024_panel.csv;dynamic_top100_2025_2026_krx_panel.csv;kiwoom_dynamic_top100_2010_2016_panel.csv,4808,12,True,True
