signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold3,008770,2022-04-06,2022-04-07,2022-04-12,3,84700.0,82400.0,0.0,-0.02715466351829987,-0.03315466351829987,0.0
r1d_lt_m3_hold3,035720,2022-06-13,2022-06-14,2022-06-16,3,74900.0,72300.0,0.0,-0.03471295060080104,-0.04071295060080104,0.0
r1d_lt_m3_hold3,009150,2020-05-22,2020-05-25,2020-05-27,3,120500.0,121000.0,0.0,0.004149377593360981,-0.0027634854771784348,0.0009128630705394159
r1d_lt_m3_hold3,383220,2022-10-18,2022-10-19,2022-10-21,3,139500.0,136000.0,0.0,-0.02508960573476704,-0.031089605734767038,0.0
r1d_lt_m3_hold3,005490,2018-04-19,2018-04-20,2018-04-24,3,354500.0,354000.0,0.0,-0.0014104372355430161,-0.007410437235543016,0.0
r1d_lt_m3_hold3,298020,2021-02-04,2021-02-05,2021-02-09,3,455500.0,435000.0,0.0,-0.04500548847420416,-0.05100548847420416,0.0
r1d_lt_m3_hold3,003550,2019-12-20,2019-12-23,2019-12-26,3,74500.0,74900.0,0.0,0.005369127516778427,-0.0018120805369128271,0.001181208053691254
r1d_lt_m3_hold3,069620,2020-06-10,2020-06-11,2020-06-15,3,145500.0,137000.0,0.0,-0.05841924398625431,-0.06441924398625432,0.0
r1d_lt_m3_hold3,259960,2025-09-02,2025-09-03,2025-09-05,3,327000.0,326000.0,0.0,-0.003058103975535187,-0.009058103975535187,0.0
r1d_lt_m3_hold3,047040,2026-03-25,2026-03-26,2026-03-30,3,16400.0,17340.0,0.0,0.05731707317073176,0.03870731707317077,0.012609756097560987
r1d_lt_m3_hold3,006400,2022-03-15,2022-03-16,2022-03-18,3,492500.0,504000.0,0.0,0.023350253807106647,0.012213197969543187,0.005137055837563462
r1d_lt_m3_hold3,015760,2023-05-16,2023-05-17,2023-05-19,3,18650.0,18370.0,0.0,-0.01501340482573732,-0.021013404825737318,0.0
r1d_lt_m3_hold3,069620,2018-01-03,2018-01-04,2018-01-11,3,169000.0,179000.0,0.0,0.059171597633136175,0.04015384615384622,0.013017751479289958
r1d_lt_m3_hold3,128820,2025-12-04,2025-12-05,2025-12-11,3,5600.0,7720.0,0.0,0.37857142857142856,0.28928571428571426,0.08328571428571428
r1d_lt_m3_hold3,071050,2025-10-28,2025-10-29,2025-10-31,3,177500.0,182300.0,0.0,0.02704225352112677,0.015092957746478881,0.0059492957746478895
r1d_lt_m3_hold3,021050,2021-02-22,2021-03-03,2021-05-11,3,2405.0,3000.0,0.0,0.24740124740124747,0.18697297297297302,0.05442827442827444
r1d_lt_m3_hold3,042660,2018-08-28,2018-09-03,2018-09-05,3,28250.0,29250.0,0.0,0.03539823008849563,0.021610619469026593,0.007787610619469039
r1d_lt_m3_hold3,000660,2018-11-26,2018-11-27,2018-11-29,3,71100.0,71500.0,0.0,0.005625879043600568,-0.0016118143459915573,0.001237693389592125
r1d_lt_m3_hold3,000990,2026-04-10,2026-04-15,2026-04-17,3,96500.0,106900.0,0.0,0.1077720207253885,0.07806217616580302,0.02370984455958547
r1d_lt_m3_hold3,034730,2020-06-25,2020-06-26,2020-06-30,3,291000.0,291000.0,0.0,0.0,-0.006,0.0
r1d_lt_m3_hold3,002140,2024-10-15,2024-10-16,2024-10-22,3,3765.0,3135.0,0.0,-0.16733067729083662,-0.17333067729083662,0.0
r1d_lt_m3_hold3,033780,2019-01-02,2019-01-03,2019-01-07,3,97200.0,100000.0,0.0,0.028806584362139898,0.01646913580246912,0.0063374485596707775
