date,quarter,groups_present,groups_with_n_ge_3,total_n_stocks,total_market_cap,total_traded_value,hard_pass_ge_8_non_thin_groups
2010-03-31,Q1-2010,12,11,100,721968209441770.0,4130944968014.0,True
2010-06-30,Q2-2010,12,10,100,747612002424380.0,4603145767973.0,True
2010-09-30,Q3-2010,12,10,100,824562204055530.0,5199135607692.0,True
2010-12-30,Q4-2010,12,10,100,927555489860200.0,4531697621492.0,True
2011-03-31,Q1-2011,12,10,100,946645711604510.0,7275580615676.0,True
2011-06-30,Q2-2011,12,10,100,946556284495985.0,5529684618945.0,True
2011-09-30,Q3-2011,12,10,100,794125496584510.0,5763146879219.0,True
2011-12-29,Q4-2011,12,11,100,799686303335995.0,3016640849939.0,True
2012-03-30,Q1-2012,12,11,100,900416280898978.0,4537173721983.0,True
2012-06-29,Q2-2012,12,11,100,844703301254335.0,3646701731931.0,True
2012-09-28,Q3-2012,12,11,100,883268013863025.0,4190719677519.0,True
2012-12-28,Q4-2012,12,11,100,885646505384626.0,2624079187433.0,True
2013-03-29,Q1-2013,12,11,100,886748729186875.0,2653105939176.0,True
2013-06-28,Q2-2013,12,11,100,841023547962715.0,3654606456664.0,True
2013-09-30,Q3-2013,12,11,100,899513988929065.0,3329432567691.0,True
2013-12-30,Q4-2013,12,10,100,924999768994380.0,2689540107810.0,True
2014-03-31,Q1-2014,12,11,100,896692502027880.0,3650234705684.0,True
2014-06-30,Q2-2014,12,11,100,893291021683431.0,2335102290649.0,True
2014-09-30,Q3-2014,12,10,100,903576198747390.0,3704834860123.0,True
2014-12-30,Q4-2014,12,10,100,905225492939960.0,3005469803940.0,True
2015-03-31,Q1-2015,12,11,100,870549948031988.0,3754755927509.0,True
2015-06-30,Q2-2015,12,11,100,871934133682122.0,3848453001211.0,True
2015-09-30,Q3-2015,12,10,100,884350821117292.0,4364121047423.0,True
2015-12-30,Q4-2015,12,11,100,891276830298129.0,2750181421435.0,True
2016-03-31,Q1-2016,12,11,100,933614214248585.0,3819395213893.0,True
2016-06-30,Q2-2016,12,10,100,874599449488740.0,4170747905075.0,True
2016-09-30,Q3-2016,12,10,100,930639068506335.0,4498162597501.0,True
2016-12-29,Q4-2016,12,11,100,971503541700962.0,2294513636171.0,True
2017-03-31,Q1-2017,12,11,100,1024471382798905.0,3512020274709.0,True
2017-06-30,Q2-2017,12,10,100,1169081196736205.0,3982781553994.0,True
2017-09-29,Q3-2017,12,10,100,1180154380419460.0,3821901407106.0,True
2017-12-28,Q4-2017,12,11,100,1182721384149995.0,3336239755997.0,True
2018-03-30,Q1-2018,12,9,100,1180561008940890.0,5269091314258.0,True
2018-06-29,Q2-2018,12,10,100,1115199149134520.0,4844807074971.0,True
2018-09-28,Q3-2018,12,11,100,1160529958032100.0,5849403913924.0,True
2018-12-28,Q4-2018,12,11,100,978888839382450.0,3255423258679.0,True
2019-03-29,Q1-2019,12,11,100,1044289842048745.0,4128155845842.0,True
2019-06-28,Q2-2019,12,10,100,985020533724720.0,3164494770642.0,True
2019-09-30,Q3-2019,12,11,100,1014105565273435.0,2857863827089.0,True
2019-12-30,Q4-2019,12,10,100,1074294162285032.0,3079499759931.0,True
2020-03-31,Q1-2020,12,11,100,883479796078750.0,11864481465266.0,True
2020-06-30,Q2-2020,12,10,99,1011617597030083.0,8980502476554.0,True
2020-09-29,Q3-2020,12,9,100,1155713085013020.0,7480365237515.0,True
2020-12-30,Q4-2020,12,10,100,1471389606111810.0,14405555212140.0,True
2021-03-31,Q1-2021,12,9,100,1551759827698905.0,11092980644493.0,True
2021-06-30,Q2-2021,12,10,100,1635183509654619.0,12610447350077.0,True
2021-09-30,Q3-2021,12,8,100,1552113782530530.0,11878718457169.0,True
2021-12-30,Q4-2021,12,10,100,1625588607133435.0,6977743723578.0,True
2022-03-31,Q1-2022,12,11,100,1554313100642243.0,7463176696377.0,True
2022-06-30,Q2-2022,12,9,100,1319196261313225.0,7253281747362.0,True
2022-09-30,Q3-2022,12,11,100,1265102136405810.0,6384927722447.0,True
2022-12-29,Q4-2022,12,10,100,1278322403062630.0,4614492835294.0,True
2023-03-31,Q1-2023,12,9,100,1427628866704821.0,10889448168164.0,True
2023-06-30,Q2-2023,12,10,100,1467791427234680.0,6509725564558.0,True
2023-09-27,Q3-2023,12,10,100,1444330463445035.0,5565136073497.0,True
2023-12-28,Q4-2023,12,10,100,1618306163471080.0,7915502630867.0,True
2024-03-29,Q1-2024,12,8,100,1678421092411887.0,9474515567178.0,True
2024-06-28,Q2-2024,11,9,100,1693242416964165.0,9149318457108.0,True
2024-09-30,Q3-2024,12,9,100,1593262339025125.0,9307823760557.0,True
2024-12-30,Q4-2024,12,9,100,1472902287919230.0,4324950493374.0,True
2025-03-31,Q1-2025,12,10,100,1552626387356343.0,6865837882859.0,True
2025-06-30,Q2-2025,12,11,100,1930543934242705.0,11346152480211.0,True
2025-09-30,Q3-2025,12,8,100,2179373087881291.0,9548871751265.0,True
2025-12-30,Q4-2025,12,10,99,2739017944833462.0,10864767453273.0,True
2026-03-31,Q1-2026,12,10,100,3356845863221814.0,26171659938260.0,True
2026-05-06,Q2-2026,12,9,98,5162429733113150.0,52814025000000.0,True
