year,rows,foreign_flow_na,institution_flow_na,foreign_flow_zero,institution_flow_zero
2018,127606,0,0,1913,6030
2019,131993,0,0,2244,2403
2020,139751,0,0,1560,2339
2021,150338,0,0,1443,2537
2022,144608,0,0,752,2099
2023,140703,0,0,1548,3398
2024,134209,0,0,1151,3283
