ending_year,start_year,end_year,sharpe
2017,2015,2017,0.5757220961301395
2018,2016,2018,0.25592266085670196
2019,2017,2019,0.01987159536123494
2020,2018,2020,0.4562287123679039
2021,2019,2021,0.1543226063126881
2022,2020,2022,0.025677266927844646
2023,2021,2023,-0.5300711621003545
2024,2022,2024,-0.22555936679576752
2025,2023,2025,0.8572480803249933
2026,2024,2026,1.5394580753924152
