rcept_no,rcept_dt,event_category,source_period,body_format,residual_class,reason,manual_review_required,executable_or_safe
20150323600022,20150323,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150128900203,20150128,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150122900284,20150122,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150526800147,20150526,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150514901020,20150514,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150421900128,20150421,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150925900143,20150925,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20150911800465,20150911,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20151231900042,20151231,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20151230900233,20151230,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20151127900167,20151127,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20160224900085,20160224,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20160429600510,20160429,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20160429900427,20160429,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20160429900298,20160429,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20161125900030,20161125,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20161115900075,20161115,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20161017900147,20161017,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170330902219,20170330,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170327900337,20170327,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170223600535,20170223,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170124900649,20170124,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170124900643,20170124,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20170421900722,20170421,suspension_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20171110900736,20171110,resumption_related,pre_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190322600250,2019-03-22,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190304900009,2019-03-04,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190117900312,2019-01-17,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20200429901359,2020-04-29,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20180402900901,2018-04-02,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20180321900419,2018-03-21,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20181008900702,2018-10-08,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20181008900701,2018-10-08,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20200320902492,2020-03-20,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190424600679,2019-04-24,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190415900808,2019-04-15,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190411900687,2019-04-11,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20180724800459,2018-07-24,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20191230800862,2019-12-30,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20191004900529,2019-10-04,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20190828900580,2019-08-28,resumption_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
20241129900819,2024-11-29,suspension_related,post_2018,zip_unparseable,zip_unparseable,cached ZIP could not be opened/decoded,True,False
