signal_date,n_sectors,rank_ic,rank_ic_std,rank_ic_t_stat,n_quarters
2010-03-31 00:00:00,11,0.5,,,
2010-06-30 00:00:00,10,0.5151515151515151,,,
2010-09-30 00:00:00,10,0.13939393939393938,,,
2010-12-30 00:00:00,10,0.35757575757575755,,,
2011-03-31 00:00:00,10,-0.41818181818181815,,,
2011-06-30 00:00:00,10,0.6121212121212121,,,
2011-09-30 00:00:00,10,0.309090909090909,,,
2011-12-29 00:00:00,11,0.22727272727272727,,,
2012-03-30 00:00:00,11,0.20909090909090913,,,
2012-06-29 00:00:00,11,-0.20000000000000004,,,
2012-09-28 00:00:00,11,0.16363636363636366,,,
2012-12-28 00:00:00,11,0.07272727272727274,,,
2013-03-29 00:00:00,11,0.5090909090909091,,,
2013-06-28 00:00:00,11,0.5545454545454546,,,
2013-09-30 00:00:00,11,-0.19090909090909092,,,
2013-12-30 00:00:00,10,-0.5515151515151515,,,
2014-03-31 00:00:00,11,-0.3727272727272728,,,
2014-06-30 00:00:00,11,0.07272727272727274,,,
2014-09-30 00:00:00,10,-0.17575757575757575,,,
2014-12-30 00:00:00,10,0.406060606060606,,,
2015-03-31 00:00:00,11,0.4272727272727273,,,
2015-06-30 00:00:00,11,-0.045454545454545456,,,
2015-09-30 00:00:00,10,0.2121212121212121,,,
2015-12-30 00:00:00,11,-0.3272727272727273,,,
2017-03-31 00:00:00,11,-0.15454545454545454,,,
2017-06-30 00:00:00,10,0.309090909090909,,,
2017-09-29 00:00:00,10,0.11515151515151514,,,
2017-12-28 00:00:00,11,0.17272727272727276,,,
2018-03-30 00:00:00,9,0.2333333333333333,,,
2018-06-29 00:00:00,10,-0.49090909090909085,,,
2018-09-28 00:00:00,11,0.19090909090909092,,,
2018-12-28 00:00:00,11,-0.18181818181818182,,,
2019-03-29 00:00:00,11,-0.4000000000000001,,,
2019-06-28 00:00:00,10,-0.04242424242424241,,,
2019-09-30 00:00:00,11,0.10000000000000002,,,
2019-12-30 00:00:00,10,0.5393939393939393,,,
2020-03-31 00:00:00,11,0.6727272727272727,,,
2020-06-30 00:00:00,10,0.006060606060606061,,,
2020-09-29 00:00:00,9,0.45,,,
2020-12-30 00:00:00,10,-0.24848484848484845,,,
2021-03-31 00:00:00,9,0.39999999999999997,,,
2021-06-30 00:00:00,10,0.2727272727272727,,,
2021-09-30 00:00:00,8,-0.09523809523809526,,,
2021-12-30 00:00:00,10,0.1515151515151515,,,
2022-03-31 00:00:00,11,0.29090909090909095,,,
2022-06-30 00:00:00,9,0.16666666666666669,,,
2022-09-30 00:00:00,11,-0.05454545454545456,,,
2022-12-29 00:00:00,10,-0.6242424242424242,,,
2023-03-31 00:00:00,9,0.11666666666666665,,,
2023-06-30 00:00:00,10,-0.34545454545454546,,,
2023-09-27 00:00:00,10,-0.2121212121212121,,,
2023-12-28 00:00:00,10,0.6121212121212121,,,
2024-03-29 00:00:00,8,0.4047619047619048,,,
2024-06-28 00:00:00,9,-0.7833333333333333,,,
2024-09-30 00:00:00,9,0.03333333333333333,,,
2024-12-30 00:00:00,9,0.41666666666666663,,,
2025-03-31 00:00:00,10,-0.38181818181818183,,,
2025-06-30 00:00:00,11,-0.4090909090909091,,,
2025-09-30 00:00:00,8,0.14285714285714288,,,
2025-12-30 00:00:00,10,0.0303030303030303,,,
2026-03-31 00:00:00,10,-0.10303030303030303,,,
ALL,620,0.07060535093321978,0.34359745970148364,1.6049170436898728,61.0
