period,start,end,v1_net_total_return,v1_cost_0_total_return,v1_annualized_return,v1_cost_0_annualized_return,v1_max_drawdown,v1_cost_0_max_drawdown,v1_trade_count,v1_cost_0_trade_count
2010-2017,2010-01-04,2017-12-31,0.016707588845408905,0.023394422420569105,0.002416514625939392,0.0033741720962936483,-0.10968430424481457,-0.1066889965916068,10,10
2018-2026,2018-01-01,2026-05-04,3.00440665752346,3.2778668807794062,0.18644935056757728,0.19614680510396254,-0.43959378731031074,-0.43395284893983976,99,99
