signal_date,mode,n_stocks,rank_ic,rank_ic_mean_quarterly,rank_ic_std_quarterly,rank_ic_t_stat,n_quarters
2017-03-31 00:00:00,within_sector,43,-0.004716117216117248,,,,
2017-06-30 00:00:00,within_sector,34,-0.006547619047619052,,,,
2017-12-28 00:00:00,within_sector,34,-0.07820378151260504,,,,
2019-06-28 00:00:00,within_sector,23,0.3178571428571429,,,,
2019-09-30 00:00:00,within_sector,33,0.21437728937728945,,,,
2019-12-30 00:00:00,within_sector,37,-0.18135614385614382,,,,
2020-03-31 00:00:00,within_sector,29,-0.14862637362637363,,,,
2020-06-30 00:00:00,within_sector,26,-0.17229437229437233,,,,
2020-09-29 00:00:00,within_sector,35,-0.3081585081585082,,,,
2020-12-30 00:00:00,within_sector,26,-0.11043956043956044,,,,
2021-03-31 00:00:00,within_sector,32,0.011344211344211347,,,,
2021-06-30 00:00:00,within_sector,47,-0.02257607588489941,,,,
2021-09-30 00:00:00,within_sector,56,-0.15115384615384614,,,,
2021-12-30 00:00:00,within_sector,36,-0.2488095238095238,,,,
2023-09-27 00:00:00,within_sector,30,0.1844239094239094,,,,
2023-12-28 00:00:00,within_sector,33,-0.05239343989343994,,,,
2024-03-29 00:00:00,within_sector,44,0.013304709995886468,,,,
2024-09-30 00:00:00,within_sector,57,0.12873387577334938,,,,
2025-06-30 00:00:00,within_sector,39,-0.27887507229612496,,,,
2025-09-30 00:00:00,within_sector,54,-0.10273718799260595,,,,
2025-12-30 00:00:00,within_sector,38,-0.04455691367456074,,,,
2026-03-31 00:00:00,within_sector,47,-0.03940022825471741,,,,
ALL,within_sector,833,-0.03485374878852033,-0.04912743751541951,0.15776127604542475,-1.460612597325319,22.0
