carrier,baseline_cumulative_net_total_return,vt_cumulative_net_total_return,baseline_sharpe,vt_sharpe,baseline_max_drawdown,vt_max_drawdown,return_delta_pp,mdd_improvement_pp,vol_scalar_lt_1_share,mdd_period_min_vol_scalar,mdd_period_mean_vol_scalar,mdd_period_scalar_lt_1_share,mdd_peak_active_vol_scalar,mdd_trough_active_vol_scalar,mdd_peak_date,mdd_trough_date
D013,2.5457702903350135,1.154913916480325,0.5333654677635088,0.3777463856360173,-0.3392346174957135,-0.3392346174957134,-1.3908563738546884,1.1102230246251565e-16,0.21311475409836064,,,,1.0,1.0,2020-02-17,2020-03-19
E014,3.621084739339225,2.06720860701861,0.6311872415922518,0.54573357470629,-0.35641869371448887,-0.33199697893817803,-1.5538761323206152,0.024421714776310832,0.26229508196721313,0.8876422755474003,0.9485471080761214,0.6666666666666666,0.6308723629595502,0.9579990486809639,2021-05-28,2022-01-27
