sample_id,category,period,rcept_no,rcept_dt,stock_code,corp_code,corp_name,report_nm,is_correction
EDL_0027,suspension_related,post_2018,20250408900884,2025-04-08,065650,391197,하이퍼코퍼레이션,주권매매거래정지              (자본감소),False
EDL_0028,suspension_related,post_2018,20240710900573,2024-07-10,323230,1384477,엠에프엠코리아,주권매매거래정지              (상장적격성 실질심사 대상 (사유발생)),False
EDL_0029,suspension_related,post_2018,20200814903246,2020-08-14,050320,245898,에스에이치엔엘,주권매매거래정지기간변경(상장폐지 사유 발생),False
EDL_0030,suspension_related,post_2018,20190325600808,2019-03-25,242850,1113781,영현무역,주권매매거래정지기간변경(지정자문인 선임계약 해지),False
EDL_0031,resumption_related,pre_2018,20150522900333,20150522,031860,00180865,디에이치엑스컴퍼니,주권매매거래정지해제(감자 주권 및 액면분할 변경상장),False
EDL_0032,resumption_related,pre_2018,20120224900788,20120224,079650,00130408,서산,생산재개,False
EDL_0033,resumption_related,pre_2018,20150420800452,20150420,073240,00481454,금호타이어,생산재개,False
EDL_0034,resumption_related,pre_2018,20140207800424,20140207,101990,00679730,파브코,매매거래정지및정지해제(중요내용공시),False
EDL_0035,resumption_related,pre_2018,20100317900753,20100317,054020,00349787,지케이파워,주권매매거래정지해제(풍문 등 조회결과 공시),False
EDL_0036,resumption_related,pre_2018,20140305800573,20140305,003070,00152880,코오롱글로벌,매매거래정지및정지해제(중요내용공시),False
EDL_0037,resumption_related,pre_2018,20120806900327,20120806,051160,00389110,지어소프트,주권매매거래정지해제(상장폐지 실질심사위원회 심의결과 상장폐지 기준 미해당),False
EDL_0038,resumption_related,pre_2018,20110928900521,20110928,058370,00372989,비엔씨컴퍼니,주권매매거래정지해제,False
EDL_0039,resumption_related,pre_2018,20161222800135,20161222,002780,00150828,진흥기업,매매거래정지및정지해제(중요내용공시),False
EDL_0040,resumption_related,pre_2018,20121112800529,20121112,006490,00122825,인스코비,매매거래정지및정지해제(불성실공시),False
EDL_0041,resumption_related,pre_2018,20130823900527,20130823,131030,00831428,옵투스제약,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
EDL_0042,resumption_related,pre_2018,20130204900418,20130204,037440,00236863,희림,기타경영사항(자율공시)(단일판매공급계약 진행사항 : 부광초교 서측 주택재개발정비사업 건축설계 용역),False
EDL_0043,resumption_related,pre_2018,20130215900228,20130215,074000,00447982,에스지피엠,주권매매거래정지해제(회생절차개시결정),False
EDL_0044,resumption_related,pre_2018,20100713900337,20100713,033850,00244589,지노시스템,주권매매거래정지해제,False
EDL_0045,resumption_related,pre_2018,20121015800403,20121015,071320,00159698,지역난방공사,생산재개,False
EDL_0046,resumption_related,post_2018,20240201800007,2024-02-01,006360,120030,GS건설,매매거래정지및정지해제(중요내용공시),False
EDL_0047,resumption_related,post_2018,20201221800569,2020-12-21,005190,116356,동성화학,매매거래정지및정지해제(중요내용공시),False
EDL_0048,resumption_related,post_2018,20230315902349,2023-03-15,021040,166175,대호특수강,주권매매거래정지해제(우회상장 미해당),False
EDL_0049,resumption_related,post_2018,20241010900681,2024-10-10,042940,232007,상지건설,주권매매거래정지해제              (감자 주권 변경상장),False
EDL_0050,resumption_related,post_2018,20210712800333,2021-07-12,014820,132637,동원시스템즈,매매거래정지및정지해제(중요내용공시),False
EDL_0051,resumption_related,post_2018,20180726900602,2018-07-26,226340,1098792,본느,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
EDL_0052,resumption_related,post_2018,20241212800198,2024-12-12,006040,118026,동원산업,매매거래정지및정지해제(중요내용공시)              ,False
EDL_0053,resumption_related,post_2018,20200327803735,2020-03-27,023350,159500,한국종합기술,매매거래정지및정지해제(중요내용공시),False
EDL_0054,resumption_related,post_2018,20250828900164,2025-08-28,096040,480756,이트론,기타시장안내              (상장폐지결정등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),False
EDL_0055,resumption_related,post_2018,20210914900509,2021-09-14,369370,1508855,블리츠웨이엔터테인먼트,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
EDL_0056,resumption_related,post_2018,20190509600608,2019-05-09,242850,1113781,영현무역,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
EDL_0057,resumption_related,post_2018,20240923900616,2024-09-23,111870,125965,케이에이치미래물산,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),False
EDL_0058,resumption_related,post_2018,20191004900529,2019-10-04,035480,255141,글로앤웰,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),True
EDL_0059,resumption_related,post_2018,20240412900776,2024-04-12,079970,596260,투비소프트,주권매매거래정지해제              (감자결정철회),False
EDL_0060,resumption_related,post_2018,20250702800678,2025-07-02,011810,138297,STX,매매거래정지및정지해제(풍문등조회공시)              ,False
EDL_0061,delisting,pre_2018,20151218900639,20151218,111610,00609254,세왕,기타시장안내(상장폐지 관련 이의신청서 접수),False
EDL_0062,delisting,pre_2018,20120430900962,20120430,900150,00830377,성융광전투자유한공사,기타시장안내(상장폐지사유발생),False
EDL_0063,delisting,pre_2018,20170517600365,20170517,156170,00974459,비앤에스미디어,기타시장안내(상장폐지 관련),False
EDL_0064,delisting,pre_2018,20100316900660,20100316,008340,00133715,대주코레스,기타시장안내(상장폐지 관련),False
EDL_0065,delisting,pre_2018,20100405900174,20100405,030390,00268020,쏠라엔텍,기타시장안내(상장폐지 관련이의신청서 접수),False
EDL_0066,delisting,pre_2018,20110711900425,20110711,065500,00300405,오리엔트정공,기타시장안내(상장폐지실질심사 대상 결정),False
EDL_0067,delisting,pre_2018,20130328901438,20130328,066060,00371519,휴먼텍코리아,기타시장안내(상장폐지관련),False
EDL_0068,delisting,pre_2018,20120316901638,20120316,047730,00304401,텔라움,기타시장안내(상장폐지 관련 이의신청서 접수),False
EDL_0069,delisting,pre_2018,20170421900724,20170421,058370,00372989,비엔씨컴퍼니,기타경영사항(자율공시)(주권상장폐지결정 효력정지 가처분 신청),False
EDL_0070,delisting,pre_2018,20150422900500,20150422,065180,00389679,해피드림,기타경영사항(자율공시)(상장폐지금지가처분신청 기각),False
EDL_0071,delisting,pre_2018,20140402800695,20140402,001520,00117337,동양,기타시장안내(상장폐지기준 미해당),False
EDL_0072,delisting,pre_2018,20130329903538,20130329,026250,00127370,삼우이엠씨,기타시장안내(상장폐지 관련),False
EDL_0073,delisting,pre_2018,20110517900473,20110517,054940,00360577,엑사이엔씨,[기재정정]기타시장안내(상장폐지 실질심사위원회 심의 결과),True
EDL_0074,delisting,pre_2018,20150403900898,20150403,040670,00248123,와이즈파워,기타시장안내(상장폐지관련),False
EDL_0075,delisting,pre_2018,20130613900419,20130613,073930,00453752,제너시스템즈,[기재정정]기타시장안내(상장폐지 및 관리종목지정 관련),True
EDL_0076,delisting,post_2018,20210302900939,2021-03-02,065150,390860,대산F&B,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
EDL_0077,delisting,post_2018,20250321902355,2025-03-21,030350,230036,드래곤플라이,기타시장안내              (상장폐지 관련),False
EDL_0078,delisting,post_2018,20250407901338,2025-04-07,244460,1070149,올리패스,기타시장안내              (상장폐지 관련),False
EDL_0079,delisting,post_2018,20200917600318,2020-09-17,126340,563518,비나텍,상장폐지결정,False
EDL_0080,delisting,post_2018,20260409901206,2026-04-09,023440,148531,제이스코홀딩스,기타시장안내              (상장폐지 관련 이의신청서 접수 및 개선기간 부여),False
EDL_0081,delisting,post_2018,20220608800426,2022-06-08,030790,273615,비케이탑스,기타시장안내(상장폐지 이의신청),False
EDL_0082,delisting,post_2018,20230405800958,2023-04-05,003560,154426,아이에이치큐,투자유의안내(상장폐지기준 해당),False
EDL_0083,delisting,post_2018,20200317901595,2020-03-17,141020,812362,디에스앤엘,기타시장안내(상장폐지 관련),False
EDL_0084,delisting,post_2018,20250306900422,2025-03-06,066410,378220,버킷스튜디오,기타경영사항(자율공시)              (상장폐지효력정지 및 정리매매절차 중지에 대한 가처분 결정),False
EDL_0085,delisting,post_2018,20190228901854,2019-02-28,030270,100258,에스마크,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,True
EDL_0086,delisting,post_2018,20191230600523,2019-12-30,311840,1195828,대원모방,기타시장안내(지정자문인 선임계약 해지에 따른 상장폐지절차 안내),False
EDL_0087,delisting,post_2018,20240408900330,2024-04-08,006580,111227,대양제지공업,상장폐지승인을위한의안상정결정              ,False
EDL_0088,delisting,post_2018,20250410901236,2025-04-10,139050,656021,비에프랩스,기타시장안내              (개선기간 종료에 따른 상장폐지 여부 결정 안내),False
EDL_0089,delisting,post_2018,20250122900747,2025-01-22,044060,291860,조광아이엘아이,기타경영사항(자율공시)              (상장폐지결정등효력정지 가처분신청),False
EDL_0090,delisting,post_2018,20241227900934,2024-12-27,323230,1384477,엠에프엠코리아,기타시장안내              (코스닥시장위원회 개최 결과 및 상장폐지 결정),False
EDL_0091,managed,post_2018,20211015900471,2021-10-15,317320,1351822,한화에스비아이기업인수목적,기타시장안내(관리종목지정우려종목),False
EDL_0092,managed,pre_2018,20130802800366,20130802,008700,00138516,아남전자,투자유의안내(우선주 관리종목 지정 우려),False
EDL_0093,managed,post_2018,20200423900505,2020-04-23,276920,1243550,아이비케이에스제7호기업인수목적,기타시장안내(관리종목 지정우려 예고),False
EDL_0094,investment_alert,pre_2018,20170324903140,20170324,010280,00138303,아이티센엔텍,투자판단관련주요경영사항(최대주주 소유 지분의 현물배당에 따른 최대주주의 변경 예정),False
EDL_0095,managed,post_2018,20210513900715,2021-05-13,064510,127699,유네코,기타시장안내(관리종목지정우려종목)(자본잠식률 50%이상),False
EDL_0096,managed,post_2018,20260403901501,2026-04-03,026910,104120,광진실업,기타시장안내(관리종목지정우려종목)              ,False
EDL_0097,managed,pre_2018,20160216800093,20160216,007630,00167280,폴루스바이오팜,투자유의안내(관리종목 지정 우려 예고),False
EDL_0098,managed,pre_2018,20130524900480,20130524,128910,00828309,동부티에스블랙펄기업인수목적,기타시장안내(관리종목 지정우려 예고),False
EDL_0099,managed,post_2018,20250411900829,2025-04-11,439730,1675421,아이비케이에스제20호기업인수목적,기타시장안내(관리종목지정우려종목)              ,False
EDL_0100,managed,pre_2018,20110314900684,20110314,031950,00130860,에듀패스,기타시장안내(관리종목지정우려종목),False
EDL_0101,managed,pre_2018,20131129801113,20131129,006370,00108977,대구백화점,투자유의안내(1우선주 관리종목 지정 우려),False
EDL_0102,managed,post_2018,20220216900946,2022-02-16,051980,347716,중앙첨단소재,기타시장안내(관리종목지정우려종목)(최근 4사업연도 연속 영업손실),False
EDL_0103,managed,post_2018,20250226901037,2025-02-26,027040,130587,서울전자통신,기타시장안내(관리종목지정우려종목)              ,False
EDL_0104,managed,pre_2018,20171130800880,20171130,014280,00105299,금강공업,투자유의안내(1우선주 관리종목지정 우려예고),False
EDL_0105,managed,pre_2018,20131129801102,20131129,003960,00109718,사조대림,투자유의안내(1우선주 관리종목 지정 우려),False
EDL_0106,managed,post_2018,20260226901748,2026-02-26,294140,1011395,레몬,기타시장안내(관리종목지정우려종목)              ,False
EDL_0107,managed,post_2018,20211201800710,2021-12-01,004990,120562,롯데지주,투자유의안내(1우선주 관리종목지정 우려예고),False
EDL_0108,managed,pre_2018,20121218800479,20121218,001260,00107066,남광토건,투자유의안내(관리종목지정 사유 추가 우려 예고),False
EDL_0109,managed,pre_2018,20141128801163,20141128,004360,00133812,세방,투자유의안내(세방2우선주 관리종목 지정우려),False
EDL_0110,managed,post_2018,20190808900573,2019-08-08,257730,1179839,신한제3호기업인수목적,기타시장안내(관리종목 지정우려 예고),False
EDL_0111,liquidation,pre_2018,20110420900513,20110420,026540,00114826,제일창업투자,기타시장안내(정리매매 보류 관련),False
EDL_0112,liquidation,pre_2018,20110420900511,20110420,040180,00269773,대양글로벌,기타시장안내(정리매매 보류 관련),False
EDL_0113,liquidation,post_2018,20250210900015,2025-02-10,078940,501970,퀀타피아,기타경영사항(자율공시)              (주권 정리매매에 대한 강제집행정지 신청),False
