sample_id,bucket,category,in_scope_for_parser,negative_control,period,rcept_no,rcept_dt,stock_code,corp_name,report_nm,is_correction
MAN_0035,suspension_related_post,suspension_related,True,False,post_2018,20231114602338,2023-11-14,248020,젬,주권매매거래정지,False
MAN_0036,suspension_related_post,suspension_related,True,False,post_2018,20200615900487,2020-06-15,018700,졸스,주권매매거래정지(관리종목지정사유발생),False
MAN_0037,suspension_related_post,suspension_related,True,False,post_2018,20201216900556,2020-12-16,138690,엘아이에스,주권매매거래정지(단일판매공급계약),False
MAN_0038,suspension_related_post,suspension_related,True,False,post_2018,20231012900098,2023-10-12,264450,유비쿼스,주권매매거래정지(단일판매공급계약),False
MAN_0039,suspension_related_post,suspension_related,True,False,post_2018,20220415600741,2022-04-15,215050,비엔디생활건강,주권매매거래정지기간변경(상장폐지 사유 발생),False
MAN_0040,suspension_related_post,suspension_related,True,False,post_2018,20201006900686,2020-10-06,196490,디에이테크놀로지,"주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)",False
MAN_0041,resumption_related_pre,resumption_related,True,False,pre_2018,20130917800210,20130917,109070,주성코퍼레이션,매매거래정지및정지해제(중요내용공시),False
MAN_0042,resumption_related_pre,resumption_related,True,False,pre_2018,20130215900228,20130215,074000,에스지피엠,주권매매거래정지해제(회생절차개시결정),False
MAN_0043,resumption_related_pre,resumption_related,True,False,pre_2018,20140331800017,20140331,001300,제일모직,매매거래정지및정지해제(중요내용공시),False
MAN_0044,resumption_related_pre,resumption_related,True,False,pre_2018,20100121900059,20100121,018000,유니슨,기타경영사항(자율공시)(유체동산가압류 해제),False
MAN_0045,resumption_related_pre,resumption_related,True,False,pre_2018,20161021900531,20161021,219550,디와이디,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
MAN_0046,resumption_related_pre,resumption_related,True,False,pre_2018,20150408800128,20150408,010520,현대하이스코,매매거래정지및정지해제(중요내용공시),False
MAN_0047,resumption_related_pre,resumption_related,True,False,pre_2018,20140901800022,20140901,010140,삼성중공업,매매거래정지및정지해제(중요내용공시),False
MAN_0048,resumption_related_pre,resumption_related,True,False,pre_2018,20110520900219,20110520,041140,넥슨지티,주권매매거래정지해제,False
MAN_0049,resumption_related_pre,resumption_related,True,False,pre_2018,20140519900313,20140519,099830,씨그널엔터테인먼트그룹,[기재정정]기타주요경영사항(유형자산 취득 계약 해제),True
MAN_0050,resumption_related_pre,resumption_related,True,False,pre_2018,20171219900406,20171219,073070,에이팸,주권매매거래정지해제(액면분할 주권 변경상장),False
MAN_0051,resumption_related_pre,resumption_related,True,False,pre_2018,20110408800108,20110408,000080,하이트진로,매매거래정지및정지해제(중요내용공시),False
MAN_0052,resumption_related_pre,resumption_related,True,False,pre_2018,20111214900344,20111214,036090,위지트,주권매매거래정지(채권은행 등의 관리절차 해제),False
MAN_0053,resumption_related_pre,resumption_related,True,False,pre_2018,20170331905017,20170331,052270,우전,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
MAN_0054,resumption_related_pre,resumption_related,True,False,pre_2018,20161122600380,20161122,185280,이푸른,주권매매거래정지해제,False
MAN_0055,resumption_related_pre,resumption_related,True,False,pre_2018,20160704800128,20160704,008870,금비,생산재개(자율공시),False
MAN_0056,resumption_related_pre,resumption_related,True,False,pre_2018,20170331905115,20170331,067630,HLB생명과학,주권매매거래정지해제(우회상장 미해당),False
MAN_0057,resumption_related_pre,resumption_related,True,False,pre_2018,20130827800396,20130827,053000,우리금융지주,매매거래정지및정지해제(중요내용공시),False
MAN_0058,resumption_related_pre,resumption_related,True,False,pre_2018,20170228900717,20170228,215790,이노인스트루먼트,기타시장안내(저유동성종목 단일가매매 해제),False
MAN_0059,resumption_related_pre,resumption_related,True,False,pre_2018,20140530801121,20140530,138440,이코리아자기관리부동산투자회사,매매거래정지및정지해제(중요내용공시),False
MAN_0060,resumption_related_pre,resumption_related,True,False,pre_2018,20160816901177,20160816,043290,케이맥,최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,False
MAN_0061,resumption_related_post,resumption_related,True,False,post_2018,20191128800393,2019-11-28,011070,LG이노텍,매매거래정지및정지해제(중요내용공시),False
MAN_0062,resumption_related_post,resumption_related,True,False,post_2018,20200504800162,2020-05-04,002360,SH에너지화학,생산재개(자율공시),False
MAN_0063,resumption_related_post,resumption_related,True,False,post_2018,20240404900744,2024-04-04,208350,지란지교시큐리티,주권매매거래정지해제              (상장적격성 실질심사 대상 제외 결정),False
MAN_0064,resumption_related_post,resumption_related,True,False,post_2018,20190426901134,2019-04-26,065160,라임,주권매매거래정지해제(상장폐지금지 가처분 결정 취소에 따른 정리매매 재개),False
MAN_0065,resumption_related_post,resumption_related,True,False,post_2018,20201028900718,2020-10-28,127160,매직마이크로,주권매매거래정지해제(파산신청 사유 해소),False
MAN_0066,resumption_related_post,resumption_related,True,False,post_2018,20240105900723,2024-01-05,017000,신원종합개발,주권매매거래정지해제(풍문 등 조회결과 공시),False
MAN_0067,resumption_related_post,resumption_related,True,False,post_2018,20180919800447,2018-09-19,002000,생고뱅코리아홀딩스,매매거래정지및정지해제(중요내용공시),False
MAN_0068,resumption_related_post,resumption_related,True,False,post_2018,20210903900611,2021-09-03,141070,맥스로텍,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
MAN_0069,resumption_related_post,resumption_related,True,False,post_2018,20210701800304,2021-07-01,091090,세원이앤씨,매매거래정지및정지해제(중요내용공시),False
MAN_0070,resumption_related_post,resumption_related,True,False,post_2018,20200422900651,2020-04-22,058420,제이웨이,주권매매거래정지해제(파산신청 사유 해소),False
MAN_0071,resumption_related_post,resumption_related,True,False,post_2018,20191004900529,2019-10-04,035480,글로앤웰,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),True
MAN_0072,resumption_related_post,resumption_related,True,False,post_2018,20221005900286,2022-10-05,182690,테라셈,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
MAN_0073,resumption_related_post,resumption_related,True,False,post_2018,20200428900894,2020-04-28,197210,리드,주권매매거래정지해제(상장폐지결정등효력정지 가처분신청 기각결정에 따른 정리매매절차 재개),False
MAN_0074,resumption_related_post,resumption_related,True,False,post_2018,20230413900714,2023-04-13,367480,유안타제8호기업인수목적,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
MAN_0075,resumption_related_post,resumption_related,True,False,post_2018,20210528900666,2021-05-28,195440,퓨전,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
MAN_0076,resumption_related_post,resumption_related,True,False,post_2018,20250512900786,2025-05-12,027040,서울전자통신,주권매매거래정지해제              (감자 주권 변경상장),False
MAN_0077,resumption_related_post,resumption_related,True,False,post_2018,20210607900469,2021-06-07,033430,디에스티,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False
MAN_0078,resumption_related_post,resumption_related,True,False,post_2018,20200922900513,2020-09-22,317240,TS트릴리온,주권매매거래정지해제(상장예비심사결과 통지(승인)),False
