variant,stress_window,measurement_type,portfolio_series,weights,start_date,end_date,n_observations,total_return,cagr,gross_sharpe,annualized_volatility,daily_max_drawdown,mdd_peak_date,mdd_trough_date,mdd_recovery_date,registered_weights,proxy_excluded_sleeves
N004-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N004-A,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2002-07-30,2003-12-31,360,0.2798274908556475,0.18962092958967935,1.2883873831887804,0.14187627536882194,-0.11394245684063331,2002-08-22,2002-10-09,2002-11-05,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,H001;DBC
N004-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N004-A,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2008-01-02,2009-12-31,505,-0.03380148084392287,-0.017080796744930682,0.00022252447999962803,0.18587480387516356,-0.31265712298313175,2008-05-15,2009-03-09,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,H001;DBC
N004-A,covid_2020_02_2020_03,exact,N004-A,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,2020-02-03,2020-03-31,42,-0.09581265714645204,-0.47554457630802127,-1.7253776258085558,0.3205461754246809,-0.20189966129989567,2020-02-19,2020-03-23,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,
N004-A,rate_shock_2022,exact,N004-A,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,2022-01-03,2022-12-30,260,-0.16572451213235895,-0.16750224364979083,-1.1835935245830336,0.14007157609140858,-0.19156862512083406,2022-01-03,2022-10-14,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;DBC:0.0500,
N004-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N004-B,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2002-07-30,2003-12-31,360,0.2798274908556475,0.18962092958967935,1.2883873831887804,0.14187627536882194,-0.11394245684063331,2002-08-22,2002-10-09,2002-11-05,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,H001;UUP
N004-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N004-B,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2008-01-02,2009-12-31,505,-0.03380148084392287,-0.017080796744930682,0.00022252447999962803,0.18587480387516356,-0.31265712298313175,2008-05-15,2009-03-09,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,H001;UUP
N004-B,covid_2020_02_2020_03,exact,N004-B,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,2020-02-03,2020-03-31,42,-0.0851074298165464,-0.43445955179242846,-1.5821196322204512,0.30758607511509445,-0.18790721173289116,2020-02-17,2020-03-23,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,
N004-B,rate_shock_2022,exact,N004-B,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,2022-01-03,2022-12-30,260,-0.1705256677836281,-0.1723494070069559,-1.2687375876713904,0.13556310500993615,-0.19374338968960247,2022-01-03,2022-10-14,,SPY:0.2755;QQQ:0.1995;H001:0.1900;IEF:0.2850;UUP:0.0500,
N004-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,N004-C,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2002-07-30,2003-12-31,360,0.2798274908556486,0.18962092958968002,1.288387383188788,0.14187627536882214,-0.11394245684063309,2002-08-22,2002-10-09,2002-11-05,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,H001;DBC;UUP
N004-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,N004-C,SPY:0.3625;QQQ:0.2625;IEF:0.3750,2008-01-02,2009-12-31,505,-0.033801480843920984,-0.017080796744929683,0.00022252448000409885,0.18587480387516359,-0.3126571229831311,2008-05-15,2009-03-09,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,H001;DBC;UUP
N004-C,covid_2020_02_2020_03,exact,N004-C,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,2020-02-03,2020-03-31,42,-0.09051037703381992,-0.4555220359324672,-1.7152987042595864,0.30483756984005916,-0.1902045577218222,2020-02-19,2020-03-23,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,
N004-C,rate_shock_2022,exact,N004-C,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,2022-01-03,2022-12-30,260,-0.1524629983707072,-0.1541119489608772,-1.1686436567278746,0.12995524998489288,-0.1741055111800266,2022-01-03,2022-10-14,,SPY:0.2610;QQQ:0.1890;H001:0.1800;IEF:0.2700;DBC:0.0500;UUP:0.0500,
