variant,stress_window,measurement_type,total_return,baseline_total_return,delta_total_return,delta_return_pp,daily_max_drawdown,baseline_daily_max_drawdown,delta_daily_max_drawdown,delta_mdd_pp,proxy_excluded_sleeves
N004-A,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2798274908556475,0.2798274908556464,1.1102230246251565e-15,1.1102230246251565e-13,-0.11394245684063331,-0.1139424568406335,1.942890293094024e-16,1.942890293094024e-14,H001;DBC
N004-A,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.03380148084392287,-0.0338014808439223,-5.689893001203927e-16,-5.689893001203927e-14,-0.31265712298313175,-0.3126571229831321,3.3306690738754696e-16,3.3306690738754696e-14,H001;DBC
N004-A,covid_2020_02_2020_03,exact,-0.09581265714645204,-0.0903787945228757,-0.005433862623576341,-0.5433862623576341,-0.20189966129989567,-0.1997684591470635,-0.0021312021528321623,-0.21312021528321623,
N004-A,rate_shock_2022,exact,-0.16572451213235895,-0.1836134839585798,0.017888971826220845,1.7888971826220845,-0.19156862512083406,-0.210901177900133,0.019332552779298934,1.9332552779298933,
N004-B,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2798274908556475,0.2798274908556464,1.1102230246251565e-15,1.1102230246251565e-13,-0.11394245684063331,-0.1139424568406335,1.942890293094024e-16,1.942890293094024e-14,H001;UUP
N004-B,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.03380148084392287,-0.0338014808439223,-5.689893001203927e-16,-5.689893001203927e-14,-0.31265712298313175,-0.3126571229831321,3.3306690738754696e-16,3.3306690738754696e-14,H001;UUP
N004-B,covid_2020_02_2020_03,exact,-0.0851074298165464,-0.0903787945228757,0.005271364706329301,0.5271364706329301,-0.18790721173289116,-0.1997684591470635,0.011861247414172355,1.1861247414172356,
N004-B,rate_shock_2022,exact,-0.1705256677836281,-0.1836134839585798,0.013087816174951694,1.3087816174951694,-0.19374338968960247,-0.210901177900133,0.017157788210530517,1.7157788210530516,
N004-C,dot_com_proxy_2002_07_2003_12,proxy_rescaled_missing_sleeves,0.2798274908556486,0.2798274908556464,2.220446049250313e-15,2.220446049250313e-13,-0.11394245684063309,-0.1139424568406335,4.163336342344337e-16,4.163336342344337e-14,H001;DBC;UUP
N004-C,gfc_proxy_2008_2009,proxy_rescaled_missing_sleeves,-0.033801480843920984,-0.0338014808439223,1.3183898417423734e-15,1.3183898417423734e-13,-0.3126571229831311,-0.3126571229831321,9.992007221626409e-16,9.992007221626409e-14,H001;DBC;UUP
N004-C,covid_2020_02_2020_03,exact,-0.09051037703381992,-0.0903787945228757,-0.00013158251094422257,-0.013158251094422257,-0.1902045577218222,-0.1997684591470635,0.0095639014252413,0.95639014252413,
N004-C,rate_shock_2022,exact,-0.1524629983707072,-0.1836134839585798,0.03115048558787259,3.115048558787259,-0.1741055111800266,-0.210901177900133,0.036795666720106396,3.6795666720106395,
