chunk_bgn,chunk_end,page_no,status,message,total_count,rows_collected
20100101,20100331,1,000,정상,16175,100
20100101,20100331,2,000,정상,16175,100
20100101,20100331,3,000,정상,16175,100
20100101,20100331,4,000,정상,16175,100
20100101,20100331,5,000,정상,16175,100
20100101,20100331,6,000,정상,16175,100
20100101,20100331,7,000,정상,16175,100
20100101,20100331,8,000,정상,16175,100
20100101,20100331,9,000,정상,16175,100
20100101,20100331,10,000,정상,16175,100
20100101,20100331,11,000,정상,16175,100
20100101,20100331,12,000,정상,16175,100
20100101,20100331,13,000,정상,16175,100
20100101,20100331,14,000,정상,16175,100
20100101,20100331,15,000,정상,16175,100
20100101,20100331,16,000,정상,16175,100
20100101,20100331,17,000,정상,16175,100
20100101,20100331,18,000,정상,16175,100
20100101,20100331,19,000,정상,16175,100
20100101,20100331,20,000,정상,16175,100
20100101,20100331,21,000,정상,16175,100
20100101,20100331,22,000,정상,16175,100
20100101,20100331,23,000,정상,16175,100
20100101,20100331,24,000,정상,16175,100
20100101,20100331,25,000,정상,16175,100
20100101,20100331,26,000,정상,16175,100
20100101,20100331,27,000,정상,16175,100
20100101,20100331,28,000,정상,16175,100
20100101,20100331,29,000,정상,16175,100
20100101,20100331,30,000,정상,16175,100
20100101,20100331,31,000,정상,16175,100
20100101,20100331,32,000,정상,16175,100
20100101,20100331,33,000,정상,16175,100
20100101,20100331,34,000,정상,16175,100
20100101,20100331,35,000,정상,16175,100
20100101,20100331,36,000,정상,16175,100
20100101,20100331,37,000,정상,16175,100
20100101,20100331,38,000,정상,16175,100
20100101,20100331,39,000,정상,16175,100
20100101,20100331,40,000,정상,16175,100
20100101,20100331,41,000,정상,16175,100
20100101,20100331,42,000,정상,16175,100
20100101,20100331,43,000,정상,16175,100
20100101,20100331,44,000,정상,16175,100
20100101,20100331,45,000,정상,16175,100
20100101,20100331,46,000,정상,16175,100
20100101,20100331,47,000,정상,16175,100
20100101,20100331,48,000,정상,16175,100
20100101,20100331,49,000,정상,16175,100
20100101,20100331,50,000,정상,16175,100
20100101,20100331,51,000,정상,16175,100
20100101,20100331,52,000,정상,16175,100
20100101,20100331,53,000,정상,16175,100
20100101,20100331,54,000,정상,16175,100
20100101,20100331,55,000,정상,16175,100
20100101,20100331,56,000,정상,16175,100
20100101,20100331,57,000,정상,16175,100
20100101,20100331,58,000,정상,16175,100
20100101,20100331,59,000,정상,16175,100
20100101,20100331,60,000,정상,16175,100
20100101,20100331,61,000,정상,16175,100
20100101,20100331,62,000,정상,16175,100
20100101,20100331,63,000,정상,16175,100
20100101,20100331,64,000,정상,16175,100
20100101,20100331,65,000,정상,16175,100
20100101,20100331,66,000,정상,16175,100
20100101,20100331,67,000,정상,16175,100
20100101,20100331,68,000,정상,16175,100
20100101,20100331,69,000,정상,16175,100
20100101,20100331,70,000,정상,16175,100
20100101,20100331,71,000,정상,16175,100
20100101,20100331,72,000,정상,16175,100
20100101,20100331,73,000,정상,16175,100
20100101,20100331,74,000,정상,16175,100
20100101,20100331,75,000,정상,16175,100
20100101,20100331,76,000,정상,16175,100
20100101,20100331,77,000,정상,16175,100
20100101,20100331,78,000,정상,16175,100
20100101,20100331,79,000,정상,16175,100
20100101,20100331,80,000,정상,16175,100
20100101,20100331,81,000,정상,16175,100
