rcept_no,rcept_dt,ticker,corp_code,corp_name,event_category,report_nm,in_panel_2010_2017,in_lifecycle,has_w001_terminal,reconciliation_class
20100331902853,20100331,038690,00264556,에이스일렉트로닉스,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902859,20100331,046350,00250775,에듀아크,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902860,20100331,048130,00345499,에스피코프,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902855,20100331,045290,00263885,포네이처,suspension_related,[기재정정]주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902852,20100331,016670,00125725,디모아,suspension_related,주권매매거래정지기간변경,False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100331902846,20100331,033260,00225140,쌈지,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902850,20100331,045290,00263885,포네이처,delisting,기타시장안내(상장폐지등 관련 정정 안내),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902841,20100331,041030,00257529,이루넷,suspension_related,주권매매거래정지기간변경(사업보고서 미제출),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902818,20100331,085990,00480905,영찬테크,suspension_related,주권매매거래정지기간변경(사업보고서 미제출),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902792,20100331,078670,00537443,아구스,suspension_related,주권매매거래정지기간변경(사업보고서 미제출),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902828,20100331,064060,00367376,사이노젠,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902790,20100331,079560,00481223,시노펙스멤브레인,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902793,20100331,015170,00149877,중앙바이오텍,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902817,20100331,020070,00154727,에버리소스,delisting,기타시장안내(상장폐지 관련이의신청서 접수),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902813,20100331,051810,00347442,모보,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902815,20100331,045290,00263885,포네이처,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902812,20100331,032030,00107358,일공공일안경콘택트,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902794,20100331,008340,00133715,대주코레스,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902782,20100331,060670,00299686,유퍼트,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902750,20100331,066300,00224567,샤인시스템,delisting,기타시장안내(상장폐지 실질심사 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902758,20100331,066300,00224567,샤인시스템,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902699,20100331,065340,00388272,쓰리디월드,suspension_related,주권매매거래정지기간변경(투자자보호),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902653,20100331,067850,00417963,바이나믹,delisting,기타시장안내((주)아리진 상장폐지 실질심사 대상사유 추가 ),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902607,20100331,035830,00246383,메카포럼,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902580,20100331,057100,00350057,하이스마텍,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331902401,20100331,036090,00258360,위지트,suspension_related,주권매매거래정지기간변경,False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100331902337,20100331,036090,00258360,위지트,delisting,기타시장안내(상장폐지 실질심사 관련),False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100331902054,20100331,052970,00362089,올리브나인,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331901908,20100331,052970,00362089,올리브나인,suspension_related,주권매매거래정지기간변경(계속기업으로서의 존속능력에 대한 불확실성에 의한 감사 의견 거절),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331901735,20100331,074140,00463050,엑스로드,suspension_related,주권매매거래정지기간변경(상장폐지사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331901795,20100331,074140,00463050,엑스로드,delisting,기타시장안내(상장폐지관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331900015,20100331,076090,00475532,테이크시스템즈,suspension_related,주권매매거래정지기간변경(상장폐지사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100331900013,20100331,076090,00475532,테이크시스템즈,delisting,기타시장안내(상장폐지관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901486,20100330,045880,00344746,유티엑스,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901309,20100330,041320,00269287,보홍,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901295,20100330,041320,00269287,보홍,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901323,20100330,078670,00537443,아구스,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901313,20100330,034510,00240398,무한투자,resumption_related,기타경영사항(자율공시)(타법인 주식 및 출자증권 취득결정 계약 해제),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330901163,20100330,073570,00440712,리튬포어스,resumption_related,주권매매거래정지해제(풍문 등 조회결과 공시),False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100330801097,20100330,010420,00103626,한솔피엔에스,resumption_related,매매거래정지및정지해제(중요내용공시),True,True,True,event_ticker_in_panel_and_lifecycle_with_terminal
20100330900957,20100330,073570,00440712,리튬포어스,suspension_related,주권매매거래정지,False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100330900940,20100330,074140,00463050,엑스로드,suspension_related,주권매매거래정지(풍문 또는 보도 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330900474,20100330,035400,00223346,쓰리디넷,suspension_related,주권매매거래정지(관리종목지정사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100330900302,20100330,041320,00269287,보홍,suspension_related,주권매매거래정지,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900949,20100329,037380,00164195,에이원마이크로,delisting,기타시장안내(상장폐지 실질심사관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900911,20100329,037380,00164195,에이원마이크로,suspension_related,주권매매거래정지,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900812,20100329,053440,00208301,성우몰드,suspension_related,주권매매거래정지(투자자 보호),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900660,20100329,041550,00138376,쎄라텍,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900606,20100329,053700,00351092,삼보모터스,suspension_related,주권매매거래정지(관리종목지정사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900500,20100329,047820,00299464,초록뱀미디어,suspension_related,주권매매거래정지기간변경(상장폐지 실질심사 관련),False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100329900498,20100329,047820,00299464,초록뱀미디어,delisting,기타시장안내((주)초록뱀미디어 상장폐지 실질심사관련 안내 ),False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100329800189,20100329,004870,00109514,티웨이홀딩스,resumption_related,매매거래정지및정지해제(중요내용공시),True,True,True,event_ticker_in_panel_and_lifecycle_with_terminal
20100329900174,20100329,058480,00252001,해원에스티,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900172,20100329,058480,00252001,해원에스티,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900105,20100329,047710,00348557,액티투오,suspension_related,주권매매거래정지(관리종목지정사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900037,20100329,058480,00252001,해원에스티,suspension_related,주권매매거래정지,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329800028,20100329,013240,00134051,셀런,resumption_related,매매거래정지및정지해제(풍문등조회공시),True,True,False,event_ticker_in_panel_and_lifecycle_without_terminal
20100329900016,20100329,064060,00367376,사이노젠,delisting,기타시장안내(상장폐지관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329900014,20100329,064060,00367376,사이노젠,suspension_related,주권매매거래정지,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100329800013,20100329,018410,00174475,현대금속,resumption_related,매매거래정지및정지해제(풍문등조회공시),True,True,False,event_ticker_in_panel_and_lifecycle_without_terminal
20100326901897,20100326,058420,00359474,제이웨이,suspension_related,주권매매거래정지(불성실공시법인 지정),False,True,True,event_ticker_in_lifecycle_not_in_panel_with_terminal
20100326901896,20100326,047600,00258944,세계투어,suspension_related,주권매매거래정지(불성실공시법인 지정),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326801884,20100326,013240,00134051,셀런,resumption_related,매매거래정지및정지해제(풍문등조회공시),True,True,False,event_ticker_in_panel_and_lifecycle_without_terminal
20100326901851,20100326,041550,00138376,쎄라텍,suspension_related,주권매매거래정지기간변경,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901705,20100326,085990,00480905,영찬테크,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901726,20100326,085990,00480905,영찬테크,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901531,20100326,051810,00347442,모보,delisting,기타시장안내(상장폐지 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901520,20100326,051810,00347442,모보,suspension_related,주권매매거래정지,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901372,20100326,037550,00314000,클라스타,resumption_related,주권매매거래정지해제(상장폐지 실질심사대상 제외결정 ),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326901360,20100326,037550,00314000,클라스타,delisting,기타시장안내(상장폐지 실질심사대상 제외결정 ),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326900854,20100326,072530,00408585,나이스메탈,suspension_related,주권매매거래정지(관리종목지정사유발생),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326900072,20100326,024840,00158024,KBI메탈,resumption_related,주권매매거래정지해제,False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
20100326900064,20100326,024840,00158024,KBI메탈,delisting,기타시장안내(상장폐지유예 관련),False,True,False,event_ticker_in_lifecycle_not_in_panel_without_terminal
