threshold,hypothesis,description,value,threshold_value,passes
-0.1,H1,Threshold 0.0 reproduces D001 Sharpe 0.4842,0.3699827913567774,0.4842,
-0.1,H7,Threshold Sharpe is at least 0.40 for plateau count,0.3699827913567774,0.4,False
-0.1,H8,"ON share, trade count, max DD, and subperiod returns are descriptive checks",0.2459016393442623,,
