variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,tax_drag_sharpe,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,p08_proxy_sharpe_diff,p08_proxy_mdd_diff,ew13_sharpe_diff,n001_b_sharpe_diff,n002_b_sharpe_diff,random_percentile
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,gross,2011-01-04,2026-05-18,3865,3.3655580271016623,0.1006488043012781,0.6222948185944855,-0.31152853331021757,0.3230805320842083,0.18079011100427783,4.365558027101662,164.51213881632935,10.705159220143292,81.75606940816472,0.0,0.0,EWY,0.6471622987145755,0.4974126778783959,0.19444174782673068,-0.4133482098373701,-0.1572935167000512,-0.23250271658559352,-0.562131161740698,-0.5436847444642009,90.10000000000001
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.669928320661251,0.06599028752611358,0.444244600507582,-0.3798035772995323,0.1737484622849413,0.18125665406510552,2.661918535699267,164.51213881632935,10.705159220143292,81.7560694081647,0.0,-0.17805021808690352,EWY,0.6471622987145755,0.4974126778783959,0.19444174782673068,-0.5913984279242737,-0.22556856068936593,-0.41055293467249704,-0.7401813798276016,-0.7217349625511045,90.10000000000001
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,1.1093852041863062,0.04976846471824681,0.3578256703425361,-0.42328529369168966,0.11757664501922645,0.18298530709514643,2.1030570485737474,164.66602782041446,10.715173109105002,81.94834429252877,25716923.587063637,-0.26446914825194945,EWY,0.6471622987145755,0.4974126778783959,0.19444174782673068,-0.6778173580893195,-0.2690502770815233,-0.49697186483754296,-0.8266003099926474,-0.8081538927161503,90.10000000000001
XETF900_V02,A,ret_6m,monthly,risk_top3_def_top2,,0,gross,2011-01-04,2026-05-18,3865,2.905329145965497,0.09269872718289673,0.6069774680153752,-0.30214354844337665,0.30680359604060514,0.1703297586787066,3.905329145965497,152.2746675536372,9.908840606443254,75.63733377681861,0.0,0.0,EWY,0.4167295119870915,0.33333333333332976,0.27716864942068836,-0.4286655604164804,-0.1479085318332103,-0.24782006716470384,-0.5774485123198083,-0.5590020950433112,89.3
XETF900_V02,A,ret_6m,monthly,risk_top3_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.4780169458751962,0.06082858540871183,0.4322122227169922,-0.3567674183421967,0.17049927286344163,0.1707204420926332,2.4705828950375706,152.2746675536372,9.908840606443254,75.63733377681861,0.0,-0.174765245298383,EWY,0.4167295119870915,0.33333333333332976,0.27716864942068836,-0.6034308057148634,-0.20253240173203035,-0.42258531246308684,-0.7522137576181913,-0.7337673403416942,89.3
XETF900_V02,A,ret_6m,monthly,risk_top3_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,0.9689302249857166,0.045071973426544565,0.342846293393673,-0.3810941563488476,0.11826991486399595,0.1722675662309925,1.9630234343107593,152.43013832912794,9.918957424677354,75.82270649692575,28075186.44473654,-0.2641311746217022,EWY,0.4167295119870915,0.33333333333332976,0.27716864942068836,-0.6927967350381826,-0.22685913973868121,-0.511951241786406,-0.8415796869415105,-0.8231332696650134,89.3
XETF900_V03,A,ret_6m,quarterly,risk_top2_def_top2,,0,gross,2011-01-04,2026-05-18,3865,1.5858463481123906,0.06377296145709255,0.4160818432964571,-0.4190385138064642,0.1521887830256732,0.1947454483888182,2.5858463481123906,79.50036727688887,5.1732601368045,39.250183638444426,0.0,0.0,EWY,0.5914833850062095,0.45122897800776196,0.23204549733312546,-0.6195611851353986,-0.2648034971962978,-0.43871569188362197,-0.7683441370387265,-0.7498977197622294,20.599999999999998
XETF900_V03,A,ret_6m,quarterly,risk_top2_def_top2,,0,after_cost,2011-01-04,2026-05-18,3865,1.0419959250442488,0.04755283927186382,0.3370088632127112,-0.4998242583003353,0.0951391183644596,0.19476313790065047,2.035869937269116,79.50036727688887,5.1732601368045,39.250183638444426,0.0,-0.07907298008374591,EWY,0.5914833850062095,0.45122897800776196,0.23204549733312546,-0.6986341652191445,-0.3455892416901689,-0.5177886719673679,-0.8474171171224724,-0.8289706998459753,20.599999999999998
XETF900_V03,A,ret_6m,quarterly,risk_top2_def_top2,,0,after_tax,2011-01-04,2026-05-18,3865,0.6874450947093664,0.03463299176181622,0.2727032864013413,-0.5261945797166915,0.06581784210027967,0.1959712486503087,1.6823827594252383,79.65667243828383,5.183431250326594,39.42352956352199,17013286.89794474,-0.1433785568951158,EWY,0.5914833850062095,0.45122897800776196,0.23204549733312546,-0.7629397420305144,-0.3719595631065251,-0.5820942487787377,-0.9117226939338423,-0.8932762766573452,20.599999999999998
XETF900_V04,A,ret_6m,quarterly,risk_top3_def_top2,,0,gross,2011-01-04,2026-05-18,3865,1.511825372898051,0.06176443633682571,0.4241159855536918,-0.3955329065450348,0.15615498815594323,0.17997276343139465,2.511825372898051,76.62013672464265,4.98583733095951,37.810068362321324,0.0,0.0,EWY,0.4069643652864009,0.33333333333332976,0.3109451496764275,-0.6115270428781638,-0.24129788993486845,-0.43068154962638727,-0.7603099947814917,-0.7418635775049947,13.0
