variant_id,module,strategy_after_cost_sharpe,random_trials,random_mean_sharpe,random_median_sharpe,random_p90_sharpe,random_p95_sharpe,percentile
XETF900_V01,A,0.444244600507582,1000,0.22322716272588145,0.21925951137609545,0.44325780112155116,0.5077563918233281,90.10000000000001
XETF900_V02,A,0.4322122227169922,1000,0.23463670734218278,0.23885202861290641,0.4396907605845782,0.481083125876052,89.3
XETF900_V03,A,0.3370088632127112,1000,0.49501377864828566,0.4862162013927923,0.7504652883309937,0.8379264960155173,20.599999999999998
XETF900_V04,A,0.34170647873166266,1000,0.5240931246185887,0.518077484138829,0.7368581126081365,0.8153452956360449,13.0
XETF900_V05,A,0.43141782278920376,1000,0.22322716272588145,0.21925951137609545,0.44325780112155116,0.5077563918233281,89.0
XETF900_V06,A,0.4545418724088504,1000,0.2422166855416638,0.23668588472598337,0.4382432600784456,0.48675842356503646,92.10000000000001
XETF900_V07,A,0.3533414903919617,1000,0.49501377864828566,0.4862162013927923,0.7504652883309937,0.8379264960155173,24.0
XETF900_V08,A,0.3376146964438323,1000,0.5273794933755616,0.5301161153869122,0.7409566156307517,0.7968256095036464,12.5
XETF900_V09,B,1.1208428852799037,1000,0.26657501318897436,0.270280229246888,0.43508353984884596,0.4888615636257999,100.0
XETF900_V10,B,1.1494237534192897,1000,0.32869059193475164,0.3277209272572132,0.4813014679611823,0.5211131395358429,100.0
XETF900_V11,B,1.0083493101972933,1000,0.55861942764472,0.553666325111011,0.7780958450796699,0.8479354127734654,99.8
XETF900_V12,B,0.9462150159971839,1000,0.6062843997138253,0.6058368648769941,0.8019220540113563,0.8403251546108312,99.6
XETF900_V13,B,1.0547598122819821,1000,0.26657501318897436,0.270280229246888,0.43508353984884596,0.4888615636257999,100.0
XETF900_V14,B,1.0476047929786052,1000,0.32869059193475164,0.3277209272572132,0.4813014679611823,0.5211131395358429,100.0
XETF900_V15,B,0.9782785133740909,1000,0.55861942764472,0.553666325111011,0.7780958450796699,0.8479354127734654,99.6
XETF900_V16,B,1.0631846609309012,1000,0.6062843997138253,0.6058368648769941,0.8019220540113563,0.8403251546108312,100.0
XETF900_V17,C,0.8001587321638884,1000,0.822001988743171,0.822001988743171,0.822001988743171,0.822001988743171,0.0
XETF900_V18,C,0.8327333395192864,1000,0.853024794047249,0.853024794047249,0.853024794047249,0.853024794047249,0.0
XETF900_V19,C,0.8235674171181103,1000,0.822001988743171,0.822001988743171,0.822001988743171,0.822001988743171,100.0
XETF900_V20,C,0.8498352740057526,1000,0.853024794047249,0.853024794047249,0.853024794047249,0.853024794047249,0.0
XETF900_V21,C,0.7943328709098004,1000,0.822001988743171,0.822001988743171,0.822001988743171,0.822001988743171,0.0
XETF900_V22,C,0.8360897907289507,1000,0.853024794047249,0.853024794047249,0.853024794047249,0.853024794047249,0.0
XETF900_V23,C,0.8263097651425815,1000,0.822001988743171,0.822001988743171,0.822001988743171,0.822001988743171,100.0
XETF900_V24,C,0.8555660767521671,1000,0.853024794047249,0.853024794047249,0.853024794047249,0.853024794047249,100.0
