variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,tax_drag_sharpe,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,p08_proxy_sharpe_diff,p08_proxy_mdd_diff,ew13_sharpe_diff,n001_b_sharpe_diff,n002_b_sharpe_diff,random_percentile
XETF900_V17,C,vol_budget,monthly,risk_budget,inverse_vol,126,gross,2011-01-04,2026-05-18,3865,2.161703162565948,0.07778204013944001,0.8181576405697631,-0.14276113540254887,0.5448404421841778,0.09757288446255483,3.161703162565948,10.007248151902473,0.6511931921400995,4.503624075951238,0.0,0.0,QQQ,0.21676432436831988,0.062413019480595085,0.21676432436831988,-0.21748538786209248,0.011473881207617498,-0.036639894610315915,-0.3662683397654204,-0.3478219224889233,0.0
XETF900_V17,C,vol_budget,monthly,risk_budget,inverse_vol,126,after_cost,2011-01-04,2026-05-18,3865,2.0774046894685982,0.07588839777018608,0.8001587321638884,-0.14299368299806958,0.5307115403916869,0.0975639568890549,3.0681724754001922,10.007248151902475,0.6511931921400996,4.50362407595124,0.0,-0.017998908405874703,QQQ,0.21676432436831988,0.062413019480595085,0.21676432436831988,-0.23548429626796719,0.011241333612096782,-0.05463880301619062,-0.3842672481712951,-0.365820830894798,0.0
XETF900_V17,C,vol_budget,monthly,risk_budget,inverse_vol,126,after_tax,2011-01-04,2026-05-18,3865,1.9321800529752124,0.07250938437025023,0.7666761194870614,-0.1429936829980698,0.5070810321825825,0.09773442286675221,2.9233835128162866,10.011733535863002,0.6514850657356068,4.524720012835351,11032395.845154924,-0.051481521082701764,QQQ,0.21676432436831988,0.062413019480595085,0.21676432436831988,-0.26896690894479425,0.01124133361209656,-0.08812141569301768,-0.41774986084812216,-0.39930344357162506,0.0
XETF900_V18,C,vol_budget,quarterly,risk_budget,inverse_vol,126,gross,2011-01-04,2026-05-18,3865,2.2749870201503497,0.08025378655674054,0.8446242521098605,-0.1307910943219439,0.6136028372023162,0.09718783512387925,3.2749870201503497,6.975858677671964,0.45393414965609924,2.9879293388359827,0.0,0.0,QQQ,0.2218201113449652,0.06236682476732866,0.2218201113449652,-0.19101877632199515,0.023443922288222452,-0.010173283070218586,-0.33980172822532306,-0.32135531094882597,0.0
XETF900_V18,C,vol_budget,quarterly,risk_budget,inverse_vol,126,after_cost,2011-01-04,2026-05-18,3865,2.2167878508278167,0.07899409967328386,0.8327333395192864,-0.1307910943219437,0.6039715477786204,0.097169116210562,3.2071374872753333,6.975858677671964,0.45393414965609924,2.9879293388359827,0.0,-0.011890912590574065,QQQ,0.2218201113449652,0.06236682476732866,0.2218201113449652,-0.20290968891256922,0.023443922288222674,-0.02206419566079265,-0.35169264081589713,-0.33324622353940003,0.0
XETF900_V18,C,vol_budget,quarterly,risk_budget,inverse_vol,126,after_tax,2011-01-04,2026-05-18,3865,2.068712695238322,0.07569039498264263,0.7997507842193042,-0.13079109432194402,0.5787121468402865,0.09735630523779401,3.059506557152607,6.974549220603718,0.4538489404641917,3.0030527809587504,11223135.614327276,-0.04487346789055624,QQQ,0.2218201113449652,0.06236682476732866,0.2218201113449652,-0.2358922442125514,0.02344392228822234,-0.055046750960774826,-0.3846751961158793,-0.3662287788393822,0.0
XETF900_V19,C,vol_budget,monthly,risk_budget,inverse_vol,252,gross,2011-01-04,2026-05-18,3865,2.2490372400101344,0.07969472583975068,0.8365134072856766,-0.13667962908849385,0.5830768372085058,0.09755328837889812,3.2490372400101344,7.4711963076527725,0.4861668361607296,3.235598153826388,0.0,0.0,QQQ,0.21673983142772976,0.06197928410663269,0.21673983142772976,-0.19912962114617905,0.017555387521672516,-0.01828412789440248,-0.34791257304950696,-0.32946615577300986,100.0
XETF900_V19,C,vol_budget,monthly,risk_budget,inverse_vol,252,after_cost,2011-01-04,2026-05-18,3865,2.1865661027286474,0.07833153821221406,0.8235674171181103,-0.13682976938841018,0.5724743859639139,0.09754875550112467,3.1770064044204616,7.471196307652774,0.4861668361607297,3.2355981538263863,0.0,-0.012945990167566257,QQQ,0.21673983142772976,0.06197928410663269,0.21673983142772976,-0.2120756113137453,0.01740524722175618,-0.031230118061968737,-0.3608585632170732,-0.3424121459405761,100.0
XETF900_V19,C,vol_budget,monthly,risk_budget,inverse_vol,252,after_tax,2011-01-04,2026-05-18,3865,2.0541776776118303,0.07535811415903693,0.7942700431791585,-0.1368297693884103,0.550743558918984,0.09767859241385093,3.0450151445789944,7.47126558567389,0.48617134423078356,3.251168653551886,9847487.204913845,-0.04224336410651808,QQQ,0.21673983142772976,0.06197928410663269,0.21673983142772976,-0.24137298525269713,0.01740524722175607,-0.06052749200092056,-0.39015593715602503,-0.37170951987952794,100.0
XETF900_V20,C,vol_budget,quarterly,risk_budget,inverse_vol,252,gross,2011-01-04,2026-05-18,3865,2.3395275549000747,0.0816264849559698,0.8580172837667638,-0.1249788928574127,0.6531221639888963,0.0971495350751547,3.3395275549000747,5.107275016574701,0.33234138603312124,2.053637508287352,0.0,0.0,QQQ,0.22024230825443006,0.06207461262155855,0.22024230825443006,-0.17762574466509184,0.02925612375275366,0.003219748586684723,-0.32640869656841975,-0.30796227929192266,0.0
