variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,window,strategy_start_date,strategy_end_date,strategy_trading_days,strategy_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_calmar,strategy_volatility,strategy_nav_final,p08_proxy_start_date,p08_proxy_end_date,p08_proxy_trading_days,p08_proxy_total_return,p08_proxy_cagr,p08_proxy_sharpe,p08_proxy_max_drawdown,p08_proxy_calmar,p08_proxy_volatility,p08_proxy_nav_final,sharpe_diff,mdd_diff,return_diff
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,gross,2011_2014,2011-01-04,2014-12-31,1005,-0.009046229294157326,-0.002275492909993293,0.06613644799117137,-0.28305501392429255,-0.008039048234637204,0.1605418087100301,0.9909537707058427,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-1.0574063271304548,-0.2114434443201717,-0.49514186374974334
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,gross,2015_2019,2015-01-02,2019-12-31,1258,0.28458550861104914,0.051427753966263756,0.39413242254549363,-0.1509616042103431,0.34066777599028847,0.15964553984541405,1.2845855086110491,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.6034929123426399,-0.06746880568452318,-0.2907333282976663
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,gross,2020_2026,2020-01-02,2026-05-18,1602,2.3044354848932076,0.2062669236853194,1.0156588135833327,-0.2992109894538326,0.6893694782462052,0.20623209847762666,3.3044354848932076,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,-0.005687304033817009,-0.14497597284366626,1.0688416174131299
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_cost,2011_2014,2011-01-04,2014-12-31,1005,-0.14020270202591767,-0.037160292497162906,-0.1538369156068076,-0.3167947092773209,-0.11730086206911026,0.16142894538283417,0.8597972979740823,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-1.2773796907284338,-0.24518313967320005,-0.6262983364815037
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_cost,2015_2019,2015-01-02,2019-12-31,1258,0.0713069436666458,0.013888422791150656,0.16629338573830982,-0.20790379742746457,0.0668021602443129,0.1599473342893032,1.0713069436666458,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.8313319491498237,-0.12441099890164464,-0.5040118932420696
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_cost,2020_2026,2020-01-02,2026-05-18,1602,1.7929523815257071,0.1748565401119493,0.886163916729305,-0.3139893792411187,0.5568867983196129,0.20658020005336442,2.792952381525707,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,-0.13518220088784472,-0.15975436263095233,0.5573585140456294
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_tax,2011_2014,2011-01-04,2014-12-31,1005,-0.16155528538731745,-0.04321119505338877,-0.19197039630784477,-0.3167947092773211,-0.1364012522556424,0.16184784966503196,0.8384447146126826,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-1.315513171429471,-0.24518313967320027,-0.6476509198429035
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_tax,2015_2019,2015-01-02,2019-12-31,1258,0.02106078485299978,0.004182277781069832,0.10652139722334156,-0.20790379742746468,0.020116408804552895,0.16105293207921434,1.0210607848529998,2015-01-02,2019-12-31,1258,0.5753188369087154,0.09527301075206762,0.9976253348881335,-0.08349279852581992,1.141092554498634,0.09587599812914831,1.5753188369087154,-0.891103937664792,-0.12441099890164475,-0.5542580520557157
XETF900_V01,A,ret_6m,monthly,risk_top2_def_top2,,0,after_tax,2020_2026,2020-01-02,2026-05-18,1602,1.3729331842397081,0.1451969127624806,0.7546538010539802,-0.3139893792411189,0.4624261913361754,0.2093828249288036,2.372933184239708,2020-01-02,2026-05-18,1602,1.2355938674800777,0.13453465560733346,1.0213461176171497,-0.15423501661016636,0.8722705035742554,0.1325350773365262,2.2355938674800777,-0.2666923165631695,-0.15975436263095255,0.1373393167596304
XETF900_V02,A,ret_6m,monthly,risk_top3_def_top2,,0,gross,2011_2014,2011-01-04,2014-12-31,1005,0.01873272636132617,0.004663435667607185,0.10755925961280642,-0.2788447604951524,0.01672412872067667,0.15500593499285922,1.0187327263613262,2011-01-04,2014-12-31,1005,0.486095634455586,0.10440858133982345,1.1235427751216263,-0.07161156960412085,1.4579848188918247,0.09220107241977916,1.486095634455586,-1.01598351550882,-0.20723319089103154,-0.46736290809425984
